Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Tony Abad,es ESP,DF,Eldense,26,1996,31.8,6,0,0,29,15,2,104,31,39,,,0,Matches
2,Diyaeddine Abzi,ca CAN,DF,Leganés,24,1998,0.4,0,0,0,1,0,0,0,0,0,,,0,Matches
3,Álvaro Aceves,es ESP,GK,Eldense,20,2003,14.0,0,0,0,0,1,0,0,0,1,,,0,Matches
4,Emmanuel Addai,gh GHA,"MF,FW",Alcorcón,21,2001,23.1,1,0,0,18,37,11,55,13,17,,,0,Matches
5,Álvaro Aguado,es ESP,MF,Espanyol,27,1996,23.7,1,1,0,22,46,1,107,14,14,,,0,Matches
6,Marc Aguado,es ESP,MF,Zaragoza,23,2000,26.8,7,0,0,23,32,0,6,44,50,,,0,Matches
7,Lalo Aguilar,es ESP,DF,Leganés,21,2002,0.2,0,0,0,1,0,0,1,0,0,,,0,Matches
8,Lucas Ahijado,es ESP,DF,Oviedo,28,1995,7.7,1,0,0,10,2,1,35,7,16,,,0,Matches
9,Matheus Aiás,br BRA,FW,Racing Sant,26,1996,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
10,Ager Aketxe,es ESP,MF,Eibar,29,1993,30.8,4,0,0,30,39,0,159,14,38,,,0,Matches
11,Ilias Akhomach,ma MAR,MF,Villarreal B,19,2004,1.7,0,0,0,2,7,0,0,1,1,,,0,Matches
12,Babatunde Akinsola,ng NGA,MF,Valladolid,20,2003,3.2,2,0,0,5,9,2,14,4,2,,,0,Matches
13,Jony Álamo,es ESP,MF,Cartagena,21,2001,6.2,1,0,0,8,16,0,0,3,3,,,0,Matches
14,Tomás Alarcón,cl CHI,MF,Cartagena,24,1999,26.5,13,0,0,44,21,2,43,26,24,,,0,Matches
15,Pedro Alcalá,es ESP,DF,Cartagena,34,1989,36.8,8,0,0,33,12,1,6,30,27,,,1,Matches
16,Edgar Alcañiz,es ESP,MF,Levante,18,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
17,Aldasoro,es ESP,MF,Racing Sant,24,1999,32.1,13,0,0,62,42,0,5,44,48,,,0,Matches
18,Iker Alday,es ESP,DF,Eibar,20,2003,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
