Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Haitam Abaida,ma MAR,FW,Málaga,19,2002,1.0,0,1,0,1,2,1,4,1,1,,,0,Matches
2,Amir Abedzadeh,ir IRN,GK,Ponferradina,28,1993,35.0,2,0,0,1,10,0,0,0,0,,,0,Matches
3,Paris Adot,es ESP,DF,Ponferradina,31,1990,30.1,4,0,0,23,48,2,81,35,28,,,0,Matches
4,Mikel Agu,ng NGA,MF,CF Fuenlabrada,28,1993,12.1,1,0,0,22,5,0,3,18,12,,,0,Matches
5,Álvaro Aguado,es ESP,MF,Valladolid,25,1996,31.9,7,0,0,22,50,1,75,28,36,,,0,Matches
6,Juan Aguilera,es ESP,MF,Alcorcón,35,1985,9.9,5,0,0,18,11,0,7,8,6,,,0,Matches
7,Jorge Aguirre,cu CUB,FW,Mirandés,21,2000,0.7,0,0,0,0,1,0,0,2,0,,,0,Matches
8,Jorge Aguirre,cu CUB,FW,Real Sociedad B,21,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
9,Lucas Ahijado,es ESP,DF,Oviedo,26,1995,24.8,7,0,0,46,21,2,68,31,30,,,0,Matches
10,Matheus Aiás,br BRA,FW,Oviedo,24,1996,5.2,2,0,0,13,12,1,3,1,2,,,0,Matches
11,Ager Aketxe,es ESP,MF,Eibar,27,1993,5.3,1,0,0,7,16,0,45,1,7,,,0,Matches
12,Sergio Akieme,es ESP,DF,Almería,23,1997,25.6,4,1,0,14,21,3,69,19,14,,,0,Matches
13,Alarcón,es ESP,DF,Burgos,27,1994,2.9,1,0,0,5,1,0,11,3,4,,,0,Matches
14,Alberto,es ESP,DF,Lugo,28,1992,12.9,2,0,0,12,6,0,1,24,9,,,0,Matches
15,Pedro Alcalá,es ESP,DF,Cartagena,32,1989,22.7,7,0,0,28,10,1,1,24,24,,,0,Matches
16,Rubén Alcaraz,es ESP,"MF,DF",Valladolid,30,1991,5.8,1,0,0,9,17,1,13,3,4,,,0,Matches
17,Aitor Aldalur,es ESP,"DF,MF",Amorebieta,29,1991,7.4,3,0,0,7,6,0,26,10,11,,,0,Matches
18,Aldasoro,es ESP,"MF,FW",Real Sociedad B,22,1999,16.7,6,0,0,38,16,1,7,22,22,,,0,Matches
19,Álex Alegría,es ESP,FW,Burgos,28,1992,10.8,1,0,0,32,38,9,4,0,1,,,0,Matches
20,Diego Alende,es ESP,DF,Lugo,23,1997,32.1,9,0,0,51,35,1,2,29,33,,,1,Matches
21,Altube,es ESP,GK,CF Fuenlabrada,21,2000,24.0,2,0,0,0,2,0,0,0,0,,,0,Matches
22,Cristian Álvarez,ar ARG,GK,Zaragoza,35,1985,38.0,3,0,0,2,10,0,0,0,0,,,0,Matches
23,Sergio Álvarez,es ESP,"MF,DF",Eibar,29,1992,29.4,6,0,0,44,17,0,5,36,39,,,0,Matches
24,Mikel Álvaro,es ESP,MF,Amorebieta,38,1982,3.8,0,0,0,9,8,0,3,2,5,,,0,Matches
25,Rubén Alves,es ESP,"DF,MF",Ibiza,26,1994,20.6,5,0,0,20,21,2,7,22,18,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Jair Amador,gq EQG,DF,Zaragoza,31,1989,38.9,6,0,0,29,3,2,0,38,22,,,2,Matches
27,David Amigo,es ESP,"MF,FW",CF Fuenlabrada,18,2002,7.8,0,0,0,8,6,2,18,3,7,,,0,Matches
28,Jose Amo,es ESP,"DF,MF",Ponferradina,23,1998,24.4,11,0,0,36,15,0,1,36,18,,,0,Matches
29,Iker Amorrortu,es ESP,FW,Amorebieta,26,1994,1.4,0,0,0,0,0,3,1,0,0,,,0,Matches
30,Jon Ander Garrido,es ESP,MF,Mirandés,31,1989,4.3,4,0,0,15,4,0,1,3,7,,,0,Matches
31,Marcos André,br BRA,FW,Valladolid,24,1996,1.0,1,0,0,4,5,1,0,0,0,,,0,Matches
32,David Andújar,es ESP,DF,Cartagena,29,1991,14.3,9,0,0,27,11,1,0,19,12,,,1,Matches
33,Andy,es ESP,MF,Burgos,31,1990,33.2,3,0,0,32,18,1,186,26,22,,,0,Matches
34,José Ángel Carrillo,es ESP,FW,Lugo,27,1994,21.0,5,0,0,21,44,18,1,6,1,,,0,Matches
35,Miguel Ángel Guerrero,es ESP,"MF,FW",Ibiza,31,1990,22.9,4,1,0,60,24,2,23,8,8,,,0,Matches
36,José Ángel,es ESP,MF,Alcorcón,29,1992,16.3,11,0,0,33,41,1,52,29,31,,,0,Matches
37,Miguel Ángel Rubio,es ESP,DF,Burgos,23,1998,24.1,4,0,0,26,13,0,1,35,14,,,1,Matches
38,Paul Anton,ro ROU,MF,Ponferradina,30,1991,12.8,4,0,0,26,10,0,12,18,23,,,0,Matches
39,Leandro Antonetti,pr PUR,FW,Lugo,18,2003,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
40,José Antonio Ríos,es ESP,DF,Ponferradina,31,1990,26.5,4,0,0,8,21,3,224,38,11,,,0,Matches
41,Juan Antonio Ros,es ESP,DF,Lugo,25,1996,30.2,3,0,0,28,12,6,0,71,20,,,0,Matches
