Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,SaveP%,Temporada
1,Abner,br BRA,DF,Real Betis,22,2000,6.7,0,5,2,40.0,0.74,0.30,0.00,0.00,0,0,Matches,13,7,607,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,8,2,0,13,8,9,,,0,,,,,,,,,,,,,,,22/23
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,13,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,,22/23
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,3,20,5,25.0,0.94,0.24,0.15,0.60,0,0,Matches,30,21,1912,2,5,3,10,3,0.14,0.09,0.24,0.14,0.24,0,29,34,1,141,24,40,,,0,,,,,,,,,,,,,,,22/23
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0,0,0,,0.00,0.00,,,0,0,Matches,8,7,675,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,6,0.80,19,13,68.4,1,3,3,2,28.6,0,0,0,,22/23
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,1,20,6,30.0,0.95,0.29,0.05,0.17,0,0,Matches,34,18,1888,2,3,1,4,0,0.05,0.10,0.14,0.05,0.14,0,14,33,0,57,13,13,,,0,,,,,,,,,,,,,,,22/23
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,3,14,3,21.4,0.40,0.09,0.21,1.00,0,0,Matches,35,35,3119,0,3,3,6,1,0.09,0.00,0.09,0.09,0.09,1,18,18,1,3,28,35,,,0,,,,,,,,,,,,,,,22/23
7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,1,23,7,30.4,0.90,0.27,0.04,0.14,0,0,Matches,29,27,2297,0,1,1,5,0,0.04,0.00,0.04,0.04,0.04,0,20,18,0,70,13,15,,,0,,,,,,,,,,,,,,,22/23
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,11,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,1,,,0,,,,,,,,,,,,,,,22/23
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,5.0,0,3,1,33.3,0.60,0.20,0.00,0.00,0,0,Matches,12,3,447,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,7,4,0,0,12,8,,,0,,,,,,,,,,,,,,,22/23
10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,1,14,3,21.4,0.69,0.15,0.07,0.33,0,0,Matches,23,21,1838,3,4,1,3,0,0.05,0.15,0.20,0.05,0.20,0,9,3,0,27,13,11,,,0,,,,,,,,,,,,,,,22/23
