Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,SaveP%,Temporada
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,0,0,Matches,4,0,25,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,1,0,1,0,0,,,0,,,,,,,,,,,,,,,22/23
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,0,0,Matches,4,2,223,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1,4,3,0,6,2,2,,,0,,,,,,,,,,,,,,,22/23
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,2,13,4,30.8,0.82,0.25,0.15,0.50,0,0,Matches,24,14,1419,3,5,2,6,1,0.13,0.19,0.32,0.13,0.32,1,11,4,10,90,12,17,,,0,,,,,,,,,,,,,,,22/23
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,0,2,1,50.0,0.08,0.04,0.00,0.00,0,0,Matches,25,24,2119,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0,17,13,1,1,14,18,,,0,,,,,,,,,,,,,,,22/23
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,3,34,7,20.6,1.50,0.31,0.03,0.14,2,3,Matches,31,22,2043,0,3,1,11,1,0.13,0.00,0.13,0.04,0.04,1,45,33,0,44,19,32,,,0,,,,,,,,,,,,,,,22/23
16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,1,17,8,47.1,0.75,0.35,0.06,0.13,0,0,Matches,25,23,2047,1,2,1,9,0,0.04,0.04,0.09,0.04,0.09,0,35,10,0,7,27,18,,,0,,,,,,,,,,,,,,,22/23
17,Iván Alejo,es ESP,MF,Cádiz,27,1995,14.6,0,23,6,26.1,1.58,0.41,0.00,0.00,0,0,Matches,31,13,1311,1,1,0,13,1,0.00,0.07,0.07,0.00,0.07,1,39,44,2,108,4,22,,,0,,,,,,,,,,,,,,,22/23
18,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,23.5,2,33,10,30.3,1.40,0.42,0.06,0.20,0,0,Matches,35,26,2119,2,4,2,12,1,0.08,0.08,0.17,0.08,0.17,1,60,50,3,43,4,12,,,0,,,,,,,,,,,,,,,22/23
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,15,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,0,0,0,0,0,,,0,,,,,,,,,,,,,,,22/23
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,0,7,1,14.3,0.55,0.08,0.00,0.00,0,0,Matches,26,11,1138,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,31,10,0,12,4,12,,,0,,,,,,,,,,,,,,,22/23
21,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,6.5,1,23,12,52.2,3.53,1.84,0.04,0.08,0,0,Matches,19,5,587,2,3,1,1,0,0.15,0.31,0.46,0.15,0.46,0,11,12,3,30,1,10,,,0,,,,,,,,,,,,,,,22/23
22,André Almeida,pt POR,MF,Valencia,22,2000,28.2,2,23,8,34.8,0.82,0.28,0.09,0.25,0,0,Matches,34,29,2539,4,6,2,3,0,0.07,0.14,0.21,0.07,0.21,0,31,40,1,128,21,42,,,0,,,,,,,,,,,,,,,22/23
23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,1,6,2,33.3,0.46,0.15,0.17,0.50,0,0,Matches,24,11,1172,0,1,1,3,0,0.08,0.00,0.08,0.08,0.08,0,10,8,0,23,9,10,,,0,,,,,,,,,,,,,,,22/23
24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,10,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,,,0,,,,,,,,,,,,,,,22/23
25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,2,5,2,40.0,0.30,0.12,0.40,1.00,0,0,Matches,22,16,1501,0,2,2,7,1,0.12,0.00,0.12,0.12,0.12,0,27,12,0,23,15,29,,,0,,,,,,,,,,,,,,,22/23
26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,1,8,1,12.5,0.31,0.04,0.13,1.00,0,0,Matches,28,27,2332,1,2,1,7,1,0.04,0.04,0.08,0.04,0.08,0,22,22,1,9,47,25,,,0,,,,,,,,,,,,,,,22/23
27,Selim Amallah,ma MAR,"MF,FW",Valladolid,25,1996,3.0,2,5,2,40.0,1.69,0.67,0.40,1.00,0,0,Matches,7,3,267,1,3,2,2,1,0.67,0.34,1.01,0.67,1.01,0,10,8,1,2,5,8,,,0,,,,,,,,,,,,,,,22/23
28,Amath,sn SEN,"MF,FW",Mallorca,26,1996,13.6,2,23,7,30.4,1.69,0.51,0.09,0.29,0,0,Matches,28,12,1227,0,2,2,2,1,0.15,0.00,0.15,0.15,0.15,0,34,24,7,16,4,17,,,0,,,,,,,,,,,,,,,22/23
29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,5,1,200,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1,3,2,1,6,3,2,,,0,,,,,,,,,,,,,,,22/23
30,Marcos André,br BRA,FW,Valencia,25,1996,5.0,1,17,2,11.8,3.42,0.40,0.06,0.50,0,0,Matches,17,3,447,0,1,1,2,1,0.20,0.00,0.20,0.20,0.20,0,8,12,1,1,0,1,,,0,,,,,,,,,,,,,,,22/23
31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,0,3,0,0.0,0.46,0.00,0.00,,0,0,Matches,15,7,585,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0,7,1,0,12,7,9,,,0,,,,,,,,,,,,,,,22/23
32,Josep Antoni Gayá,es ESP,DF,Mallorca,22,2000,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,2,1,98,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,22/23
33,José Antonio,es ESP,MF,Cádiz,18,2004,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,46,1,1,0,0,0,0.00,1.96,1.96,0.00,1.96,0,0,4,0,1,0,1,,,0,,,,,,,,,,,,,,,22/23
34,Anuar,ma MAR,"MF,FW",Valladolid,27,1995,2.3,1,3,1,33.3,1.29,0.43,0.33,1.00,0,0,Matches,3,3,210,0,1,1,1,0,0.43,0.00,0.43,0.43,0.43,0,3,6,1,1,3,4,,,0,,,,,,,,,,,,,,,22/23
35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,0,8,0,0.0,0.73,0.00,0.00,,0,0,Matches,13,13,992,1,1,0,5,1,0.00,0.09,0.09,0.00,0.09,1,21,11,0,43,15,6,,,1,,,,,,,,,,,,,,,22/23
36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,0,18,1,5.6,0.90,0.05,0.00,0.00,0,0,Matches,22,21,1800,2,2,0,5,1,0.00,0.10,0.10,0.00,0.10,0,16,17,1,5,11,18,,,1,,,,,,,,,,,,,,,22/23
37,Adu Ares,es ESP,MF,Athletic Club,20,2001,0.9,0,3,0,0.0,3.21,0.00,0.00,,0,0,Matches,8,0,84,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,8,0,8,2,2,,,0,,,,,,,,,,,,,,,22/23
38,Sergio Arribas,es ESP,MF,Real Madrid,20,2001,0.2,0,1,0,0.0,4.74,0.00,0.00,,0,0,Matches,2,0,19,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,,,0,,,,,,,,,,,,,,,22/23
39,Roberto Arroyo,es ESP,FW,Valladolid,18,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,15,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,1,,,0,,,,,,,,,,,,,,,22/23
40,Ricard Artero,es ESP,MF,Girona,19,2003,1.5,0,4,2,50.0,2.71,1.35,0.00,0.00,0,0,Matches,7,0,133,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,1,0,0,2,3,,,0,,,,,,,,,,,,,,,22/23
41,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24,1998,5.4,0,4,2,50.0,0.75,0.37,0.00,0.00,0,0,Matches,12,5,483,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,4,2,1,14,2,8,,,0,,,,,,,,,,,,,,,22/23
42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10.0,0,0,0,,0.00,0.00,,,0,0,Matches,10,10,900,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,4,0,0,0,0,,,0,21,2.10,52,31,59.6,2,2,6,1,10.0,1,0,0,0.0,22/23
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,16.0,9,59,25,42.4,3.68,1.56,0.15,0.36,0,1,Matches,31,15,1442,6,15,9,1,0,0.56,0.37,0.94,0.56,0.94,0,10,16,4,82,5,10,,,0,,,,,,,,,,,,,,,22/23
44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,12,78,33,42.3,2.45,1.04,0.13,0.30,2,3,Matches,37,31,2868,3,15,10,6,0,0.38,0.09,0.47,0.31,0.41,0,16,59,12,47,7,5,,,0,,,,,,,,,,,,,,,22/23
45,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Barcelona,33,1989,0.1,0,1,1,100.0,10.00,10.00,0.00,0.00,0,0,Matches,1,0,9,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,22/23
46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,0,0,0,,0.00,0.00,,,0,0,Matches,4,1,132,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,1,0,6,1,1,,,0,,,,,,,,,,,,,,,22/23
47,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,19.0,8,67,24,35.8,3.53,1.26,0.09,0.25,2,3,Matches,29,23,1709,2,10,6,7,1,0.42,0.11,0.53,0.32,0.42,0,25,35,14,80,9,5,,,0,,,,,,,,,,,,,,,22/23
48,Iddrisu Baba,gh GHA,MF,Mallorca,26,1996,18.9,0,12,2,16.7,0.63,0.11,0.00,0.00,0,0,Matches,29,20,1705,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,31,30,0,1,11,17,,,0,,,,,,,,,,,,,,,22/23
49,Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,3,9,5,55.6,0.27,0.15,0.33,0.60,0,0,Matches,34,33,2998,0,3,3,5,0,0.09,0.00,0.09,0.09,0.09,0,24,9,2,2,27,19,,,0,,,,,,,,,,,,,,,22/23
50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,16.1,1,4,2,50.0,0.25,0.12,0.25,0.50,0,0,Matches,19,16,1449,0,1,1,4,0,0.06,0.00,0.06,0.06,0.06,0,13,4,0,4,22,21,,,0,,,,,,,,,,,,,,,22/23
51,Édgar Badía,es ESP,GK,Elche,30,1992,36.0,0,0,0,,0.00,0.00,,,0,0,Matches,36,36,3240,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,1,6,0,0,0,0,,,0,63,1.75,199,136,68.3,5,10,21,4,11.1,7,3,0,30.0,22/23
52,Álex Baena,es ESP,"MF,FW",Villarreal,21,2001,21.6,6,62,23,37.1,2.87,1.06,0.10,0.26,0,0,Matches,35,19,1947,2,8,6,13,1,0.28,0.09,0.37,0.28,0.37,1,58,56,3,28,7,17,,,0,,,,,,,,,,,,,,,22/23
53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,0,0,Matches,33,30,2471,6,7,1,4,0,0.04,0.22,0.25,0.04,0.25,0,26,29,5,67,12,32,,,0,,,,,,,,,,,,,,,22/23
54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,1.3,0,1,0,0.0,0.78,0.00,0.00,,0,0,Matches,3,1,115,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,3,0,0,3,1,4,,,0,,,,,,,,,,,,,,,22/23
55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,35.9,0,6,1,16.7,0.17,0.03,0.00,0.00,0,0,Matches,37,37,3232,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0,42,34,7,105,24,30,,,2,,,,,,,,,,,,,,,22/23
56,Léo Baptistão,br BRA,"FW,MF",Almería,29,1992,19.2,4,44,15,34.1,2.29,0.78,0.09,0.27,0,0,Matches,28,24,1726,1,5,4,7,0,0.21,0.05,0.26,0.21,0.26,0,30,23,10,18,18,20,,,0,,,,,,,,,,,,,,,22/23
57,Keidi Bare,al ALB,MF,Espanyol,24,1997,5.6,0,5,3,60.0,0.89,0.54,0.00,0.00,0,0,Matches,18,4,503,1,1,0,0,0,0.00,0.18,0.18,0.00,0.18,0,10,13,0,6,11,7,,,0,,,,,,,,,,,,,,,22/23
58,Kike Barja,es ESP,"FW,MF",Osasuna,25,1997,14.6,1,17,6,35.3,1.17,0.41,0.06,0.17,0,0,Matches,27,15,1312,6,7,1,1,0,0.07,0.41,0.48,0.07,0.48,0,18,15,7,111,5,10,,,0,,,,,,,,,,,,,,,22/23
59,Ander Barrenetxea,es ESP,"DF,MF",Real Sociedad,20,2001,9.8,3,18,12,66.7,1.85,1.23,0.17,0.25,0,0,Matches,23,9,878,1,4,3,4,0,0.31,0.10,0.41,0.31,0.41,0,23,14,0,13,5,15,,,0,,,,,,,,,,,,,,,22/23
60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,8.0,0,12,3,25.0,1.49,0.37,0.00,0.00,0,0,Matches,21,6,724,1,1,0,4,0,0.00,0.12,0.12,0.00,0.12,0,7,12,0,7,8,11,,,0,,,,,,,,,,,,,,,22/23
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,7.6,0,2,0,0.0,0.26,0.00,0.00,,0,0,Matches,15,8,686,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,11,11,0,1,5,6,,,0,,,,,,,,,,,,,,,22/23
62,Bebé,cv CPV,"FW,MF",Rayo Vallecano,32,1990,0.7,0,4,0,0.0,6.00,0.00,0.00,,0,0,Matches,4,0,60,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,2,2,0,16,0,0,,,0,,,,,,,,,,,,,,,22/23
63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,3,1,143,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,0,0,3,3,0,,,0,,,,,,,,,,,,,,,22/23
64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,31.7,0,25,2,8.0,0.79,0.06,0.00,0.00,0,0,Matches,36,33,2855,2,2,0,4,0,0.00,0.06,0.06,0.00,0.06,0,26,16,2,51,53,22,,,0,,,,,,,,,,,,,,,22/23
65,Iker Benito,es ESP,MF,Osasuna,19,2002,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,4,2,176,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,2,1,6,2,3,,,0,,,,,,,,,,,,,,,22/23
66,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,19,107,45,42.1,4.73,1.99,0.11,0.27,7,8,Matches,24,24,2038,3,22,12,1,0,0.84,0.13,0.97,0.53,0.66,0,10,6,22,3,1,5,,,0,,,,,,,,,,,,,,,22/23
67,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,26.7,1,28,8,28.6,1.05,0.30,0.04,0.13,0,0,Matches,29,27,2406,1,2,1,9,1,0.04,0.04,0.07,0.04,0.07,1,31,33,5,67,36,33,,,0,,,,,,,,,,,,,,,22/23
68,Álex Berenguer,es ESP,MF,Athletic Club,27,1995,25.5,4,56,19,33.9,2.19,0.74,0.07,0.21,0,0,Matches,37,26,2297,1,5,4,2,0,0.16,0.04,0.20,0.16,0.20,0,48,26,19,164,10,35,,,0,,,,,,,,,,,,,,,22/23
69,Pedro Bigas,es ESP,DF,Elche,31,1990,22.4,0,22,8,36.4,0.98,0.36,0.00,0.00,0,0,Matches,28,25,2020,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,0,16,16,0,6,33,20,,,0,,,,,,,,,,,,,,,22/23
70,El Bilal Touré,ml MLI,FW,Almería,20,2001,14.0,7,29,14,48.3,2.06,1.00,0.24,0.50,0,0,Matches,21,15,1264,2,9,7,0,0,0.50,0.14,0.64,0.50,0.64,0,25,7,13,4,3,3,,,0,,,,,,,,,,,,,,,22/23
71,Antonio Blanco,es ESP,MF,Cádiz,22,2000,1.8,0,0,0,,0.00,0.00,,,0,0,Matches,3,2,158,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,1,0,0,1,4,,,0,,,,,,,,,,,,,,,22/23
72,Lautaro Blanco,ar ARG,"DF,MF",Elche,23,1999,9.7,0,1,1,100.0,0.10,0.10,0.00,0.00,0,0,Matches,17,9,872,2,2,0,2,0,0.00,0.21,0.21,0.00,0.21,0,7,2,2,86,2,10,,,0,,,,,,,,,,,,,,,22/23
73,Theo Bongonda,cd COD,MF,Cádiz,26,1995,21.5,4,43,15,34.9,2.00,0.70,0.07,0.20,1,1,Matches,31,24,1938,3,7,3,2,0,0.19,0.14,0.33,0.14,0.28,0,15,37,6,67,6,21,,,0,,,,,,,,,,,,,,,22/23
74,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,23.9,0,0,0,,0.00,0.00,,,0,0,Matches,25,25,2151,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,2,1,,,0,40,1.67,102,62,60.8,7,6,12,4,16.0,2,1,0,33.3,22/23
75,Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,7,72,21,29.2,2.63,0.77,0.10,0.33,0,1,Matches,35,29,2462,2,9,7,7,1,0.26,0.07,0.33,0.26,0.33,0,61,45,14,16,14,16,,,0,,,,,,,,,,,,,,,22/23
76,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31,1991,27.3,10,59,26,44.1,2.16,0.95,0.17,0.38,0,0,Matches,31,29,2456,2,12,10,5,1,0.37,0.07,0.44,0.37,0.44,0,21,42,13,20,6,3,,,0,,,,,,,,,,,,,,,22/23
77,Darko Brašanac,rs SRB,MF,Osasuna,30,1992,11.6,1,11,4,36.4,0.95,0.35,0.09,0.25,0,0,Matches,25,9,1041,1,2,1,5,0,0.09,0.09,0.17,0.09,0.17,0,16,14,3,7,12,20,,,0,,,,,,,,,,,,,,,22/23
78,Claudio Bravo,cl CHI,GK,Real Betis,39,1983,12.0,0,0,0,,0.00,0.00,,,0,0,Matches,12,12,1080,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,2,0,,,0,8,0.67,38,30,78.9,5,5,2,4,33.3,1,0,0,0.0,22/23
79,Ante Budimir,hr CRO,FW,Osasuna,31,1991,20.0,8,58,21,36.2,2.90,1.05,0.14,0.38,0,0,Matches,31,22,1798,0,8,8,5,0,0.40,0.00,0.40,0.40,0.40,0,48,23,12,3,5,8,,,0,,,,,,,,,,,,,,,22/23
80,Manu Bueno,es ESP,MF,Sevilla,18,2004,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,0,0,Matches,2,2,149,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,2,0,0,1,4,,,0,,,,,,,,,,,,,,,22/23
81,Santiago Bueno,uy URU,DF,Girona,23,1998,33.4,0,13,3,23.1,0.39,0.09,0.00,0.00,0,0,Matches,34,34,3010,1,1,0,7,1,0.00,0.03,0.03,0.00,0.03,1,36,36,2,3,35,37,,,0,,,,,,,,,,,,,,,22/23
82,Sergio Busquets,es ESP,MF,Barcelona,34,1988,26.0,0,9,2,22.2,0.35,0.08,0.00,0.00,0,0,Matches,30,28,2339,4,4,0,8,1,0.00,0.15,0.15,0.00,0.15,1,32,40,0,7,29,27,,,0,,,,,,,,,,,,,,,22/23
83,Leandro Cabrera,uy URU,DF,Espanyol,31,1991,29.7,0,23,6,26.1,0.78,0.20,0.00,0.00,0,0,Matches,32,31,2669,1,1,0,10,2,0.00,0.03,0.03,0.00,0.03,1,29,20,1,15,42,25,,,1,,,,,,,,,,,,,,,22/23
84,Cala,es ESP,DF,Cádiz,32,1989,1.5,0,1,0,0.0,0.66,0.00,0.00,,0,0,Matches,3,1,137,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,5,0,0,1,1,,,0,,,,,,,,,,,,,,,22/23
85,Fernando Calero,es ESP,"DF,MF",Espanyol,26,1995,17.9,0,7,2,28.6,0.39,0.11,0.00,0.00,0,0,Matches,27,20,1611,1,1,0,6,0,0.00,0.06,0.06,0.00,0.06,0,22,9,1,4,15,31,,,0,,,,,,,,,,,,,,,22/23
86,Alexander Callens,pe PER,DF,Girona,30,1992,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,6,0,120,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,3,1,0,0,1,3,,,0,,,,,,,,,,,,,,,22/23
87,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,19,2002,22.3,0,18,3,16.7,0.81,0.13,0.00,0.00,0,0,Matches,37,21,2010,1,1,0,6,0,0.00,0.04,0.04,0.00,0.04,0,39,69,3,6,19,49,,,0,,,,,,,,,,,,,,,22/23
88,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,6,76,19,25.0,2.85,0.71,0.08,0.32,0,0,Matches,38,27,2401,5,11,6,1,0,0.22,0.19,0.41,0.22,0.41,0,12,18,11,5,2,9,,,0,,,,,,,,,,,,,,,22/23
89,Sergio Canales,es ESP,MF,Real Betis,31,1991,26.7,4,38,11,28.9,1.42,0.41,0.08,0.27,1,1,Matches,31,28,2402,3,7,3,4,2,0.15,0.11,0.26,0.11,0.22,1,9,29,4,129,13,13,,,0,,,,,,,,,,,,,,,22/23
90,Ander Capa,es ESP,DF,Athletic Club,30,1992,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,7,1,109,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,4,0,0,4,0,1,,,0,,,,,,,,,,,,,,,22/23
91,Étienne Capoue,fr FRA,MF,Villarreal,34,1988,21.7,3,26,12,46.2,1.20,0.55,0.12,0.25,0,0,Matches,28,22,1955,0,3,3,4,0,0.14,0.00,0.14,0.14,0.14,0,18,41,0,9,19,11,,,0,,,,,,,,,,,,,,,22/23
92,Isaac Carcelen,es ESP,DF,Cádiz,29,1993,24.4,0,7,1,14.3,0.29,0.04,0.00,0.00,0,0,Matches,27,25,2199,1,1,0,4,3,0.00,0.04,0.04,0.00,0.04,0,16,26,2,73,20,51,,,0,,,,,,,,,,,,,,,22/23
93,Juan Carlos,es ESP,GK,Girona,34,1988,10.0,0,0,0,,0.00,0.00,,,0,0,Matches,10,10,900,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,0,,,0,18,1.80,44,26,59.1,2,2,6,0,0.0,2,0,0,0.0,22/23
94,José Carlos Lazo,es ESP,MF,Almería,26,1996,0.2,0,2,1,50.0,9.00,4.50,0.00,0.00,0,0,Matches,1,0,20,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,1,0,0,0,0,,,0,,,,,,,,,,,,,,,22/23
95,José Carlos Lazo,es ESP,MF,Espanyol,26,1996,1.8,1,4,1,25.0,2.26,0.57,0.25,1.00,0,0,Matches,10,0,159,1,2,1,0,0,0.57,0.57,1.13,0.57,1.13,0,2,5,0,4,3,3,,,0,,,,,,,,,,,,,,,22/23
