Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
47,Miguel Baeza,es ESP,MF,Celta Vigo,21,2000,0.0,0,0,0,0,0,0,1,0,0,,,0,Matches
48,Alejandro Balde,es ESP,DF,Barcelona,17,2003,2.1,0,0,0,4,4,0,6,1,1,,,0,Matches
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,2,0,0,3,0,1,3,2,1,,,0,Matches
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,2,0,0,21,12,1,50,20,25,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35.0,10,1,0,42,58,4,113,40,23,,,0,Matches
52,Barbero,es ESP,FW,Osasuna,22,1998,0.2,0,0,0,2,1,0,0,0,0,,,0,Matches
53,Barcia,es ESP,DF,Granada,20,2000,0.8,0,0,0,0,0,0,0,1,0,,,0,Matches
54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,18.9,3,0,0,34,44,4,89,10,11,,,0,Matches
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,9,0,0,25,29,0,7,16,18,,,0,Matches
56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,9.6,2,0,0,17,23,0,55,9,10,,,0,Matches
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,5,0,0,19,17,0,33,18,14,,,0,Matches
58,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,19,2001,6.1,0,0,0,10,16,1,9,2,10,,,0,Matches
59,Marc Bartra,es ESP,DF,Real Betis,30,1991,22.1,5,0,0,21,16,0,0,32,16,,,0,Matches
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,1,0,0,1,0,0,0,3,4,,,0,Matches
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,4,0,0,28,18,0,1,10,18,,,0,Matches
62,Jon Bautista,es ESP,FW,Real Sociedad,26,1995,0.5,0,0,0,1,2,1,0,1,0,,,0,Matches
63,Bebé,cv CPV,MF,Rayo Vallecano,31,1990,9.6,2,0,0,12,16,6,86,3,7,,,0,Matches
64,Héctor Bellerín,es ESP,DF,Real Betis,26,1995,22.0,2,1,0,23,14,2,42,23,33,,,1,Matches
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,4,0,0,18,25,0,17,33,42,,,0,Matches
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,6.6,1,0,0,3,6,3,6,1,1,,,0,Matches
67,Iker Benito,es ESP,MF,Osasuna,18,2002,1.3,1,0,0,1,3,0,4,0,1,,,0,Matches
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,0,0,0,3,0,0,1,0,0,,,0,Matches
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,0,0,0,13,9,31,11,5,8,,,0,Matches
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,3,0,0,7,19,0,34,13,11,,,0,Matches
71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,24.1,8,0,0,44,46,14,145,14,25,,,0,Matches
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,6,0,0,16,11,0,2,17,11,,,0,Matches
73,Antonio Blanco,es ESP,MF,Real Madrid,21,2000,0.3,0,0,0,1,0,0,0,1,0,,,0,Matches
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,2,0,0,0,3,0,0,0,0,,,0,Matches
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19.0,3,0,0,39,41,13,7,2,12,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,0,0,0,5,2,2,2,1,1,,,0,Matches
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,26.7,8,0,0,53,24,9,28,24,23,,,0,Matches
78,Claudio Bravo,cl CHI,GK,Real Betis,38,1983,16.2,2,0,0,1,1,0,0,0,0,,,0,Matches
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,3,0,0,17,5,0,0,4,3,,,0,Matches
80,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,3,0,0,37,31,16,7,4,11,,,0,Matches
81,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,12,0,0,52,67,2,3,42,51,,,0,Matches
82,Adrián Butzke,es ESP,FW,Granada,22,1999,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
83,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,4,1,1,7,4,0,1,4,1,,,1,Matches
84,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37.0,7,0,0,32,22,2,13,47,25,,,1,Matches
85,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,2,0,0,7,8,0,4,11,2,,,0,Matches
86,Cala,es ESP,DF,Cádiz,31,1989,10.5,8,1,1,11,7,1,0,11,5,,,0,Matches
87,Calderón,es ESP,DF,Real Betis,21,2000,0.7,0,0,0,1,1,0,4,0,0,,,0,Matches
88,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,3,0,0,10,6,0,0,14,9,,,0,Matches
89,Víctor Camarasa,es ESP,MF,Real Betis,27,1994,1.2,0,0,0,2,3,0,0,2,1,,,0,Matches
90,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,8,0,0,34,29,1,3,17,35,,,0,Matches
91,José Campaña,es ESP,MF,Levante,28,1993,15.8,6,1,0,17,22,1,55,22,16,,,0,Matches
92,Sergio Canales,es ESP,MF,Real Betis,30,1991,31.0,6,0,0,19,39,11,67,10,13,,,0,Matches
93,Álex Cantero,es ESP,"FW,MF",Levante,21,2000,6.8,1,0,0,12,4,0,6,1,4,,,0,Matches
94,Ander Capa,es ESP,"DF,MF",Athletic Club,29,1992,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
95,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,9,0,0,44,44,0,5,33,25,,,0,Matches
96,Isaac Carcelen,es ESP,"DF,MF",Cádiz,28,1993,17.2,2,0,0,23,25,1,49,32,31,,,0,Matches
97,Dani Cárdenas,es ESP,GK,Levante,24,1997,24.0,3,0,0,0,3,0,0,1,0,,,0,Matches
98,Carlo,es ESP,MF,Villarreal,20,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
99,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,4,1,1,33,19,1,3,21,24,,,0,Matches
100,Carmona,es ESP,"DF,MF",Sevilla,19,2002,0.3,0,0,0,0,1,0,0,1,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,27,1993,28.7,5,0,0,30,39,13,133,18,20,,,0,Matches
