Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
36,Ramón,es ESP,GK,Mirandés,21,1999,3,3,270,3.0,3,1.00,17,14,82.4,2,0,1,1,33.3,0,0,0,0,,Matches
37,Álvaro Ratón,es ESP,GK,Zaragoza,28,1993,4,4,360,4.0,6,1.50,14,8,57.1,1,1,2,1,25.0,0,0,0,0,,Matches
38,Asier Riesgo,es ESP,GK,Leganés,37,1983,20,20,1777,19.7,17,0.86,58,41,70.7,8,7,5,8,40.0,1,1,0,0,0.0,Matches
39,Roberto,es ESP,GK,Valladolid,35,1986,19,19,1710,19.0,23,1.21,69,46,66.7,9,4,6,7,36.8,5,4,1,0,20.0,Matches
40,Jesús Ruiz,es ESP,GK,Alcorcón,24,1997,14,14,1260,14.0,18,1.29,50,32,64.0,4,4,6,4,28.6,4,1,2,1,66.7,Matches
41,Mikel Saizar,es ESP,GK,Amorebieta,38,1983,10,9,867,9.6,13,1.35,24,11,45.8,3,3,3,3,33.3,2,1,1,0,50.0,Matches
42,Roberto Santamaría,es ESP,GK,Amorebieta,36,1985,24,24,2099,23.3,33,1.41,87,54,62.1,5,8,11,3,12.5,4,3,1,0,25.0,Matches
43,Juan Soriano,es ESP,GK,Tenerife,23,1997,41,41,3690,41.0,35,0.85,156,126,77.6,20,9,12,16,39.0,6,6,0,0,0.0,Matches
44,Álvaro Vallés,es ESP,GK,Las Palmas,24,1997,14,14,1260,14.0,13,0.93,48,35,72.9,9,4,1,6,42.9,1,0,1,0,100.0,Matches
45,Fran Vieites,es ESP,GK,Lugo,22,1999,12,12,1080,12.0,15,1.25,49,34,69.4,3,5,4,2,16.7,3,3,0,0,0.0,Matches
46,Iván Villar,es ESP,GK,Leganés,24,1997,10,10,900,10.0,17,1.70,40,23,57.5,2,3,5,1,10.0,1,1,0,0,0.0,Matches
47,Óscar Whalley,es ESP,GK,Lugo,27,1994,30,30,2700,30.0,37,1.23,128,91,71.1,7,15,8,7,23.3,4,3,1,0,25.0,Matches
48,Yoel,es ESP,GK,Eibar,32,1988,18,18,1620,18.0,19,1.06,68,49,72.1,10,5,3,6,33.3,1,1,0,0,0.0,Matches
49,Andoni Zubiaurre,es ESP,GK,Real Sociedad B,24,1996,21,21,1743,19.4,24,1.24,90,66,73.3,7,7,7,6,28.6,6,3,3,0,50.0,Matches
