Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Tony Abad,es ESP,"DF,MF",Huesca,27,1996,19.9,5,0,0,28,6,8,49,15,20,,,0,Matches
2,Haitam Abaida,ma MAR,FW,Málaga,22,2002,0.2,0,0,0,1,0,0,3,0,1,,,0,Matches
3,Amir Abedzadeh,ir IRN,GK,Castellón,31,1993,2.9,0,0,0,1,0,0,0,0,0,,,0,Matches
4,Álvaro Aceves,es ESP,GK,Eldense,21,2003,0.7,0,0,0,0,1,0,0,0,0,,,0,Matches
5,Adilson,pt POR,"FW,MF",Córdoba,27,1997,15.3,1,0,0,17,22,9,22,9,12,,,0,Matches
6,David Affengruber,at AUT,DF,Elche,23,2001,35.6,3,0,0,30,27,7,4,56,51,,,0,Matches
7,Martin Agirregabiria,es ESP,DF,Cartagena,28,1996,25.4,8,0,0,36,25,3,63,40,26,,,0,Matches
8,Marc Aguado,es ESP,MF,Elche,24,2000,6.0,2,0,0,8,3,0,1,10,8,,,0,Matches
9,Marc Aguado,es ESP,MF,Zaragoza,24,2000,11.4,2,0,0,15,13,0,1,21,18,,,0,Matches
10,Lalo Aguilar,es ESP,DF,Albacete,22,2002,29.8,5,1,1,12,10,1,1,23,22,,,1,Matches
11,Lucas Ahijado,es ESP,DF,Oviedo,29,1995,8.7,3,0,0,16,6,1,16,6,16,,,0,Matches
12,Ager Aketxe,es ESP,"MF,FW",Zaragoza,30,1993,20.9,4,0,0,25,34,0,141,8,20,,,0,Matches
13,Tomás Alarcón,cl CHI,"DF,MF",Cádiz,25,1999,0.9,1,0,0,3,2,0,1,1,1,,,0,Matches
14,Albarrán,es ESP,DF,Córdoba,30,1994,32.8,11,0,0,67,15,6,73,29,37,,,0,Matches
15,Raúl Alcaina,es ESP,MF,Dep. La Coruña,24,2000,1.0,0,0,0,0,2,0,3,0,2,,,0,Matches
16,Pedro Alcalá,es ESP,DF,Cartagena,35,1989,29.0,5,0,0,20,14,1,2,26,18,,,1,Matches
17,Rubén Alcaraz,es ESP,MF,Cádiz,33,1991,23.6,10,0,0,45,31,1,41,32,38,,,1,Matches
18,Aldasoro,es ESP,MF,Racing Sant,25,1999,32.1,11,0,0,48,36,0,1,42,38,,,0,Matches
19,Iker Alday,es ESP,DF,Eibar,21,2003,0.1,0,0,0,1,0,0,1,1,0,,,0,Matches
20,Iván Alejo,es ESP,"MF,DF",Cádiz,29,1995,9.4,5,0,0,17,23,1,90,7,16,,,0,Matches
21,Alexandre Alemão,br BRA,FW,Oviedo,26,1998,33.0,3,0,0,74,61,11,18,7,23,,,0,Matches
22,Alejandro Alfaro,es ESP,MF,Dep. La Coruña,22,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
23,Ángel Algobia,es ESP,MF,Levante,25,1999,8.9,2,0,0,12,4,0,6,12,16,,,0,Matches
24,Julio Alonso,es ESP,"MF,DF",Mirandés,25,1998,23.3,5,0,0,25,25,4,59,9,34,,,0,Matches
25,Agustín Álvarez,uy URU,"FW,MF",Elche,23,2001,25.9,7,0,0,30,47,5,3,6,12,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Carlos Álvarez,es ESP,"MF,FW",Levante,20,2003,37.6,4,0,0,26,107,5,86,13,36,,,0,Matches
27,César Álvarez,es ESP,DF,Tenerife,21,2003,8.0,2,1,1,6,0,0,19,9,8,,,0,Matches
28,Ismael Álvarez,es ESP,FW,Cádiz,16,2007,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
29,Sergio Álvarez,es ESP,MF,Eibar,32,1992,31.0,5,1,1,43,24,0,14,35,71,,,0,Matches
30,Rubén Alves,es ESP,DF,Tenerife,29,1994,6.7,0,0,0,11,2,0,2,8,10,,,0,Matches
31,Rubén Alves,es ESP,DF,Córdoba,29,1994,8.1,5,0,0,11,9,0,1,13,10,,,0,Matches
32,Jair Amador,gq EQG,DF,Zaragoza,34,1989,18.4,5,0,0,20,13,0,0,31,9,,,0,Matches
33,Andy,es ESP,MF,Cartagena,34,1990,24.6,4,0,0,25,16,0,94,31,24,,,0,Matches
34,José Ángel,es ESP,DF,Sporting Gijón,34,1989,15.1,8,0,0,18,7,1,153,9,16,,,0,Matches
35,José Ángel,es ESP,MF,Dep. La Coruña,32,1992,21.7,5,0,0,38,35,2,50,29,40,,,0,Matches
36,Miguel Ángel Rubio,es ESP,DF,Granada,26,1998,29.0,7,0,0,37,13,2,1,23,21,,,0,Matches
37,Hugo Anglada,es ESP,DF,Huesca,20,2004,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
38,Josep Antoni Gayá,es ESP,DF,Tenerife,24,2000,10.4,4,0,0,10,6,0,0,14,15,,,0,Matches
39,José Antonio,es ESP,MF,Cádiz,20,2004,9.3,1,0,0,14,24,2,35,7,9,,,0,Matches
40,José Antonio Ríos,es ESP,DF,Cartagena,34,1990,11.9,1,0,0,1,5,0,65,9,5,,,0,Matches
41,Juan Antonio Ros,es ESP,DF,Albacete,28,1996,11.7,2,0,0,10,0,2,2,12,4,,,0,Matches
42,Kévin Appin,mq MTQ,MF,Burgos,26,1998,5.7,0,0,0,7,10,2,3,5,8,,,0,Matches
43,Aritz Arambarri,es ESP,DF,Eibar,26,1998,26.8,7,1,1,20,5,1,1,26,19,,,0,Matches
44,Arana,es ESP,FW,Racing Sant,24,2000,25.2,6,0,0,44,29,14,8,3,6,,,0,Matches
45,Anaitz Arbilla,es ESP,DF,Eibar,37,1987,25.8,10,1,1,24,8,0,2,34,13,,,0,Matches
46,Adu Ares,es ESP,"MF,DF",Zaragoza,22,2001,16.3,9,0,0,36,39,0,22,11,15,,,0,Matches
47,Jeremy Arévalo,ec ECU,MF,Racing Sant,19,2005,1.7,0,0,0,4,7,0,0,2,1,,,0,Matches
48,Ayman Arguigue,ma MAR,FW,Huesca,19,2005,1.0,1,0,0,2,2,0,0,1,1,,,0,Matches
49,Kervin Arriaga,hn HON,"MF,DF",Zaragoza,26,1998,14.6,8,0,0,27,29,3,2,7,24,,,0,Matches
50,Sergio Arribas,es ESP,MF,Almería,22,2001,28.7,3,1,0,21,46,4,138,15,22,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Hodei Arrillaga,,DF,Eibar,,,17.5,1,0,0,15,4,1,42,22,26,,,0,Matches
52,Anderson Arroyo,co COL,DF,Burgos,24,1999,29.9,6,0,0,22,33,2,48,44,35,,,0,Matches
53,Assane,sn SEN,MF,Cartagena,24,1999,14.2,2,0,0,15,23,2,4,21,23,,,0,Matches
