Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 18_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Haitam Abaida,ma MAR,MF,Málaga,20,2002,1.1,1,3,1,33.3,2.62,0.87,0.33,1.00,0,0,Matches
2,Sabit Abdulai,gh GHA,"MF,DF",Ponferradina,23,1999,8.2,0,3,1,33.3,0.37,0.12,0.00,0.00,0,0,Matches
3,Amir Abedzadeh,ir IRN,GK,Ponferradina,29,1993,30.0,0,0,0,,0.00,0.00,,,0,0,Matches
4,Abdel Abqar,ma MAR,DF,Alavés,23,1999,31.7,1,13,4,30.8,0.41,0.13,0.08,0.25,0,0,Matches
5,Alonso Aceves,mx MEX,DF,Oviedo,21,2001,8.7,0,2,0,0.0,0.23,0.00,0.00,,0,0,Matches
6,Paris Adot,es ESP,DF,Ponferradina,32,1990,32.4,0,8,3,37.5,0.25,0.09,0.00,0.00,0,0,Matches
7,Lumor Agbenyenu,gh GHA,"MF,DF",Málaga,25,1996,1.1,0,1,0,0.0,0.88,0.00,0.00,,0,0,Matches
8,Marc Aguado,es ESP,MF,FC Andorra,22,2000,31.0,0,5,3,60.0,0.16,0.10,0.00,0.00,0,0,Matches
9,Lalo Aguilar,es ESP,DF,Leganés,20,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
10,Lucas Ahijado,es ESP,DF,Oviedo,27,1995,38.5,0,17,3,17.6,0.44,0.08,0.00,0.00,0,0,Matches
11,Matheus Aiás,br BRA,"FW,MF",Racing Sant,25,1996,17.9,3,53,29,54.7,2.96,1.62,0.06,0.10,0,0,Matches
12,Ager Aketxe,es ESP,MF,Eibar,28,1993,8.7,2,19,7,36.8,2.19,0.81,0.11,0.29,0,0,Matches
13,Tomás Alarcón,cl CHI,MF,Zaragoza,23,1999,5.7,0,0,0,,0.00,0.00,,,0,0,Matches
14,Williams Alarcón,cl CHI,MF,Ibiza,21,2000,5.8,0,5,1,20.0,0.87,0.17,0.00,0.00,0,0,Matches
15,Alberto,es ESP,DF,Lugo,29,1992,35.0,3,26,8,30.8,0.74,0.23,0.12,0.38,0,0,Matches
16,Pedro Alcalá,es ESP,DF,Cartagena,33,1989,25.9,2,22,6,27.3,0.85,0.23,0.09,0.33,0,0,Matches
17,Edgar Alcañiz,es ESP,MF,Levante,17,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
18,Aldair,pt POR,"MF,DF",Ponferradina,22,1999,3.9,0,1,0,0.0,0.26,0.00,0.00,,0,0,Matches
19,Aldasoro,es ESP,MF,Racing Sant,23,1999,22.7,1,18,6,33.3,0.79,0.26,0.06,0.17,0,0,Matches
20,Iker Alday,es ESP,DF,Eibar,19,2003,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
21,Diego Alende,es ESP,DF,FC Andorra,24,1997,20.2,0,5,1,20.0,0.25,0.05,0.00,0.00,0,0,Matches
22,Alfon,es ESP,FW,Racing Sant,23,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,0,0,Matches
23,Christos Almpanis,gr GRE,FW,FC Andorra,27,1994,18.2,4,35,11,31.4,1.92,0.60,0.11,0.36,0,0,Matches
24,Javier Alonso,es ESP,MF,Tenerife,23,1998,8.9,0,6,0,0.0,0.68,0.00,0.00,,0,0,Matches
25,Julio Alonso,es ESP,DF,Albacete,23,1998,32.5,0,8,2,25.0,0.25,0.06,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Adrià Altimira,es ESP,"DF,FW",FC Andorra,21,2001,27.5,1,19,7,36.8,0.69,0.25,0.05,0.14,0,0,Matches
27,Altube,es ESP,GK,Albacete,22,2000,12.0,0,0,0,,0.00,0.00,,,0,0,Matches
28,Cristian Álvarez,ar ARG,GK,Zaragoza,36,1985,35.0,0,0,0,,0.00,0.00,,,0,0,Matches
29,Fran Álvarez,es ESP,MF,Albacete,24,1998,7.0,1,13,4,30.8,1.86,0.57,0.08,0.25,0,0,Matches
30,Iker Álvarez,ad AND,GK,Villarreal B,21,2001,23.0,0,0,0,,0.00,0.00,,,0,0,Matches
31,Sergio Álvarez,es ESP,"MF,DF",Eibar,30,1992,32.2,0,8,0,0.0,0.25,0.00,0.00,,0,0,Matches
32,Rubén Alves,es ESP,DF,Racing Sant,27,1994,33.4,0,14,1,7.1,0.42,0.03,0.00,0.00,0,0,Matches
33,Jair Amador,gq EQG,DF,Zaragoza,32,1989,34.6,3,22,9,40.9,0.64,0.26,0.14,0.33,0,0,Matches
34,Jose Amo,es ESP,DF,Ponferradina,24,1998,28.8,2,9,3,33.3,0.31,0.10,0.22,0.67,0,0,Matches
35,Guillermo de Amores,uy URU,GK,Sporting Gijón,27,1994,0.5,0,0,0,,0.00,0.00,,,0,0,Matches
36,Florin Andone,ro ROU,FW,Las Palmas,29,1993,5.8,2,12,4,33.3,2.07,0.69,0.17,0.50,0,0,Matches
37,Andy,es ESP,MF,Burgos,32,1990,1.5,0,1,0,0.0,0.67,0.00,0.00,,0,0,Matches
38,José Ángel Carrillo,es ESP,FW,Huesca,28,1994,10.3,2,14,5,35.7,1.36,0.49,0.14,0.40,0,0,Matches
39,José Ángel,es ESP,"DF,MF",Sporting Gijón,32,1989,28.6,0,11,4,36.4,0.38,0.14,0.00,0.00,0,0,Matches
40,José Ángel,es ESP,MF,Tenerife,30,1992,17.9,1,17,3,17.6,0.95,0.17,0.06,0.33,0,0,Matches
41,Miguel Ángel Rubio,es ESP,DF,Granada,24,1998,29.3,1,13,2,15.4,0.44,0.07,0.08,0.50,0,0,Matches
42,Hugo Anglada,es ESP,DF,Huesca,18,2004,2.5,0,0,0,,0.00,0.00,,,0,0,Matches
43,Paul Anton,ro ROU,MF,Ponferradina,31,1991,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
44,Leandro Antonetti,pr PUR,FW,Lugo,19,2003,2.4,0,2,1,50.0,0.83,0.42,0.00,0.00,0,0,Matches
45,José Antonio Ríos,es ESP,DF,Eibar,32,1990,6.8,0,1,0,0.0,0.15,0.00,0.00,,0,0,Matches
46,Juan Antonio Ros,es ESP,DF,Albacete,26,1996,7.9,0,2,0,0.0,0.25,0.00,0.00,,0,0,Matches
47,Arvin Appiah,eng ENG,MF,Málaga,21,2001,1.6,1,4,1,25.0,2.54,0.63,0.25,1.00,0,0,Matches
48,Arvin Appiah,eng ENG,MF,Tenerife,21,2001,4.5,0,5,2,40.0,1.12,0.45,0.00,0.00,0,0,Matches
49,Kévin Appin,mq MTQ,"MF,FW",Ibiza,24,1998,22.3,0,16,3,18.8,0.72,0.13,0.00,0.00,0,0,Matches
50,Arana,es ESP,FW,Eibar,22,2000,0.9,0,4,1,25.0,4.68,1.17,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Arana,es ESP,FW,Villarreal B,22,2000,4.2,2,15,2,13.3,3.59,0.48,0.13,1.00,0,0,Matches
52,Anaitz Arbilla,es ESP,DF,Eibar,35,1987,33.5,0,18,5,27.8,0.54,0.15,0.00,0.00,0,0,Matches
53,Jesús Areso,es ESP,"DF,MF",Burgos,23,1999,28.6,0,5,2,40.0,0.17,0.07,0.00,0.00,0,0,Matches
54,Matias Arezo,uy URU,"MF,FW",Granada,19,2002,2.3,1,7,1,14.3,3.07,0.44,0.14,1.00,0,0,Matches
55,David Argüelles,es ESP,DF,Sporting Gijón,20,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
56,Raúl Arias,,FW,Ponferradina,,,0.1,0,1,0,0.0,8.18,0.00,0.00,,0,0,Matches
57,José Arnaiz,es ESP,"FW,MF",Leganés,27,1995,35.3,9,80,35,43.8,2.26,0.99,0.10,0.23,1,2,Matches
58,Óscar Arribas,ph PHI,"MF,FW",Cartagena,23,1998,2.9,1,4,2,50.0,1.40,0.70,0.25,0.50,0,0,Matches
59,Anderson Arroyo,co COL,DF,Alavés,22,1999,10.2,0,3,0,0.0,0.30,0.00,0.00,,0,0,Matches
60,Juan Artola,es ESP,FW,Burgos,22,2000,11.4,3,19,7,36.8,1.67,0.62,0.16,0.43,0,0,Matches
61,Juan Aspra,es ESP,MF,Sporting Gijón,20,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
62,Miguel Atienza,es ESP,MF,Burgos,23,1999,34.7,1,14,5,35.7,0.40,0.14,0.07,0.20,0,0,Matches
63,Emmanuel Attipoe,gh GHA,MF,Albacete,22,2000,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
64,Javier Avilés,es ESP,FW,Lugo,24,1997,10.9,1,12,4,33.3,1.10,0.37,0.08,0.25,0,0,Matches
