Jugador,Temporada,Equipo,Pos,Edad,Partidos,Minutos,Goles,Asistencias,G+A,Penales,Amarillas,2a Amarillas,Rojas,Tiros,Tiros a puerta,Faltas hechas,Faltas recibidas,Intercepciones,Entradas ganadas,Goles recibidos,Tiros a puerta recibidos,Victorias,Empates,Derrotas,Partidos sin goles,Tiros a puerta parados (%),Penaltis parados (%)
Diego López,22/23,Valencia,MF,20.0,10.0,447.0,3.0,1.0,4.0,,0.0,0.0,0.0,12.0,8.0,6.0,7.0,4.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,20.0,
Diego López,23/24,Valencia,"MF,FW",21.0,36.0,2656.0,3.0,6.0,9.0,,2.0,0.0,0.0,41.0,15.0,26.0,31.0,21.0,26.0,,,,,,,,
Diego López,24/25,Valencia,MF,22.0,38.0,2737.0,8.0,5.0,13.0,,3.0,0.0,0.0,44.0,14.0,21.0,33.0,13.0,18.0,,,,,,,,
Diego López,25/26,Valencia,"MF,FW",23.0,34.0,1762.0,4.0,1.0,5.0,,2.0,0.0,0.0,28.0,8.0,20.0,33.0,14.0,16.0,,,,,,,,
Diego Murillo,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Murillo,22/23,Málaga,DF,21.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Diego Murillo,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Murillo,24/25,Málaga,DF,23.0,10.0,776.0,1.0,0.0,1.0,,1.0,0.0,0.0,7.0,1.0,10.0,13.0,4.0,14.0,,,,,,,,
Diego Murillo,25/26,Málaga,DF,24.0,36.0,3107.0,2.0,0.0,2.0,,10.0,0.0,1.0,14.0,4.0,37.0,37.0,46.0,33.0,,,,,,,,
Diego Villares,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Villares,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Villares,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Villares,24/25,Dep. La Coruña,MF,28.0,40.0,3143.0,4.0,1.0,5.0,,3.0,0.0,1.0,20.0,7.0,32.0,34.0,36.0,39.0,,,,,,,,
Diego Villares,25/26,Dep. La Coruña,MF,29.0,36.0,2450.0,2.0,0.0,2.0,,5.0,0.0,0.0,15.0,7.0,30.0,20.0,46.0,28.0,,,,,,,,
Dimitri Foulquier,21/22,Granada,DF,28.0,2.0,180.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,,
Dimitri Foulquier,21/22,Valencia,"DF,MF",28.0,29.0,2342.0,0.0,1.0,1.0,,11.0,0.0,0.0,16.0,5.0,39.0,40.0,30.0,16.0,,,,,,,,
Dimitri Foulquier,22/23,Valencia,DF,29.0,30.0,1738.0,0.0,2.0,2.0,,4.0,0.0,0.0,3.0,0.0,28.0,14.0,14.0,19.0,,,,,,,,
Dimitri Foulquier,23/24,Valencia,"DF,MF",30.0,33.0,1842.0,0.0,0.0,0.0,,3.0,0.0,0.0,7.0,1.0,24.0,28.0,14.0,21.0,,,,,,,,
Dimitri Foulquier,24/25,Valencia,DF,31.0,32.0,2299.0,0.0,1.0,1.0,,6.0,0.0,0.0,13.0,2.0,24.0,31.0,17.0,31.0,,,,,,,,
Dimitri Foulquier,25/26,Valencia,DF,32.0,15.0,1150.0,0.0,0.0,0.0,,1.0,0.0,0.0,6.0,1.0,16.0,7.0,8.0,9.0,,,,,,,,
Djené,21/22,Getafe,DF,29.0,35.0,3115.0,0.0,1.0,1.0,,11.0,0.0,1.0,4.0,1.0,47.0,36.0,60.0,26.0,,,,,,,,
Djené,22/23,Getafe,DF,30.0,33.0,2840.0,0.0,1.0,1.0,,10.0,0.0,1.0,9.0,1.0,50.0,37.0,39.0,28.0,,,,,,,,
Djené,23/24,Getafe,"DF,MF",31.0,33.0,2484.0,0.0,0.0,0.0,,14.0,1.0,1.0,6.0,1.0,51.0,37.0,23.0,20.0,,,,,,,,
Djené,24/25,Getafe,"DF,MF",32.0,31.0,2548.0,0.0,0.0,0.0,,10.0,0.0,1.0,6.0,0.0,40.0,26.0,21.0,13.0,,,,,,,,
Djené,25/26,Getafe,"DF,MF",33.0,34.0,2578.0,0.0,0.0,0.0,,10.0,0.0,2.0,4.0,0.0,35.0,26.0,38.0,24.0,,,,,,,,
Djibril Sow,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibril Sow,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibril Sow,23/24,Sevilla,MF,26.0,24.0,1460.0,1.0,1.0,2.0,,6.0,0.0,0.0,18.0,5.0,27.0,19.0,18.0,21.0,,,,,,,,
Djibril Sow,24/25,Sevilla,MF,27.0,30.0,2062.0,2.0,1.0,3.0,,5.0,0.0,0.0,22.0,6.0,23.0,40.0,27.0,14.0,,,,,,,,
Djibril Sow,25/26,Sevilla,MF,28.0,33.0,2187.0,5.0,4.0,9.0,,6.0,0.0,0.0,19.0,8.0,42.0,29.0,23.0,27.0,,,,,,,,
Dávid Hancko,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Dávid Hancko,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Dávid Hancko,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Dávid Hancko,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Dávid Hancko,25/26,Atlético Madrid,DF,27.0,30.0,2432.0,0.0,2.0,2.0,,2.0,0.0,0.0,21.0,5.0,15.0,4.0,19.0,27.0,,,,,,,,
Edgar Alcañiz,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Alcañiz,22/23,Levante,MF,17.0,1.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Edgar Alcañiz,23/24,Levante,MF,18.0,2.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Edgar Alcañiz,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Alcañiz,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Edu Expósito,21/22,Eibar,MF,24.0,40.0,3294.0,8.0,6.0,14.0,,3.0,0.0,0.0,87.0,35.0,30.0,61.0,17.0,21.0,,,,,,,,
Edu Expósito,22/23,Espanyol,MF,25.0,28.0,1160.0,2.0,2.0,4.0,,3.0,0.0,1.0,19.0,7.0,14.0,29.0,12.0,21.0,,,,,,,,
Edu Expósito,23/24,Espanyol,MF,26.0,21.0,1138.0,1.0,4.0,5.0,,3.0,0.0,0.0,32.0,11.0,21.0,16.0,14.0,16.0,,,,,,,,
Edu Expósito,24/25,Espanyol,MF,27.0,19.0,1045.0,0.0,2.0,2.0,,3.0,0.0,0.0,18.0,6.0,14.0,22.0,16.0,13.0,,,,,,,,
Edu Expósito,25/26,Espanyol,MF,28.0,36.0,2523.0,1.0,6.0,7.0,,9.0,0.0,0.0,44.0,13.0,28.0,42.0,24.0,29.0,,,,,,,,
Eduardo Camavinga,21/22,Real Madrid,MF,18.0,26.0,1236.0,2.0,1.0,3.0,,8.0,0.0,0.0,12.0,5.0,34.0,29.0,17.0,35.0,,,,,,,,
Eduardo Camavinga,22/23,Real Madrid,"MF,DF",19.0,37.0,2010.0,0.0,1.0,1.0,,6.0,0.0,0.0,18.0,3.0,39.0,69.0,19.0,49.0,,,,,,,,
Eduardo Camavinga,23/24,Real Madrid,MF,20.0,31.0,1817.0,0.0,2.0,2.0,,9.0,0.0,0.0,17.0,7.0,49.0,68.0,26.0,48.0,,,,,,,,
Eduardo Camavinga,24/25,Real Madrid,"MF,DF",21.0,19.0,1102.0,1.0,2.0,3.0,,2.0,0.0,0.0,8.0,2.0,21.0,31.0,19.0,26.0,,,,,,,,
Eduardo Camavinga,25/26,Real Madrid,MF,22.0,29.0,1528.0,1.0,0.0,1.0,,2.0,0.0,0.0,13.0,2.0,34.0,31.0,15.0,37.0,,,,,,,,
Einar Galilea,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Einar Galilea,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Einar Galilea,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Einar Galilea,24/25,Málaga,DF,30.0,27.0,1989.0,0.0,1.0,1.0,,2.0,0.0,1.0,12.0,3.0,17.0,11.0,27.0,20.0,,,,,,,,
Einar Galilea,25/26,Málaga,DF,31.0,24.0,1817.0,2.0,0.0,2.0,,6.0,1.0,1.0,11.0,5.0,14.0,9.0,14.0,14.0,,,,,,,,
Endrick,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Endrick,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Endrick,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Endrick,24/25,Real Madrid,FW,18.0,22.0,363.0,1.0,0.0,1.0,,1.0,0.0,0.0,23.0,7.0,10.0,9.0,4.0,2.0,,,,,,,,
Endrick,25/26,Real Madrid,FW,19.0,1.0,12.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
Eneko Jauregi,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Eneko Jauregi,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Eneko Jauregi,23/24,Amorebieta,FW,27.0,37.0,2265.0,6.0,2.0,8.0,,3.0,0.0,0.0,40.0,11.0,40.0,51.0,5.0,2.0,,,,,,,,
Eneko Jauregi,24/25,Racing Ferrol,FW,28.0,37.0,1849.0,6.0,0.0,6.0,,3.0,0.0,0.0,39.0,15.0,29.0,48.0,4.0,3.0,,,,,,,,
Eneko Jauregi,25/26,Málaga,FW,29.0,23.0,580.0,4.0,0.0,4.0,,1.0,0.0,0.0,18.0,11.0,10.0,12.0,1.0,3.0,,,,,,,,
Enzo Bardeli,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Bardeli,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Bardeli,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Bardeli,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Bardeli,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Boyomo,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Boyomo,22/23,Albacete,DF,20.0,37.0,3122.0,1.0,2.0,3.0,,10.0,0.0,1.0,17.0,2.0,49.0,12.0,39.0,38.0,,,,,,,,
Enzo Boyomo,23/24,Valladolid,DF,21.0,38.0,2975.0,1.0,0.0,1.0,,5.0,0.0,1.0,11.0,2.0,29.0,8.0,30.0,46.0,,,,,,,,
Enzo Boyomo,24/25,Osasuna,DF,22.0,34.0,2987.0,2.0,0.0,2.0,,5.0,0.0,0.0,12.0,3.0,43.0,8.0,41.0,44.0,,,,,,,,
Enzo Boyomo,24/25,Valladolid,DF,22.0,3.0,270.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,,,,,,,,
Enzo Boyomo,25/26,Osasuna,DF,23.0,30.0,2542.0,1.0,2.0,3.0,,7.0,0.0,0.0,11.0,4.0,33.0,5.0,17.0,36.0,,,,,,,,
Eric García,21/22,Barcelona,DF,20.0,26.0,2039.0,0.0,0.0,0.0,,5.0,0.0,1.0,6.0,4.0,35.0,5.0,41.0,17.0,,,,,,,,
Eric García,22/23,Barcelona,"DF,MF",21.0,24.0,1417.0,1.0,0.0,1.0,,3.0,0.0,0.0,7.0,1.0,18.0,8.0,17.0,17.0,,,,,,,,
Eric García,23/24,Barcelona,"DF,MF",22.0,2.0,57.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
Eric García,23/24,Girona,DF,22.0,30.0,2637.0,5.0,0.0,5.0,,4.0,0.0,0.0,16.0,6.0,24.0,26.0,29.0,40.0,,,,,,,,
Eric García,24/25,Barcelona,"DF,MF",23.0,29.0,1566.0,2.0,3.0,5.0,,4.0,0.0,0.0,14.0,8.0,20.0,8.0,18.0,21.0,,,,,,,,
Eric García,25/26,Barcelona,"DF,MF",24.0,34.0,2721.0,1.0,1.0,2.0,,6.0,0.0,0.0,25.0,7.0,33.0,24.0,50.0,44.0,,,,,,,,
Eric Puerto,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Puerto,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Puerto,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Puerto,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Puerto,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Etienne Eto'o,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Etienne Eto'o,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Etienne Eto'o,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Etienne Eto'o,24/25,Rayo Vallecano,FW,21.0,2.0,40.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Etienne Eto'o,25/26,Mirandés,FW,22.0,6.0,108.0,0.0,0.0,0.0,,1.0,0.0,0.0,4.0,1.0,4.0,2.0,0.0,0.0,,,,,,,,
Facundo Bernal,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Bernal,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Bernal,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Bernal,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Bernal,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Garcés,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Garcés,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Garcés,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Garcés,24/25,Alavés,DF,24.0,10.0,678.0,0.0,0.0,0.0,,2.0,0.0,0.0,5.0,1.0,7.0,2.0,6.0,2.0,,,,,,,,
Facundo Garcés,25/26,Alavés,DF,25.0,10.0,793.0,0.0,0.0,0.0,,3.0,0.0,0.0,8.0,4.0,13.0,3.0,7.0,8.0,,,,,,,,
Facundo González,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo González,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo González,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo González,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo González,25/26,Racing Sant,DF,22.0,27.0,1982.0,1.0,0.0,1.0,,4.0,0.0,0.0,12.0,2.0,22.0,18.0,20.0,14.0,,,,,,,,
Federico Gattoni,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Gattoni,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Gattoni,23/24,Sevilla,DF,24.0,2.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,
Federico Gattoni,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Gattoni,25/26,Sevilla,DF,26.0,1.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Federico Redondo,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Redondo,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Redondo,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Redondo,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Redondo,25/26,Elche,MF,22.0,11.0,179.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,8.0,5.0,5.0,2.0,,,,,,,,
Federico Valverde,21/22,Real Madrid,MF,23.0,31.0,1833.0,0.0,1.0,1.0,,2.0,0.0,0.0,34.0,9.0,17.0,9.0,22.0,17.0,,,,,,,,
Federico Valverde,22/23,Real Madrid,"MF,FW",24.0,34.0,2502.0,7.0,4.0,11.0,,2.0,0.0,0.0,63.0,21.0,11.0,15.0,16.0,20.0,,,,,,,,
Federico Valverde,23/24,Real Madrid,MF,25.0,37.0,2904.0,2.0,7.0,9.0,,2.0,0.0,0.0,56.0,19.0,19.0,15.0,43.0,35.0,,,,,,,,
Federico Valverde,24/25,Real Madrid,"MF,DF",26.0,36.0,3032.0,6.0,4.0,10.0,,4.0,0.0,0.0,57.0,22.0,12.0,15.0,54.0,33.0,,,,,,,,
Federico Valverde,25/26,Real Madrid,"MF,DF",27.0,33.0,2740.0,5.0,8.0,13.0,,3.0,0.0,1.0,51.0,22.0,18.0,14.0,25.0,25.0,,,,,,,,
Ferland Mendy,21/22,Real Madrid,DF,26.0,22.0,1734.0,2.0,1.0,3.0,,4.0,0.0,0.0,12.0,5.0,15.0,24.0,16.0,15.0,,,,,,,,
Ferland Mendy,22/23,Real Madrid,DF,27.0,18.0,1351.0,0.0,1.0,1.0,,2.0,0.0,0.0,1.0,0.0,4.0,18.0,13.0,11.0,,,,,,,,
Ferland Mendy,23/24,Real Madrid,DF,28.0,23.0,1720.0,0.0,0.0,0.0,,5.0,0.0,0.0,5.0,2.0,17.0,14.0,12.0,10.0,,,,,,,,
Ferland Mendy,24/25,Real Madrid,DF,29.0,14.0,1005.0,0.0,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,5.0,7.0,9.0,14.0,,,,,,,,
Ferland Mendy,25/26,Real Madrid,DF,30.0,5.0,207.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,
Fermin López,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermin López,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermin López,23/24,Barcelona,"MF,FW",20.0,31.0,1446.0,8.0,0.0,8.0,,2.0,0.0,0.0,51.0,25.0,43.0,17.0,3.0,20.0,,,,,,,,
Fermin López,24/25,Barcelona,MF,21.0,28.0,1252.0,6.0,5.0,11.0,,4.0,0.0,1.0,41.0,16.0,27.0,21.0,4.0,14.0,,,,,,,,
Fermin López,25/26,Barcelona,MF,22.0,30.0,1797.0,6.0,9.0,15.0,,3.0,0.0,0.0,68.0,25.0,34.0,20.0,7.0,22.0,,,,,,,,
Fernando Calero,21/22,Espanyol,DF,25.0,16.0,1090.0,0.0,0.0,0.0,,3.0,0.0,0.0,1.0,0.0,10.0,6.0,14.0,9.0,,,,,,,,
Fernando Calero,22/23,Espanyol,"DF,MF",26.0,27.0,1611.0,0.0,1.0,1.0,,6.0,0.0,0.0,7.0,2.0,22.0,9.0,15.0,31.0,,,,,,,,
Fernando Calero,23/24,Espanyol,DF,27.0,23.0,1791.0,3.0,0.0,3.0,,9.0,0.0,1.0,8.0,6.0,26.0,8.0,38.0,38.0,,,,,,,,
Fernando Calero,24/25,Espanyol,DF,28.0,21.0,715.0,1.0,0.0,1.0,,1.0,0.0,0.0,2.0,1.0,6.0,8.0,15.0,9.0,,,,,,,,
Fernando Calero,25/26,Espanyol,DF,29.0,28.0,2148.0,0.0,0.0,0.0,,5.0,0.0,0.0,12.0,1.0,15.0,9.0,31.0,18.0,,,,,,,,
Ferran Jutglà,21/22,Barcelona,FW,22.0,6.0,301.0,1.0,0.0,1.0,,1.0,0.0,0.0,10.0,4.0,4.0,6.0,1.0,1.0,,,,,,,,
Ferran Jutglà,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferran Jutglà,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferran Jutglà,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferran Jutglà,25/26,Celta Vigo,FW,26.0,30.0,1652.0,9.0,3.0,12.0,,4.0,0.0,0.0,45.0,26.0,24.0,30.0,8.0,3.0,,,,,,,,
Ferrán Torres,21/22,Barcelona,FW,21.0,18.0,1412.0,4.0,4.0,8.0,,1.0,0.0,0.0,52.0,19.0,10.0,20.0,4.0,5.0,,,,,,,,
Ferrán Torres,22/23,Barcelona,FW,22.0,33.0,1392.0,4.0,2.0,6.0,,5.0,0.0,1.0,38.0,12.0,17.0,25.0,2.0,7.0,,,,,,,,
Ferrán Torres,23/24,Barcelona,FW,23.0,29.0,1211.0,7.0,2.0,9.0,,2.0,0.0,0.0,38.0,15.0,8.0,16.0,5.0,8.0,,,,,,,,
Ferrán Torres,24/25,Barcelona,"FW,MF",24.0,27.0,1106.0,10.0,6.0,16.0,,1.0,0.0,1.0,48.0,22.0,5.0,16.0,4.0,5.0,,,,,,,,
Ferrán Torres,25/26,Barcelona,FW,25.0,33.0,1965.0,16.0,2.0,18.0,,2.0,0.0,0.0,69.0,37.0,13.0,20.0,4.0,6.0,,,,,,,,
Filip Ugrinic,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Ugrinic,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Ugrinic,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Ugrinic,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Ugrinic,25/26,Valencia,MF,26.0,27.0,1504.0,0.0,3.0,3.0,,3.0,0.0,0.0,20.0,3.0,17.0,13.0,11.0,16.0,,,,,,,,
Florian Lejeune,21/22,Alavés,DF,30.0,30.0,2699.0,0.0,0.0,0.0,,9.0,1.0,1.0,22.0,2.0,34.0,5.0,28.0,24.0,,,,,,,,
Florian Lejeune,22/23,Rayo Vallecano,DF,31.0,31.0,2565.0,4.0,0.0,4.0,,6.0,1.0,3.0,41.0,14.0,23.0,9.0,15.0,18.0,,,,,,,,
Florian Lejeune,23/24,Rayo Vallecano,DF,32.0,37.0,3327.0,3.0,1.0,4.0,,5.0,0.0,0.0,64.0,21.0,26.0,13.0,23.0,26.0,,,,,,,,
Florian Lejeune,24/25,Rayo Vallecano,DF,33.0,37.0,3325.0,2.0,3.0,5.0,,8.0,0.0,0.0,58.0,17.0,50.0,19.0,42.0,28.0,,,,,,,,
Florian Lejeune,25/26,Rayo Vallecano,DF,34.0,36.0,3230.0,2.0,1.0,3.0,,7.0,0.0,0.0,50.0,18.0,47.0,14.0,47.0,47.0,,,,,,,,
Fortuño,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortuño,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortuño,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortuño,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortuño,25/26,Espanyol,GK,23.0,1.0,90.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,66.7,
Fran,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran,24/25,Real Madrid,GK,19.0,1.0,90.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,
Fran,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran González,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran González,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran González,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran González,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran González,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Pérez,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Pérez,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Pérez,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Pérez,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Pérez,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Mastantuono,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Mastantuono,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Mastantuono,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Mastantuono,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Mastantuono,25/26,Real Madrid,"MF,FW",17.0,23.0,1037.0,1.0,0.0,1.0,,5.0,0.0,1.0,30.0,7.0,18.0,30.0,3.0,12.0,,,,,,,,
Frenkie de Jong,21/22,Barcelona,MF,24.0,32.0,2476.0,3.0,3.0,6.0,,7.0,1.0,1.0,17.0,8.0,24.0,35.0,20.0,20.0,,,,,,,,
Frenkie de Jong,22/23,Barcelona,MF,25.0,33.0,2534.0,2.0,4.0,6.0,,3.0,0.0,0.0,18.0,11.0,33.0,34.0,34.0,26.0,,,,,,,,
Frenkie de Jong,23/24,Barcelona,MF,26.0,20.0,1634.0,2.0,0.0,2.0,,7.0,0.0,0.0,7.0,4.0,19.0,22.0,15.0,26.0,,,,,,,,
Frenkie de Jong,24/25,Barcelona,MF,27.0,26.0,1143.0,2.0,2.0,4.0,,3.0,0.0,0.0,5.0,3.0,14.0,18.0,14.0,12.0,,,,,,,,
Frenkie de Jong,25/26,Barcelona,MF,28.0,25.0,1636.0,1.0,5.0,6.0,,4.0,1.0,1.0,7.0,2.0,10.0,26.0,17.0,19.0,,,,,,,,
Fábio Cardoso,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Cardoso,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Cardoso,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Cardoso,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Cardoso,25/26,Sevilla,DF,31.0,4.0,295.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,3.0,,,,,,,,
Gabriel Moscardo,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Moscardo,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Moscardo,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Moscardo,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Moscardo,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Suazo,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Suazo,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Suazo,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Suazo,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Suazo,25/26,Sevilla,"DF,MF",27.0,29.0,2096.0,0.0,2.0,2.0,,7.0,0.0,0.0,5.0,2.0,33.0,15.0,29.0,62.0,,,,,,,,
Gavi,21/22,Barcelona,"MF,FW",16.0,34.0,2316.0,2.0,5.0,7.0,,11.0,1.0,1.0,30.0,8.0,63.0,69.0,29.0,19.0,,,,,,,,
Gavi,22/23,Barcelona,"MF,FW",17.0,36.0,2531.0,2.0,4.0,6.0,,10.0,0.0,0.0,28.0,8.0,74.0,72.0,19.0,33.0,,,,,,,,
Gavi,23/24,Barcelona,"MF,FW",18.0,12.0,944.0,1.0,1.0,2.0,,5.0,0.0,0.0,10.0,5.0,31.0,23.0,8.0,23.0,,,,,,,,
Gavi,24/25,Barcelona,MF,19.0,26.0,1085.0,1.0,1.0,2.0,,4.0,0.0,0.0,11.0,1.0,38.0,27.0,10.0,23.0,,,,,,,,
Gavi,25/26,Barcelona,MF,20.0,11.0,573.0,0.0,1.0,1.0,,3.0,0.0,0.0,0.0,0.0,11.0,14.0,3.0,8.0,,,,,,,,
