Fecha,hora,L,V,GL,GV,TL,TV,CL,CV,AL,AV,RL,RV
07/10/2023,17:30,Mallorca,Valencia,1,1,5,3,3,6,2,1,0,0
07/10/2023,20:00,Sevilla,Rayo,2,2,6,4,12,2,5,2,0,0
08/10/2023,13:00,Villarreal,Las Palmas,1,2,4,5,7,2,4,4,0,0
08/10/2023,15:15,Ath Madrid,Real Sociedad,2,1,5,4,1,4,3,3,0,0
08/10/2023,17:30,Alaves,Betis,1,1,5,2,5,3,3,3,0,1
08/10/2023,17:30,Celta,Getafe,2,2,11,2,13,1,1,8,0,1
08/10/2023,20:00,Granada,Barcelona,2,2,2,10,1,11,4,1,0,0
20/10/2023,20:00,Osasuna,Granada,2,0,6,3,1,7,3,4,0,1
21/10/2023,13:00,Real Sociedad,Mallorca,1,0,6,7,2,5,3,3,0,0
21/10/2023,15:15,Getafe,Betis,1,1,4,3,4,8,5,2,0,0
21/10/2023,17:30,Sevilla,Real Madrid,1,1,7,5,4,6,5,2,0,0
21/10/2023,20:00,Celta,Ath Madrid,0,3,3,7,7,5,3,2,1,0
22/10/2023,13:00,Las Palmas,Rayo,0,1,6,4,10,5,4,3,0,1
22/10/2023,17:30,Villarreal,Alaves,1,1,3,7,9,3,4,3,0,0
22/10/2023,20:00,Barcelona,Ath Bilbao,1,0,7,3,4,7,3,3,0,0
23/10/2023,20:00,Valencia,Cadiz,2,0,4,4,4,6,0,3,0,1
27/10/2023,20:00,Girona,Celta,1,0,2,2,10,1,3,2,0,0
28/10/2023,15:15,Barcelona,Real Madrid,1,2,3,4,6,3,2,1,0,0
28/10/2023,17:30,Mallorca,Getafe,0,0,4,0,8,3,0,1,0,0
28/10/2023,20:00,Cadiz,Sevilla,2,2,5,10,2,4,6,4,0,0
29/10/2023,13:00,Betis,Osasuna,2,1,2,1,6,3,3,4,0,0
29/10/2023,15:15,Rayo,Real Sociedad,2,2,7,3,4,5,3,2,0,0
29/10/2023,17:30,Ath Bilbao,Valencia,2,2,7,5,10,4,3,1,0,0
29/10/2023,20:00,Ath Madrid,Alaves,2,1,7,1,4,4,3,2,0,0
30/10/2023,20:00,Granada,Villarreal,2,3,8,5,4,1,0,4,0,0
03/11/2023,20:00,Las Palmas,Ath Madrid,2,1,3,5,3,4,0,3,0,0
04/11/2023,13:00,Osasuna,Girona,2,4,3,4,2,7,5,3,0,0
04/11/2023,15:15,Betis,Mallorca,2,0,3,1,6,1,1,4,0,1
04/11/2023,17:30,Celta,Sevilla,1,1,3,5,4,6,2,5,1,0
04/11/2023,20:00,Real Sociedad,Barcelona,0,1,6,4,8,3,3,3,0,0
05/11/2023,13:00,Alaves,Almeria,1,0,3,3,12,6,2,3,0,0
05/11/2023,15:15,Valencia,Granada,1,0,2,1,0,4,3,5,0,0
05/11/2023,17:30,Villarreal,Ath Bilbao,2,3,6,7,9,3,4,4,0,0
05/11/2023,20:00,Real Madrid,Rayo,0,0,5,0,11,1,3,5,0,0
06/11/2023,20:00,Getafe,Cadiz,1,0,3,2,6,3,7,1,1,0
10/11/2023,20:00,Ath Bilbao,Celta,4,3,12,5,7,2,2,2,0,0
11/11/2023,13:00,Rayo,Girona,1,2,9,7,8,3,1,2,0,0
11/11/2023,15:15,Almeria,Real Sociedad,1,3,2,6,5,5,2,2,0,0
11/11/2023,17:30,Granada,Getafe,1,1,6,6,3,5,4,2,0,0
11/11/2023,17:30,Osasuna,Las Palmas,1,1,3,1,8,3,1,1,0,0
11/11/2023,20:00,Real Madrid,Valencia,5,1,7,4,4,4,1,3,0,0
12/11/2023,15:15,Barcelona,Alaves,2,1,6,1,2,1,2,1,0,0
12/11/2023,17:30,Sevilla,Betis,1,1,4,6,9,5,1,1,0,0
