Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
1,Haitam Abaida,ma MAR,MF,Málaga,20,2002,1.1,1,3,1,33.3,2.62,0.87,0.33,1.00,0,0,Matches,4,1,103,0,1,1,0,0,0.87,0.00,0.87,0.87,0.87,0,0,7,0,8,0,2,,,0,,,,,,,,,,,,,,,22/23
2,Sabit Abdulai,gh GHA,"MF,DF",Ponferradina,23,1999,8.2,0,3,1,33.3,0.37,0.12,0.00,0.00,0,0,Matches,19,8,738,1,1,0,5,0,0.00,0.12,0.12,0.00,0.12,0,22,12,0,5,15,8,,,0,,,,,,,,,,,,,,,22/23
3,Amir Abedzadeh,ir IRN,GK,Ponferradina,29,1993,30.0,0,0,0,,0.00,0.00,,,0,0,Matches,30,30,2700,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,2,3,0,0,1,0,,,0,38,1.27,135,97,71.9,5,13,12,9,30.0,3,1,1,25.0,22/23
4,Abdel Abqar,ma MAR,DF,Alavés,23,1999,31.7,1,13,4,30.8,0.41,0.13,0.08,0.25,0,0,Matches,35,34,2851,0,1,1,10,1,0.03,0.00,0.03,0.03,0.03,0,37,17,12,4,41,27,,,0,,,,,,,,,,,,,,,22/23
5,Alonso Aceves,mx MEX,DF,Oviedo,21,2001,8.7,0,2,0,0.0,0.23,0.00,0.00,,0,0,Matches,10,10,786,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0,10,4,1,32,8,15,,,0,,,,,,,,,,,,,,,22/23
6,Paris Adot,es ESP,DF,Ponferradina,32,1990,32.4,0,8,3,37.5,0.25,0.09,0.00,0.00,0,0,Matches,36,33,2917,2,2,0,10,0,0.00,0.06,0.06,0.00,0.06,0,27,32,0,83,28,35,,,1,,,,,,,,,,,,,,,22/23
7,Lumor Agbenyenu,gh GHA,"MF,DF",Málaga,25,1996,1.1,0,1,0,0.0,0.88,0.00,0.00,,0,0,Matches,2,2,102,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,2,,,0,,,,,,,,,,,,,,,22/23
8,Marc Aguado,es ESP,MF,FC Andorra,22,2000,31.0,0,5,3,60.0,0.16,0.10,0.00,0.00,0,0,Matches,36,31,2789,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,26,41,2,3,48,43,,,0,,,,,,,,,,,,,,,22/23
9,Lalo Aguilar,es ESP,DF,Leganés,20,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,19,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,0,0,0,0,0,,,0,,,,,,,,,,,,,,,22/23
10,Lucas Ahijado,es ESP,DF,Oviedo,27,1995,38.5,0,17,3,17.6,0.44,0.08,0.00,0.00,0,0,Matches,40,39,3464,6,6,0,6,0,0.00,0.16,0.16,0.00,0.16,0,39,20,1,99,32,62,,,0,,,,,,,,,,,,,,,22/23
11,Matheus Aiás,br BRA,"FW,MF",Racing Sant,25,1996,17.9,3,53,29,54.7,2.96,1.62,0.06,0.10,0,0,Matches,34,15,1611,0,3,3,4,0,0.17,0.00,0.17,0.17,0.17,0,24,37,8,5,6,7,,,0,,,,,,,,,,,,,,,22/23
12,Ager Aketxe,es ESP,MF,Eibar,28,1993,8.7,2,19,7,36.8,2.19,0.81,0.11,0.29,0,0,Matches,21,6,781,7,9,2,4,0,0.23,0.81,1.04,0.23,1.04,0,7,10,1,76,5,6,,,0,,,,,,,,,,,,,,,22/23
13,Tomás Alarcón,cl CHI,MF,Zaragoza,23,1999,5.7,0,0,0,,0.00,0.00,,,0,0,Matches,12,6,514,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0,12,5,0,6,3,5,,,0,,,,,,,,,,,,,,,22/23
14,Williams Alarcón,cl CHI,MF,Ibiza,21,2000,5.8,0,5,1,20.0,0.87,0.17,0.00,0.00,0,0,Matches,12,4,519,2,2,0,0,0,0.00,0.35,0.35,0.00,0.35,0,1,1,0,8,4,1,,,0,,,,,,,,,,,,,,,22/23
15,Alberto,es ESP,DF,Lugo,29,1992,35.0,3,26,8,30.8,0.74,0.23,0.12,0.38,0,0,Matches,36,36,3153,0,3,3,6,3,0.09,0.00,0.09,0.09,0.09,1,22,15,1,3,28,16,,,0,,,,,,,,,,,,,,,22/23
16,Pedro Alcalá,es ESP,DF,Cartagena,33,1989,25.9,2,22,6,27.3,0.85,0.23,0.09,0.33,0,0,Matches,32,26,2331,0,2,2,5,2,0.08,0.00,0.08,0.08,0.08,0,29,19,2,4,23,12,,,0,,,,,,,,,,,,,,,22/23
17,Edgar Alcañiz,es ESP,MF,Levante,17,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,22/23
18,Aldair,pt POR,"MF,DF",Ponferradina,22,1999,3.9,0,1,0,0.0,0.26,0.00,0.00,,0,0,Matches,8,4,347,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,7,5,0,5,1,6,,,0,,,,,,,,,,,,,,,22/23
19,Aldasoro,es ESP,MF,Racing Sant,23,1999,22.7,1,18,6,33.3,0.79,0.26,0.06,0.17,0,0,Matches,34,23,2042,0,1,1,12,2,0.04,0.00,0.04,0.04,0.04,1,42,31,0,8,34,54,,,0,,,,,,,,,,,,,,,22/23
20,Iker Alday,es ESP,DF,Eibar,19,2003,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,22/23
21,Diego Alende,es ESP,DF,FC Andorra,24,1997,20.2,0,5,1,20.0,0.25,0.05,0.00,0.00,0,0,Matches,22,21,1816,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,15,17,2,3,10,8,,,0,,,,,,,,,,,,,,,22/23
