Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,SaveP%,Temporada
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,0,14,4,28.6,1.09,0.31,0.00,0.00,0,0,Matches,14,14,1154,1,1,0,2,0,0.00,0.08,0.08,0.00,0.08,0,4,0,0,17,15,9,,,1,,,,,,,,,,,,,,,23/24
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,0,6,1,16.7,0.27,0.04,0.00,0.00,0,0,Matches,26,24,2031,1,1,0,6,0,0.00,0.04,0.04,0.00,0.04,0,21,8,1,0,17,15,,,0,,,,,,,,,,,,,,,23/24
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,3,48,12,25.0,1.38,0.34,0.02,0.08,2,2,Matches,36,36,3134,1,4,1,14,0,0.09,0.03,0.11,0.03,0.06,0,84,71,1,36,30,65,,,0,,,,,,,,,,,,,,,23/24
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,0,24,5,20.8,0.98,0.21,0.00,0.00,0,0,Matches,31,24,2195,1,1,0,8,1,0.00,0.04,0.04,0.00,0.04,0,34,11,2,5,14,20,,,0,,,,,,,,,,,,,,,23/24
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,0,11,2,18.2,0.59,0.11,0.00,0.00,0,0,Matches,30,21,1692,2,2,0,17,0,0.00,0.11,0.11,0.00,0.11,0,49,49,8,151,6,23,,,0,,,,,,,,,,,,,,,23/24
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,1,16,5,31.3,1.41,0.44,0.06,0.20,0,0,Matches,29,10,1020,1,2,1,6,0,0.09,0.09,0.18,0.09,0.18,0,22,18,3,32,4,9,,,0,,,,,,,,,,,,,,,23/24
17,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19,2004,2.8,0,3,0,0.0,1.08,0.00,0.00,,0,0,Matches,11,1,249,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,5,6,3,11,1,3,,,0,,,,,,,,,,,,,,,23/24
18,Tadeo Allende,ar ARG,MF,Celta Vigo,24,1999,3.7,1,8,2,25.0,2.14,0.54,0.13,0.50,0,0,Matches,10,2,336,0,1,1,1,0,0.27,0.00,0.27,0.27,0.27,0,2,3,4,9,3,2,,,0,,,,,,,,,,,,,,,23/24
19,André Almeida,pt POR,"FW,MF",Valencia,23,2000,10.7,2,10,4,40.0,0.93,0.37,0.20,0.50,0,0,Matches,18,12,965,1,3,2,0,0,0.19,0.09,0.28,0.19,0.28,0,12,20,1,16,3,14,,,0,,,,,,,,,,,,,,,23/24
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,2.8,0,3,2,66.7,1.07,0.71,0.00,0.00,0,0,Matches,5,3,252,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,7,6,0,15,3,3,,,0,,,,,,,,,,,,,,,23/24
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,8.6,0,1,0,0.0,0.12,0.00,0.00,,0,0,Matches,11,10,775,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,12,4,0,5,5,7,,,0,,,,,,,,,,,,,,,23/24
22,Sergi Altimira,es ESP,MF,Real Betis,21,2001,6.3,1,7,2,28.6,1.11,0.32,0.14,0.50,0,0,Matches,14,6,568,0,1,1,1,0,0.16,0.00,0.16,0.16,0.16,0,8,8,0,1,8,8,,,0,,,,,,,,,,,,,,,23/24
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,28.2,2,14,3,21.4,0.50,0.11,0.14,0.67,0,0,Matches,34,29,2537,0,2,2,7,0,0.07,0.00,0.07,0.07,0.07,0,43,10,1,25,34,38,,,0,,,,,,,,,,,,,,,23/24
24,Hugo Álvarez,es ESP,"MF,FW",Celta Vigo,20,2003,8.5,1,12,4,33.3,1.42,0.47,0.08,0.25,0,0,Matches,12,8,762,1,2,1,1,0,0.12,0.12,0.24,0.12,0.24,0,9,9,1,22,5,9,,,0,,,,,,,,,,,,,,,23/24
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,0,0,Matches,19,14,1152,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0,15,14,0,1,10,9,,,0,,,,,,,,,,,,,,,23/24
26,Selim Amallah,ma MAR,"MF,FW",Valencia,26,1996,6.7,0,11,5,45.5,1.64,0.75,0.00,0.00,0,0,Matches,20,7,604,1,1,0,5,1,0.00,0.15,0.15,0.00,0.15,1,21,24,1,3,10,12,,,0,,,,,,,,,,,,,,,23/24
27,Amath,sn SEN,"FW,MF",Mallorca,27,1996,4.4,0,12,3,25.0,2.74,0.69,0.00,0.00,0,0,Matches,15,3,394,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,10,7,4,7,3,6,,,0,,,,,,,,,,,,,,,23/24
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,17.3,1,9,2,22.2,0.52,0.12,0.11,0.50,0,0,Matches,19,17,1560,0,1,1,5,0,0.06,0.00,0.06,0.06,0.06,0,20,11,1,1,27,14,,,0,,,,,,,,,,,,,,,23/24
29,Fabrizio Angileri,ar ARG,DF,Getafe,29,1994,1.8,0,0,0,,0.00,0.00,,,0,0,Matches,11,2,164,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0,1,1,0,8,4,1,,,0,,,,,,,,,,,,,,,23/24
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,3.8,0,9,2,22.2,2.39,0.53,0.00,0.00,0,0,Matches,7,3,339,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,18,3,0,6,1,2,,,0,,,,,,,,,,,,,,,23/24
31,Jon Aramburu,ve VEN,"DF,MF",Real Sociedad,21,2002,6.0,0,4,0,0.0,0.66,0.00,0.00,,0,0,Matches,11,5,543,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,11,5,0,7,7,15,,,0,,,,,,,,,,,,,,,23/24
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,16.2,1,7,2,28.6,0.43,0.12,0.14,0.50,0,0,Matches,25,15,1462,0,1,1,5,0,0.06,0.00,0.06,0.06,0.06,0,13,9,2,22,10,21,,,0,,,,,,,,,,,,,,,23/24
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,0,0,Matches,25,21,1997,2,3,1,6,0,0.05,0.09,0.14,0.05,0.14,0,25,9,0,7,10,22,,,0,,,,,,,,,,,,,,,23/24
34,Adu Ares,es ESP,MF,Athletic Club,21,2001,2.9,0,4,0,0.0,1.36,0.00,0.00,,0,0,Matches,12,2,265,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,5,12,1,11,1,4,,,0,,,,,,,,,,,,,,,23/24
35,Jesús Areso,es ESP,"DF,MF",Osasuna,24,1999,29.6,1,9,2,22.2,0.30,0.07,0.11,0.50,0,0,Matches,37,29,2660,6,7,1,3,0,0.03,0.20,0.24,0.03,0.24,0,30,20,3,113,20,26,,,0,,,,,,,,,,,,,,,23/24
36,Matias Arezo,uy URU,FW,Granada,20,2002,4.1,0,12,4,33.3,2.93,0.98,0.00,0.00,0,0,Matches,14,3,369,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,6,1,8,4,2,3,,,0,,,,,,,,,,,,,,,23/24
37,Iñigo Arguibide,es ESP,FW,Osasuna,18,2005,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,17,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,10.3,2,29,9,31.0,2.81,0.87,0.07,0.22,0,0,Matches,26,9,929,1,3,2,3,0,0.19,0.10,0.29,0.19,0.29,0,8,19,3,45,3,8,,,0,,,,,,,,,,,,,,,23/24
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,0,0,Matches,34,22,2047,4,13,9,1,0,0.40,0.18,0.57,0.40,0.57,0,14,42,2,59,14,17,,,0,,,,,,,,,,,,,,,23/24
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,13.3,0,0,0,,0.00,0.00,,,0,0,Matches,14,13,1198,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,,,0,9,0.68,39,30,76.9,10,2,1,4,30.8,0,0,0,,23/24
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,30.1,9,78,28,35.9,2.59,0.93,0.08,0.21,3,5,Matches,35,31,2707,10,19,6,6,1,0.30,0.33,0.63,0.20,0.53,0,19,59,12,149,8,6,,,0,,,,,,,,,,,,,,,23/24
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,9.6,1,27,6,22.2,2.81,0.62,0.04,0.17,0,0,Matches,17,10,864,3,4,1,3,2,0.10,0.31,0.42,0.10,0.42,0,8,20,4,80,4,2,,,0,,,,,,,,,,,,,,,23/24
43,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,29,1994,3.3,1,9,3,33.3,2.72,0.91,0.11,0.33,0,0,Matches,6,4,298,0,1,1,4,1,0.30,0.00,0.30,0.30,0.30,1,3,12,0,12,1,1,,,0,,,,,,,,,,,,,,,23/24
44,César Azpilicueta,es ESP,"DF,MF",Atlético Madrid,33,1989,15.8,0,2,2,100.0,0.13,0.13,0.00,0.00,0,0,Matches,25,14,1423,2,2,0,4,0,0.00,0.13,0.13,0.00,0.13,0,29,12,0,11,16,15,,,0,,,,,,,,,,,,,,,23/24
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,15.9,0,8,2,25.0,0.50,0.13,0.00,0.00,0,0,Matches,25,14,1430,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,29,34,0,4,11,24,,,0,,,,,,,,,,,,,,,23/24
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,Matches,1,1,90,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,0,0,0,0,2,,,0,,,,,,,,,,,,,,,23/24
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,25.3,0,14,3,21.4,0.55,0.12,0.00,0.00,0,0,Matches,28,27,2277,1,1,0,5,1,0.00,0.04,0.04,0.00,0.04,0,24,10,1,2,38,42,,,0,,,,,,,,,,,,,,,23/24
48,Álex Baena,es ESP,"MF,FW",Villarreal,22,2001,28.7,2,73,26,35.6,2.55,0.91,0.03,0.08,0,1,Matches,34,33,2579,14,16,2,11,1,0.07,0.49,0.56,0.07,0.56,0,52,57,8,173,14,20,,,0,,,,,,,,,,,,,,,23/24
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,9.3,0,2,0,0.0,0.21,0.00,0.00,,0,0,Matches,10,9,839,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,6,5,0,0,8,3,,,1,,,,,,,,,,,,,,,23/24
50,Cédric Bakambu,cd COD,FW,Real Betis,32,1991,2.2,0,4,1,25.0,1.86,0.46,0.00,0.00,0,0,Matches,4,2,194,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,4,3,3,0,0,0,,,0,,,,,,,,,,,,,,,23/24
51,Alejandro Balde,es ESP,"DF,MF",Barcelona,19,2003,15.3,0,5,1,20.0,0.33,0.07,0.00,0.00,0,0,Matches,18,15,1378,1,1,0,1,0,0.00,0.07,0.07,0.00,0.07,0,8,18,4,37,5,9,,,0,,,,,,,,,,,,,,,23/24
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,31.9,0,11,4,36.4,0.34,0.13,0.00,0.00,0,0,Matches,33,32,2873,1,1,0,4,0,0.00,0.03,0.03,0.00,0.03,0,41,30,8,69,28,31,,,0,,,,,,,,,,,,,,,23/24
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,22.0,3,41,16,39.0,1.86,0.73,0.07,0.19,0,0,Matches,27,24,1981,2,5,3,0,0,0.14,0.09,0.23,0.14,0.23,0,15,65,7,50,17,8,,,0,,,,,,,,,,,,,,,23/24
54,Léo Baptistão,br BRA,"FW,MF",Almería,30,1992,20.4,6,48,18,37.5,2.35,0.88,0.13,0.33,0,0,Matches,32,22,1837,0,6,6,6,1,0.29,0.00,0.29,0.29,0.29,0,21,29,13,26,12,16,,,0,,,,,,,,,,,,,,,23/24
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,3.4,0,4,2,50.0,1.19,0.59,0.00,0.00,0,0,Matches,16,3,303,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,8,4,1,23,3,2,,,0,,,,,,,,,,,,,,,23/24
56,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,21,2001,15.9,4,37,12,32.4,2.33,0.76,0.11,0.33,0,0,Matches,29,20,1427,1,5,4,1,0,0.25,0.06,0.32,0.25,0.32,0,27,22,3,46,7,21,,,0,,,,,,,,,,,,,,,23/24
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,17.3,0,17,7,41.2,0.98,0.41,0.00,0.00,0,0,Matches,24,17,1555,1,1,0,5,0,0.00,0.06,0.06,0.00,0.06,0,23,24,0,16,27,25,,,0,,,,,,,,,,,,,,,23/24
58,Marc Bartra,es ESP,DF,Real Betis,32,1991,2.5,0,3,0,0.0,1.20,0.00,0.00,,0,0,Matches,3,3,225,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,4,1,0,0,2,3,,,0,,,,,,,,,,,,,,,23/24
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,0,1,0,0.0,0.06,0.00,0.00,,0,0,Matches,17,17,1530,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,,,0,28,1.65,87,59,67.8,3,4,10,3,17.6,0,0,0,,23/24
60,Bebé,cv CPV,"FW,MF",Rayo Vallecano,33,1990,2.4,2,16,5,31.3,6.79,2.12,0.06,0.20,1,1,Matches,19,0,212,0,2,1,1,0,0.85,0.00,0.85,0.42,0.42,0,0,2,3,28,0,2,,,0,,,,,,,,,,,,,,,23/24
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,8.6,2,21,10,47.6,2.45,1.17,0.10,0.20,0,0,Matches,15,8,771,2,4,2,1,0,0.23,0.23,0.47,0.23,0.47,0,11,5,6,45,1,3,,,0,,,,,,,,,,,,,,,23/24
62,Héctor Bellerín,es ESP,DF,Real Betis,28,1995,19.0,0,2,0,0.0,0.11,0.00,0.00,,0,0,Matches,23,20,1711,1,1,0,0,1,0.00,0.05,0.05,0.00,0.05,0,21,10,1,39,21,22,,,1,,,,,,,,,,,,,,,23/24
63,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,20,2003,25.7,19,63,35,55.6,2.45,1.36,0.29,0.51,1,1,Matches,28,27,2315,6,25,18,5,1,0.74,0.23,0.97,0.70,0.93,0,32,72,4,22,20,35,,,0,,,,,,,,,,,,,,,23/24
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,27.0,0,21,3,14.3,0.78,0.11,0.00,0.00,0,0,Matches,33,28,2428,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,28,16,2,19,19,34,,,0,,,,,,,,,,,,,,,23/24
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,12.6,3,14,7,50.0,1.11,0.55,0.21,0.43,0,0,Matches,29,10,1136,1,4,3,5,0,0.24,0.08,0.32,0.24,0.32,0,37,9,1,6,18,35,,,0,,,,,,,,,,,,,,,23/24
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,21.4,3,18,6,33.3,0.84,0.28,0.17,0.50,0,0,Matches,27,22,1930,1,4,3,5,0,0.14,0.05,0.19,0.14,0.19,0,29,33,0,43,19,26,,,1,,,,,,,,,,,,,,,23/24
67,Álex Berenguer,es ESP,MF,Athletic Club,28,1995,17.7,7,32,12,37.5,1.81,0.68,0.19,0.50,1,1,Matches,35,15,1592,3,10,6,4,0,0.40,0.17,0.57,0.34,0.51,0,30,22,12,139,5,15,,,0,,,,,,,,,,,,,,,23/24
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,27.0,0,20,3,15.0,0.74,0.11,0.00,0.00,0,0,Matches,33,29,2426,1,1,0,5,1,0.00,0.04,0.04,0.00,0.04,0,35,40,0,14,33,37,,,0,,,,,,,,,,,,,,,23/24
69,Daley Blind,nl NED,DF,Girona,33,1990,33.0,1,17,6,35.3,0.51,0.18,0.06,0.17,0,0,Matches,34,33,2972,2,3,1,6,0,0.03,0.06,0.09,0.03,0.09,0,19,12,0,16,19,21,,,0,,,,,,,,,,,,,,,23/24
70,Adri Bosch,es ESP,DF,Granada,22,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,26,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,,,23/24
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,1,90,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,,23/24
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,28.2,6,56,15,26.8,1.98,0.53,0.11,0.40,0,0,Matches,31,30,2541,3,9,6,8,1,0.21,0.11,0.32,0.21,0.32,0,72,43,8,13,12,25,,,0,,,,,,,,,,,,,,,23/24
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,48,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,1,0,0,,,0,,,,,,,,,,,,,,,23/24
74,Brau,es ESP,DF,Granada,21,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,31,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,,,0,,,,,,,,,,,,,,,23/24
75,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7.0,0,0,0,,0.00,0.00,,,0,0,Matches,7,7,630,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,,,0,5,0.71,22,17,77.3,3,4,0,2,28.6,0,0,0,,23/24
76,Ben Brereton,cl CHI,"MF,FW",Villarreal,24,1999,3.0,0,5,1,20.0,1.67,0.33,0.00,0.00,0,0,Matches,14,2,270,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,5,4,2,4,0,2,,,0,,,,,,,,,,,,,,,23/24
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,27.1,17,76,35,46.1,2.81,1.29,0.18,0.40,3,4,Matches,33,29,2435,2,19,14,4,0,0.63,0.07,0.70,0.52,0.59,0,40,26,27,9,5,13,,,0,,,,,,,,,,,,,,,23/24
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,1.3,0,1,0,0.0,0.77,0.00,0.00,,0,0,Matches,4,1,117,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,1,2,0,0,0,2,,,0,,,,,,,,,,,,,,,23/24
79,Pablo Busto,es ESP,DF,Real Betis,17,2005,0.5,0,1,0,0.0,2.05,0.00,0.00,,0,0,Matches,2,0,44,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,1,1,1,,,0,,,,,,,,,,,,,,,23/24
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,8.9,0,11,3,27.3,1.23,0.34,0.00,0.00,0,0,Matches,25,7,803,1,1,0,2,0,0.00,0.11,0.11,0.00,0.11,0,12,21,3,35,5,5,,,0,,,,,,,,,,,,,,,23/24
81,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,20.2,0,17,7,41.2,0.84,0.35,0.00,0.00,0,0,Matches,31,21,1817,2,2,0,9,0,0.00,0.10,0.10,0.00,0.10,0,49,68,1,4,26,48,,,0,,,,,,,,,,,,,,,23/24
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,18.5,3,34,13,38.2,1.84,0.70,0.09,0.23,0,0,Matches,31,20,1661,1,4,3,3,0,0.16,0.05,0.22,0.16,0.22,0,18,11,7,2,3,6,,,0,,,,,,,,,,,,,,,23/24
83,José Campaña,es ESP,MF,Las Palmas,30,1993,1.9,0,1,0,0.0,0.53,0.00,0.00,,0,0,Matches,8,1,171,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,5,0,4,2,2,,,0,,,,,,,,,,,,,,,23/24
84,João Cancelo,pt POR,DF,Barcelona,29,1994,27.8,2,31,10,32.3,1.11,0.36,0.06,0.20,0,0,Matches,32,29,2503,4,6,2,7,0,0.07,0.14,0.22,0.07,0.22,0,39,26,4,82,33,47,,,0,,,,,,,,,,,,,,,23/24
85,Sergi Canós,es ESP,MF,Valencia,26,1997,13.7,1,43,17,39.5,3.15,1.24,0.02,0.06,0,0,Matches,27,15,1229,2,3,1,1,0,0.07,0.15,0.22,0.07,0.22,0,17,16,2,36,11,13,,,0,,,,,,,,,,,,,,,23/24
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,16.2,1,14,5,35.7,0.87,0.31,0.07,0.20,0,0,Matches,32,15,1455,1,2,1,8,0,0.06,0.06,0.12,0.06,0.12,0,25,41,2,7,23,21,,,0,,,,,,,,,,,,,,,23/24
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,29.0,0,10,3,30.0,0.34,0.10,0.00,0.00,0,0,Matches,35,29,2611,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,16,44,6,67,23,32,,,0,,,,,,,,,,,,,,,23/24
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,1,90,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,1,1.00,1,0,0.0,0,0,1,0,0.0,0,0,0,,23/24
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,8.2,4,22,11,50.0,2.69,1.34,0.14,0.27,1,1,Matches,26,6,737,1,5,3,4,0,0.49,0.12,0.61,0.37,0.49,0,12,19,18,5,2,8,,,0,,,,,,,,,,,,,,,23/24
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,31.3,1,26,5,19.2,0.83,0.16,0.04,0.20,0,0,Matches,35,30,2814,2,3,1,11,0,0.03,0.06,0.10,0.03,0.10,0,52,59,5,89,45,58,,,0,,,,,,,,,,,,,,,23/24
91,Johnny Cardoso,us USA,MF,Real Betis,21,2001,14.8,1,12,3,25.0,0.81,0.20,0.08,0.33,0,0,Matches,17,15,1328,2,3,1,3,0,0.07,0.14,0.20,0.07,0.20,0,21,19,0,3,31,30,,,0,,,,,,,,,,,,,,,23/24
92,Carmona,es ESP,"MF,DF",Getafe,21,2002,14.6,1,12,3,25.0,0.82,0.21,0.08,0.33,0,0,Matches,30,15,1313,1,2,1,8,0,0.07,0.07,0.14,0.07,0.14,0,33,23,3,29,22,21,,,0,,,,,,,,,,,,,,,23/24
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29,1993,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,0,0,Matches,3,3,221,1,1,0,0,0,0.00,0.41,0.41,0.00,0.41,0,2,2,1,8,1,4,,,0,,,,,,,,,,,,,,,23/24
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,5.3,0,7,1,14.3,1.33,0.19,0.00,0.00,0,0,Matches,13,5,475,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,6,11,1,15,8,7,,,0,,,,,,,,,,,,,,,23/24
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,24.1,4,18,10,55.6,0.75,0.41,0.22,0.40,0,0,Matches,28,25,2171,3,7,4,5,1,0.17,0.12,0.29,0.17,0.29,1,23,19,2,50,20,38,,,0,,,,,,,,,,,,,,,23/24
