Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,SaveP%,Temporada
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,2,2,180,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,1,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
2,Abner,br BRA,DF,Real Betis,23,2000,15.6,0,4,0,0.0,0.26,0.00,0.00,,0,0,Matches,23,15,1400,1,1,0,3,0,0.00,0.06,0.06,0.00,0.06,0,17,2,2,26,16,18,,,0,,,,,,,,,,,,,,,23/24
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,0,0,Matches,27,27,2312,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0,32,23,1,2,25,21,,,1,,,,,,,,,,,,,,,23/24
4,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,0,0,Matches,21,18,1292,2,3,1,7,0,0.07,0.14,0.21,0.07,0.21,0,18,17,1,84,3,20,,,0,,,,,,,,,,,,,,,23/24
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,4,2,238,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,4,1.51,12,8,66.7,1,0,1,1,50.0,0,0,0,,23/24
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,0,0,Matches,12,9,777,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,19,2,0,3,7,16,,,0,,,,,,,,,,,,,,,23/24
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,0,3,0,0.0,0.66,0.00,0.00,,0,0,Matches,6,4,407,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,4,0,0,0,3,3,,,0,,,,,,,,,,,,,,,23/24
8,Ilias Akhomach,ma MAR,MF,Villarreal,19,2004,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,0,0,Matches,31,17,1511,2,4,2,4,0,0.12,0.12,0.24,0.12,0.24,0,42,34,4,29,13,21,,,0,,,,,,,,,,,,,,,23/24
9,Sergio Akieme,es ESP,"DF,MF",Almería,25,1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.40,0,0,Matches,19,19,1675,0,2,2,2,0,0.11,0.00,0.11,0.11,0.11,0,18,17,1,56,10,15,,,0,,,,,,,,,,,,,,,23/24
10,Paul Akouokou,ci CIV,MF,Real Betis,25,1997,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,27,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,1,0,0,1,3,,,0,,,,,,,,,,,,,,,23/24
