Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Tony Abad,es ESP,DF,Eldense,26,1996,34,32,2861,31.8,0,6,6,0,0,0,6,0,0.00,0.19,0.19,0.00,0.19,Matches
2,Diyaeddine Abzi,ca CAN,DF,Leganés,24,1998,4,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Álvaro Aceves,es ESP,GK,Eldense,20,2003,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Emmanuel Addai,gh GHA,"MF,FW",Alcorcón,21,2001,35,19,2079,23.1,3,4,7,3,0,0,1,0,0.13,0.17,0.30,0.13,0.30,Matches
5,Álvaro Aguado,es ESP,MF,Espanyol,27,1996,32,25,2129,23.7,1,2,3,1,0,0,1,1,0.04,0.08,0.13,0.04,0.13,Matches
6,Marc Aguado,es ESP,MF,Zaragoza,23,2000,35,29,2411,26.8,0,2,2,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches
7,Lalo Aguilar,es ESP,DF,Leganés,21,2002,3,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Lucas Ahijado,es ESP,DF,Oviedo,28,1995,16,8,692,7.7,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
9,Matheus Aiás,br BRA,FW,Racing Sant,26,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Ager Aketxe,es ESP,MF,Eibar,29,1993,40,34,2770,30.8,11,6,17,6,5,5,4,0,0.36,0.19,0.55,0.19,0.39,Matches
11,Ilias Akhomach,ma MAR,MF,Villarreal B,19,2004,2,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Babatunde Akinsola,ng NGA,MF,Valladolid,20,2003,9,2,289,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Jony Álamo,es ESP,MF,Cartagena,21,2001,18,4,559,6.2,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
14,Tomás Alarcón,cl CHI,MF,Cartagena,24,1999,35,29,2388,26.5,1,1,2,1,0,0,13,0,0.04,0.04,0.08,0.04,0.08,Matches
15,Pedro Alcalá,es ESP,DF,Cartagena,34,1989,37,37,3316,36.8,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Edgar Alcañiz,es ESP,MF,Levante,18,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Aldasoro,es ESP,MF,Racing Sant,24,1999,40,31,2889,32.1,1,0,1,1,0,0,13,0,0.03,0.00,0.03,0.03,0.03,Matches
18,Iker Alday,es ESP,DF,Eibar,20,2003,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Alexandre Alemão,br BRA,FW,Oviedo,25,1998,33,14,1455,16.2,5,1,6,5,0,0,2,0,0.31,0.06,0.37,0.31,0.37,Matches
20,Diego Alende,es ESP,DF,FC Andorra,25,1997,11,9,685,7.6,1,0,1,1,0,0,1,1,0.13,0.00,0.13,0.13,0.13,Matches
21,Ángel Algobia,es ESP,MF,Levante,24,1999,21,13,1153,12.8,1,2,3,1,0,0,2,0,0.08,0.16,0.23,0.08,0.23,Matches
22,Christos Almpanis,gr GRE,"FW,MF",FC Andorra,28,1994,3,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Javier Alonso,es ESP,MF,Tenerife,24,1998,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Julio Alonso,es ESP,DF,Albacete,24,1998,34,23,2123,23.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Adrià Altimira,es ESP,"DF,MF",Villarreal B,22,2001,27,26,2270,25.2,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Altube,es ESP,GK,Albacete,23,2000,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Carlos Álvarez,es ESP,MF,Levante,19,2003,29,23,1885,20.9,3,2,5,3,0,0,4,0,0.14,0.10,0.24,0.14,0.24,Matches
28,Cristian Álvarez,ar ARG,GK,Zaragoza,37,1985,13,13,1141,12.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Iker Álvarez,ad AND,GK,Villarreal B,22,2001,32,32,2880,32.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
