Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,SaveP%,Temporada
1,Max Aarons,eng ENG,DF,Valencia,24,2000,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,4,1,120,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,5,0,4,,,0,,,,,,,,,,,,,,,24/25
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,,0,0,Matches,1,1,65,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,2,0,1,1,1,2,,,0,,,,,,,,,,,,,,,24/25
3,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,0,2,0,0.0,0.68,0.00,0.00,,0,0,Matches,7,4,263,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,7,5,0,0,1,5,,,0,,,,,,,,,,,,,,,24/25
4,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.00,0.00,0,0,Matches,29,29,2463,1,1,0,13,0,0.00,0.04,0.04,0.00,0.04,0,47,32,2,5,36,22,,,0,,,,,,,,,,,,,,,24/25
5,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,2,2,100.0,1.34,1.34,0.00,0.00,0,0,Matches,4,1,134,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,1,0,0,0,,,0,,,,,,,,,,,,,,,24/25
6,Adrián,es ESP,GK,Real Betis,37,1987,19.0,0,0,0,,0.00,0.00,,,0,0,Matches,19,19,1710,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,0,4,0,0,0,0,,,0,27,1.42,77,50,64.9,10,5,4,3,15.8,1,0,0,0.0,24/25
7,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,0,0,0,,0.00,0.00,,,0,0,Matches,14,14,1206,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0,3,1,0,0,0,0,,,0,10,0.75,34,24,70.6,9,4,1,5,35.7,1,1,0,50.0,24/25
8,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,1,10,2,20.0,0.43,0.09,0.10,0.50,0,0,Matches,35,24,2114,3,4,1,5,1,0.04,0.13,0.17,0.04,0.17,0,49,6,2,17,40,32,,,0,,,,,,,,,,,,,,,24/25
9,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,0,10,1,10.0,2.03,0.20,0.00,0.00,0,0,Matches,16,4,443,1,1,0,3,0,0.00,0.20,0.20,0.00,0.20,0,5,8,0,12,4,2,,,0,,,,,,,,,,,,,,,24/25
10,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,5,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,24/25
