Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
1,Haitam Abaida,ma MAR,FW,Málaga,19,2002,1.0,0,2,0,0.0,2.00,0.00,0.00,,0,0,Matches,4,0,90,1,1,0,0,1,0.00,1.00,1.00,0.00,1.00,0,1,2,1,4,1,1,,,0,,,,,,,,,,,,,,,21/22
2,Amir Abedzadeh,ir IRN,GK,Ponferradina,28,1993,35.0,0,0,0,,0.00,0.00,,,0,0,Matches,35,35,3150,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,1,10,0,0,0,0,,,0,43,1.23,159,116,73.0,17,11,7,9,25.7,4,0,0,0.0,21/22
3,Paris Adot,es ESP,DF,Ponferradina,31,1990,30.1,1,10,3,30.0,0.33,0.10,0.10,0.33,0,0,Matches,34,30,2711,5,6,1,4,0,0.03,0.17,0.20,0.03,0.20,0,23,48,2,81,35,28,,,0,,,,,,,,,,,,,,,21/22
4,Mikel Agu,ng NGA,MF,CF Fuenlabrada,28,1993,12.1,0,3,0,0.0,0.25,0.00,0.00,,0,0,Matches,15,12,1092,1,1,0,1,0,0.00,0.08,0.08,0.00,0.08,0,22,5,0,3,18,12,,,0,,,,,,,,,,,,,,,21/22
5,Álvaro Aguado,es ESP,MF,Valladolid,25,1996,31.9,4,44,9,20.5,1.38,0.28,0.09,0.44,0,0,Matches,41,34,2869,3,7,4,7,0,0.13,0.09,0.22,0.13,0.22,0,22,50,1,75,28,36,,,0,,,,,,,,,,,,,,,21/22
6,Juan Aguilera,es ESP,MF,Alcorcón,35,1985,9.9,0,7,2,28.6,0.71,0.20,0.00,0.00,0,0,Matches,15,11,889,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,18,11,0,7,8,6,,,0,,,,,,,,,,,,,,,21/22
7,Jorge Aguirre,cu CUB,FW,Mirandés,21,2000,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,8,0,65,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,2,0,,,0,,,,,,,,,,,,,,,21/22
8,Jorge Aguirre,cu CUB,FW,Real Sociedad B,21,2000,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,21/22
9,Lucas Ahijado,es ESP,DF,Oviedo,26,1995,24.8,1,12,3,25.0,0.48,0.12,0.08,0.33,0,0,Matches,30,24,2233,1,2,1,7,0,0.04,0.04,0.08,0.04,0.08,0,46,21,2,68,31,30,,,0,,,,,,,,,,,,,,,21/22
10,Matheus Aiás,br BRA,FW,Oviedo,24,1996,5.2,2,13,6,46.2,2.49,1.15,0.15,0.33,0,0,Matches,26,2,470,1,3,2,2,0,0.38,0.19,0.57,0.38,0.57,0,13,12,1,3,1,2,,,0,,,,,,,,,,,,,,,21/22
11,Ager Aketxe,es ESP,MF,Eibar,27,1993,5.3,0,18,6,33.3,3.38,1.13,0.00,0.00,0,0,Matches,22,2,480,3,3,0,1,0,0.00,0.56,0.56,0.00,0.56,0,7,16,0,45,1,7,,,0,,,,,,,,,,,,,,,21/22
12,Sergio Akieme,es ESP,DF,Almería,23,1997,25.6,1,26,8,30.8,1.02,0.31,0.04,0.13,0,0,Matches,30,25,2305,1,2,1,4,1,0.04,0.04,0.08,0.04,0.08,0,14,21,3,69,19,14,,,0,,,,,,,,,,,,,,,21/22
13,Alarcón,es ESP,DF,Burgos,27,1994,2.9,0,6,1,16.7,2.08,0.35,0.00,0.00,0,0,Matches,17,1,260,1,1,0,1,0,0.00,0.35,0.35,0.00,0.35,0,5,1,0,11,3,4,,,0,,,,,,,,,,,,,,,21/22
14,Alberto,es ESP,DF,Lugo,28,1992,12.9,1,10,5,50.0,0.78,0.39,0.10,0.20,0,0,Matches,15,12,1160,0,1,1,2,0,0.08,0.00,0.08,0.08,0.08,0,12,6,0,1,24,9,,,0,,,,,,,,,,,,,,,21/22
15,Pedro Alcalá,es ESP,DF,Cartagena,32,1989,22.7,0,12,3,25.0,0.53,0.13,0.00,0.00,0,0,Matches,27,22,2040,1,1,0,7,0,0.00,0.04,0.04,0.00,0.04,0,28,10,1,1,24,24,,,0,,,,,,,,,,,,,,,21/22
16,Rubén Alcaraz,es ESP,"MF,DF",Valladolid,30,1991,5.8,1,15,3,20.0,2.58,0.52,0.07,0.33,0,0,Matches,14,5,524,3,4,1,1,0,0.17,0.52,0.69,0.17,0.69,0,9,17,1,13,3,4,,,0,,,,,,,,,,,,,,,21/22
17,Aitor Aldalur,es ESP,"DF,MF",Amorebieta,29,1991,7.4,0,3,1,33.3,0.41,0.14,0.00,0.00,0,0,Matches,15,7,662,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,7,6,0,26,10,11,,,0,,,,,,,,,,,,,,,21/22
18,Aldasoro,es ESP,"MF,FW",Real Sociedad B,22,1999,16.7,0,15,4,26.7,0.90,0.24,0.00,0.00,0,0,Matches,28,15,1507,2,2,0,6,0,0.00,0.12,0.12,0.00,0.12,0,38,16,1,7,22,22,,,0,,,,,,,,,,,,,,,21/22
19,Álex Alegría,es ESP,FW,Burgos,28,1992,10.8,0,18,5,27.8,1.67,0.46,0.00,0.00,0,0,Matches,25,11,968,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,32,38,9,4,0,1,,,0,,,,,,,,,,,,,,,21/22
20,Diego Alende,es ESP,DF,Lugo,23,1997,32.1,0,7,2,28.6,0.22,0.06,0.00,0.00,0,0,Matches,36,36,2890,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0,51,35,1,2,29,33,,,1,,,,,,,,,,,,,,,21/22
21,Altube,es ESP,GK,CF Fuenlabrada,21,2000,24.0,0,0,0,,0.00,0.00,,,0,0,Matches,24,24,2160,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,,,0,31,1.29,100,69,69.0,3,10,11,6,25.0,4,0,0,0.0,21/22
22,Cristian Álvarez,ar ARG,GK,Zaragoza,35,1985,38.0,0,0,0,,0.00,0.00,,,0,0,Matches,38,38,3420,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,2,10,0,0,0,0,,,0,40,1.05,142,102,71.8,11,19,8,11,28.9,1,2,0,66.7,21/22
23,Sergio Álvarez,es ESP,"MF,DF",Eibar,29,1992,29.4,1,8,4,50.0,0.27,0.14,0.13,0.25,0,0,Matches,32,28,2644,1,2,1,6,0,0.03,0.03,0.07,0.03,0.07,0,44,17,0,5,36,39,,,0,,,,,,,,,,,,,,,21/22
24,Mikel Álvaro,es ESP,MF,Amorebieta,38,1982,3.8,0,5,0,0.0,1.31,0.00,0.00,,0,0,Matches,13,3,344,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,9,8,0,3,2,5,,,0,,,,,,,,,,,,,,,21/22
25,Rubén Alves,es ESP,"DF,MF",Ibiza,26,1994,20.6,1,8,4,50.0,0.39,0.19,0.13,0.25,0,0,Matches,27,19,1851,1,2,1,5,0,0.05,0.05,0.10,0.05,0.10,0,20,21,2,7,22,18,,,0,,,,,,,,,,,,,,,21/22
26,Jair Amador,gq EQG,DF,Zaragoza,31,1989,38.9,1,26,8,30.8,0.67,0.21,0.04,0.13,0,0,Matches,39,39,3503,3,4,1,6,0,0.03,0.08,0.10,0.03,0.10,0,29,3,2,0,38,22,,,2,,,,,,,,,,,,,,,21/22
27,David Amigo,es ESP,"MF,FW",CF Fuenlabrada,18,2002,7.8,0,16,4,25.0,2.05,0.51,0.00,0.00,0,0,Matches,15,6,702,1,1,0,0,0,0.00,0.13,0.13,0.00,0.13,0,8,6,2,18,3,7,,,0,,,,,,,,,,,,,,,21/22
28,Jose Amo,es ESP,"DF,MF",Ponferradina,23,1998,24.4,0,3,0,0.0,0.12,0.00,0.00,,0,0,Matches,32,24,2199,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,0,36,15,0,1,36,18,,,0,,,,,,,,,,,,,,,21/22
29,Iker Amorrortu,es ESP,FW,Amorebieta,26,1994,1.4,1,6,3,50.0,4.25,2.13,0.17,0.33,0,0,Matches,8,0,127,0,1,1,0,0,0.71,0.00,0.71,0.71,0.71,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,21/22
30,Jon Ander Garrido,es ESP,MF,Mirandés,31,1989,4.3,1,3,1,33.3,0.70,0.23,0.33,1.00,0,0,Matches,13,2,388,1,2,1,4,0,0.23,0.23,0.46,0.23,0.46,0,15,4,0,1,3,7,,,0,,,,,,,,,,,,,,,21/22
31,Marcos André,br BRA,FW,Valladolid,24,1996,1.0,1,6,3,50.0,6.00,3.00,0.17,0.33,0,0,Matches,1,1,90,0,1,1,1,0,1.00,0.00,1.00,1.00,1.00,0,4,5,1,0,0,0,,,0,,,,,,,,,,,,,,,21/22
32,David Andújar,es ESP,DF,Cartagena,29,1991,14.3,0,3,0,0.0,0.21,0.00,0.00,,0,0,Matches,16,15,1289,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0,27,11,1,0,19,12,,,1,,,,,,,,,,,,,,,21/22
33,Andy,es ESP,MF,Burgos,31,1990,33.2,1,25,6,24.0,0.75,0.18,0.04,0.17,0,0,Matches,40,34,2984,5,6,1,3,0,0.03,0.15,0.18,0.03,0.18,0,32,18,1,186,26,22,,,0,,,,,,,,,,,,,,,21/22
34,José Ángel Carrillo,es ESP,FW,Lugo,27,1994,21.0,9,46,22,47.8,2.19,1.05,0.15,0.32,2,3,Matches,33,22,1889,1,10,7,5,0,0.43,0.05,0.48,0.33,0.38,0,21,44,18,1,6,1,,,0,,,,,,,,,,,,,,,21/22
35,Miguel Ángel Guerrero,es ESP,"MF,FW",Ibiza,31,1990,22.9,2,35,10,28.6,1.53,0.44,0.03,0.10,1,2,Matches,34,25,2065,3,5,1,4,1,0.09,0.13,0.22,0.04,0.17,0,60,24,2,23,8,8,,,0,,,,,,,,,,,,,,,21/22
36,José Ángel,es ESP,MF,Alcorcón,29,1992,16.3,1,16,2,12.5,0.98,0.12,0.06,0.50,0,0,Matches,17,17,1463,1,2,1,11,0,0.06,0.06,0.12,0.06,0.12,0,33,41,1,52,29,31,,,0,,,,,,,,,,,,,,,21/22
37,Miguel Ángel Rubio,es ESP,DF,Burgos,23,1998,24.1,3,22,8,36.4,0.91,0.33,0.14,0.38,0,0,Matches,28,25,2172,0,3,3,4,0,0.12,0.00,0.12,0.12,0.12,0,26,13,0,1,35,14,,,1,,,,,,,,,,,,,,,21/22
38,Paul Anton,ro ROU,MF,Ponferradina,30,1991,12.8,0,13,0,0.0,1.02,0.00,0.00,,0,0,Matches,28,12,1150,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,26,10,0,12,18,23,,,0,,,,,,,,,,,,,,,21/22
39,Leandro Antonetti,pr PUR,FW,Lugo,18,2003,0.2,0,1,0,0.0,5.29,0.00,0.00,,0,0,Matches,2,0,17,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,,,21/22
40,José Antonio Ríos,es ESP,DF,Ponferradina,31,1990,26.5,3,25,4,16.0,0.94,0.15,0.12,0.75,0,0,Matches,30,27,2389,7,10,3,4,0,0.11,0.26,0.38,0.11,0.38,0,8,21,3,224,38,11,,,0,,,,,,,,,,,,,,,21/22
