Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
551,Mario Suárez,es ESP,DF,Rayo Vallecano,34,1987,7.9,0,9,3,33.3,1.14,0.38,0.00,0.00,0,0,Matches
552,Suso,es ESP,"FW,MF",Sevilla,27,1993,4.3,0,6,2,33.3,1.41,0.47,0.00,0.00,0,0,Matches
553,Mamadou Sylla,sn SEN,FW,Alavés,27,1994,4.4,0,2,0,0.0,0.46,0.00,0.00,,0,0,Matches
554,Mamadou Sylla,sn SEN,FW,Rayo Vallecano,27,1994,2.8,0,11,1,9.1,3.91,0.36,0.00,0.00,0,0,Matches
555,Alexander Sørloth,no NOR,FW,Real Sociedad,25,1995,19.6,4,35,13,37.1,1.79,0.66,0.11,0.31,0,0,Matches
556,Tachi,es ESP,DF,Alavés,23,1997,2.7,0,0,0,,0.00,0.00,,,0,0,Matches
557,Renato Tapia,pe PER,MF,Celta Vigo,26,1995,15.7,0,12,3,25.0,0.76,0.19,0.00,0.00,0,0,Matches
558,Cristian Tello,es ESP,MF,Real Betis,29,1991,9.1,2,29,9,31.0,3.19,0.99,0.07,0.22,0,0,Matches
559,Nahuel Tenaglia,ar ARG,DF,Alavés,25,1996,11.9,0,6,1,16.7,0.50,0.08,0.00,0.00,0,0,Matches
560,Marc Tenas,es ESP,MF,Alavés,20,2001,0.6,0,0,0,,0.00,0.00,,,0,0,Matches
561,Marc-André ter Stegen,de GER,GK,Barcelona,29,1992,35.0,0,0,0,,0.00,0.00,,,0,0,Matches
562,David Timor,es ESP,MF,Getafe,31,1989,3.8,0,8,0,0.0,2.11,0.00,0.00,,0,0,Matches
563,Mircea Ţîrlea,ro ROU,DF,Alavés,21,2000,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
564,Raúl de Tomás,es ESP,FW,Espanyol,26,1994,32.4,17,106,45,42.5,3.27,1.39,0.11,0.27,5,5,Matches
565,Raúl Torrente,es ESP,DF,Granada,19,2001,14.2,0,4,0,0.0,0.28,0.00,0.00,,0,0,Matches
566,Ferrán Torres,es ESP,FW,Barcelona,21,2000,15.7,4,52,19,36.5,3.31,1.21,0.06,0.16,1,1,Matches
