Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
161,Youssef En-Nesyri,ma MAR,FW,Sevilla,25,1997,31,17,1661,18.5,8,1,9,8,0,0,4,0,0.43,0.05,0.49,0.43,0.49,Matches
162,Gonzalo Escalante,ar ARG,MF,Cádiz,29,1993,14,13,1121,12.5,4,1,5,4,0,0,4,0,0.32,0.08,0.40,0.32,0.40,Matches
163,Sergio Escudero,es ESP,"DF,MF",Valladolid,32,1989,23,17,1439,16.0,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
164,Alfonso Espino,uy URU,DF,Cádiz,30,1992,36,35,3122,34.7,0,4,4,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12,Matches
165,Bernardo Espinosa,co COL,DF,Girona,33,1989,20,14,1225,13.6,1,1,2,1,0,0,5,0,0.07,0.07,0.15,0.07,0.15,Matches
166,Edu Expósito,es ESP,MF,Espanyol,25,1996,28,13,1160,12.9,2,2,4,2,0,0,3,1,0.16,0.16,0.31,0.16,0.31,Matches
167,Abde Ezzalzouli,ma MAR,"FW,MF",Osasuna,20,2001,28,19,1504,16.7,4,2,6,4,0,0,4,2,0.24,0.12,0.36,0.24,0.36,Matches
168,Radamel Falcao,co COL,FW,Rayo Vallecano,36,1986,27,3,616,6.8,2,0,2,1,1,1,4,0,0.29,0.00,0.29,0.15,0.15,Matches
169,Fali,es ESP,"DF,MF",Cádiz,28,1993,25,22,1714,19.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Mamadou Fall,sn SEN,DF,Villarreal,19,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
171,Ansu Fati,es ESP,FW,Barcelona,19,2002,36,12,1393,15.5,7,3,10,7,0,0,3,0,0.45,0.19,0.65,0.45,0.65,Matches
172,Zouhair Feddal,ma MAR,DF,Valladolid,33,1989,8,4,375,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
173,Nabil Fekir,fr FRA,MF,Real Betis,29,1993,15,12,961,10.7,2,2,4,1,1,1,4,1,0.19,0.19,0.37,0.09,0.28,Matches
174,Felipe,br BRA,DF,Atlético Madrid,33,1989,3,2,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
175,Luiz Felipe,it ITA,DF,Real Betis,25,1997,23,22,1763,19.6,0,0,0,0,0,0,3,3,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,João Félix,pt POR,"FW,MF",Atlético Madrid,22,1999,14,7,650,7.2,4,3,7,4,0,0,5,0,0.55,0.42,0.97,0.55,0.97,Matches
177,Kiko Femenía,es ESP,DF,Villarreal,31,1991,20,13,1133,12.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
178,Aitor Fernández,es ESP,GK,Osasuna,31,1991,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
179,Álex Fernández,es ESP,"MF,FW",Cádiz,29,1992,28,17,1576,17.5,3,0,3,2,1,1,0,0,0.17,0.00,0.17,0.11,0.11,Matches
180,Álvaro Fernández,es ESP,GK,Espanyol,24,1998,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
181,Carlos Fernández,es ESP,FW,Real Sociedad,26,1996,24,8,631,7.0,1,0,1,1,0,0,6,0,0.14,0.00,0.14,0.14,0.14,Matches
182,Federico Fernández,ar ARG,DF,Elche,33,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
183,Joaquín Fernández,es ESP,DF,Valladolid,26,1996,27,24,2156,24.0,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches
184,Nicolás Fernández,ar ARG,"MF,DF",Elche,22,2000,18,3,514,5.7,0,1,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
185,Valery Fernández,es ESP,"MF,DF",Girona,22,1999,25,7,967,10.7,0,2,2,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
186,Fernando,es ESP,GK,Almería,32,1990,37,37,3285,36.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
187,Fernando,br BRA,"MF,DF",Sevilla,35,1987,22,19,1577,17.5,0,1,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,Matches
188,Fidel,es ESP,"MF,FW",Elche,32,1989,27,21,1714,19.0,3,2,5,2,1,1,5,0,0.16,0.11,0.26,0.11,0.21,Matches
189,Dimitri Foulquier,fr FRA,DF,Valencia,29,1993,30,17,1738,19.3,0,2,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
190,Juan Foyth,ar ARG,DF,Villarreal,24,1998,24,22,1958,21.8,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches
191,Iván Fresneda,es ESP,"DF,MF",Valladolid,17,2004,22,18,1743,19.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
192,Javi Galán,es ESP,DF,Celta Vigo,27,1994,37,36,3160,35.1,0,3,3,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,Matches
193,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,28,1993,30,28,2449,27.2,0,1,1,0,0,0,12,0,0.00,0.04,0.04,0.00,0.04,Matches
194,Aleix García,es ESP,MF,Girona,25,1997,30,26,2337,26.0,1,5,6,1,0,0,1,0,0.04,0.19,0.23,0.04,0.23,Matches
195,Álvaro García,es ESP,MF,Rayo Vallecano,29,1992,35,34,2870,31.9,5,5,10,5,0,0,7,0,0.16,0.16,0.31,0.16,0.31,Matches
196,Borja García,es ESP,"MF,FW",Girona,31,1990,11,10,679,7.5,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
197,Carlos García,es ESP,DF,Cádiz,22,2000,1,0,25,0.3,0,1,1,0,0,0,0,0,0.00,3.60,3.60,0.00,3.60,Matches
198,Dani García,es ESP,MF,Athletic Club,32,1990,25,18,1485,16.5,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches
199,David García,es ESP,DF,Osasuna,28,1994,32,31,2680,29.8,2,0,2,2,0,0,8,1,0.07,0.00,0.07,0.07,0.07,Matches
200,Eric García,es ESP,"DF,MF",Barcelona,21,2001,24,15,1417,15.7,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Fran Garcia,es ESP,DF,Rayo Vallecano,22,1999,38,38,3407,37.9,2,3,5,2,0,0,1,0,0.05,0.08,0.13,0.05,0.13,Matches
202,Joan García,es ESP,GK,Espanyol,21,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
203,Raúl García,es ESP,"MF,FW",Athletic Club,36,1986,35,6,967,10.7,2,3,5,2,0,0,4,0,0.19,0.28,0.47,0.19,0.47,Matches
204,Rubén García,es ESP,"MF,FW",Osasuna,29,1993,29,11,1159,12.9,2,2,4,2,0,0,2,0,0.16,0.16,0.31,0.16,0.31,Matches
205,Unai García,es ESP,DF,Osasuna,30,1992,21,20,1713,19.0,0,1,1,0,0,0,6,1,0.00,0.05,0.05,0.00,0.05,Matches
206,Felix Garreta,es ESP,DF,Real Betis,18,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
207,Aleix Garrido,es ESP,MF,Barcelona,18,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
208,Sékou Gassama,sn SEN,FW,Valladolid,27,1995,1,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
209,Gavi,es ESP,"MF,FW",Barcelona,17,2004,36,30,2531,28.1,2,4,6,2,0,0,10,0,0.07,0.14,0.21,0.07,0.21,Matches
210,Paulo Gazzaniga,ar ARG,GK,Girona,30,1992,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
211,Bryan Gil,es ESP,MF,Sevilla,21,2001,17,10,918,10.2,2,2,4,2,0,0,4,0,0.20,0.20,0.39,0.20,0.39,Matches
212,David Gil,es ESP,GK,Cádiz,28,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
213,Óscar Gil,es ESP,DF,Espanyol,25,1997,33,31,2559,28.4,0,1,1,0,0,0,14,0,0.00,0.04,0.04,0.00,0.04,Matches
214,Álvaro Giménez,es ESP,"FW,MF",Cádiz,31,1991,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
215,Dani Gómez,es ESP,FW,Espanyol,24,1998,8,0,88,1.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
216,Maxi Gómez,uy URU,FW,Valencia,25,1996,3,0,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
217,Moi Gómez,es ESP,MF,Osasuna,28,1994,33,28,2453,27.3,3,2,5,3,0,0,5,0,0.11,0.07,0.18,0.11,0.18,Matches
218,Papu Gómez,ar ARG,MF,Sevilla,34,1988,19,11,1065,11.8,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,Matches
219,Sergi Gómez,es ESP,DF,Espanyol,30,1992,29,26,2339,26.0,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches
220,Antonio Gomis,es ESP,GK,Atlético Madrid,19,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
221,Diego González,es ESP,DF,Elche,27,1995,16,8,958,10.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
222,Édgar González,es ESP,DF,Real Betis,25,1997,25,18,1772,19.7,0,0,0,0,0,0,8,2,0.00,0.00,0.00,0.00,0.00,Matches
223,Giovanni González,uy URU,"DF,MF",Mallorca,27,1994,15,9,926,10.3,0,2,2,0,0,0,5,0,0.00,0.19,0.19,0.00,0.19,Matches
224,Nicolás González,es ESP,MF,Valencia,20,2002,26,18,1405,15.6,1,1,2,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,Matches
225,Roberto González,es ESP,MF,Real Betis,21,2001,2,0,54,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Andoni Gorosabel,es ESP,DF,Real Sociedad,25,1996,27,19,1708,19.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
227,José Gragera,es ESP,"MF,DF",Espanyol,21,2000,9,5,460,5.1,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
228,Ivo Grbić,hr CRO,GK,Atlético Madrid,26,1996,12,10,922,10.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
229,Dominik Greif,sk SVK,GK,Mallorca,25,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
230,Clément Grenier,fr FRA,MF,Mallorca,31,1991,21,6,718,8.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
231,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,31,1991,38,31,2859,31.8,15,16,31,15,0,0,2,0,0.47,0.50,0.98,0.47,0.98,Matches
232,Andrés Guardado,mx MEX,MF,Real Betis,35,1986,26,16,1373,15.3,1,1,2,1,0,0,7,0,0.07,0.07,0.13,0.07,0.13,Matches
233,Sergi Guardiola,es ESP,FW,Cádiz,31,1991,17,14,1165,12.9,3,0,3,3,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches
234,Sergi Guardiola,es ESP,FW,Valladolid,31,1991,14,8,502,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
235,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,30,1991,34,31,2779,30.9,3,1,4,3,0,0,8,0,0.10,0.03,0.13,0.10,0.13,Matches
236,Javier Guerra,es ESP,MF,Valencia,19,2003,10,6,605,6.7,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches
237,Ander Guevara,es ESP,MF,Real Sociedad,25,1997,8,2,221,2.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
238,Pape Gueye,sn SEN,MF,Sevilla,23,1999,16,15,1171,13.0,1,3,4,1,0,0,6,3,0.08,0.23,0.31,0.08,0.31,Matches
239,Hugo Guillamón,es ESP,MF,Valencia,22,2000,25,19,1632,18.1,1,4,5,0,1,1,5,0,0.06,0.22,0.28,0.00,0.22,Matches
240,Gerard Gumbau,es ESP,MF,Elche,27,1994,35,31,2737,30.4,1,6,7,1,0,0,11,0,0.03,0.20,0.23,0.03,0.23,Matches
241,Gorka Guruzeta,es ESP,FW,Athletic Club,25,1996,30,17,1421,15.8,6,1,7,6,0,0,2,0,0.38,0.06,0.44,0.38,0.44,Matches
242,Raúl Guti,es ESP,MF,Elche,25,1996,28,12,1117,12.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
243,Miguel Gutiérrez,es ESP,"DF,MF",Girona,21,2001,34,27,2390,26.6,2,3,5,2,0,0,6,0,0.08,0.11,0.19,0.08,0.19,Matches
244,Munir El Haddadi,ma MAR,"MF,FW",Getafe,26,1995,28,10,1150,12.8,3,1,4,3,0,0,4,0,0.23,0.08,0.31,0.23,0.31,Matches
245,Dennis Hadžikadunić,ba BIH,DF,Mallorca,24,1998,8,7,614,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
246,Haissem Hassan,eg EGY,MF,Villarreal,20,2002,2,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
247,Eden Hazard,be BEL,FW,Real Madrid,31,1991,6,2,196,2.2,0,1,1,0,0,1,0,0,0.00,0.46,0.46,0.00,0.46,Matches
248,Luiz Henrique,br BRA,MF,Real Betis,21,2001,33,21,1807,20.1,1,3,4,1,0,0,6,0,0.05,0.15,0.20,0.05,0.20,Matches
249,Mario Hermoso,es ESP,DF,Atlético Madrid,27,1995,26,24,2110,23.4,3,2,5,3,0,0,7,2,0.13,0.09,0.21,0.13,0.21,Matches
250,Aridane Hernández,es ESP,DF,Osasuna,33,1989,23,20,1793,19.9,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Javi Hernández,es ESP,DF,Girona,24,1998,25,13,1116,12.4,1,2,3,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,Matches
252,Luis Hernández,es ESP,DF,Cádiz,33,1989,35,35,3149,35.0,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches
253,Mario Hernández,es ESP,DF,Rayo Vallecano,23,1999,3,1,103,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
254,Jorge Herrando,es ESP,DF,Osasuna,21,2001,1,1,25,0.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
255,Ander Herrera,es ESP,MF,Athletic Club,32,1989,17,9,697,7.7,0,1,1,0,0,0,4,1,0.00,0.13,0.13,0.00,0.13,Matches
256,Sergio Herrera,es ESP,GK,Osasuna,29,1993,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
257,Yangel Herrera,ve VEN,MF,Girona,24,1998,20,12,963,10.7,2,2,4,2,0,0,4,0,0.19,0.19,0.37,0.19,0.37,Matches
258,Omar El Hilali,ma MAR,DF,Espanyol,18,2003,5,1,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
259,Martin Hongla,cm CMR,"DF,MF",Valladolid,24,1998,16,15,1306,14.5,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches
260,Pablo Ibáñez,es ESP,MF,Osasuna,23,1998,25,12,1064,11.8,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
261,Iglesias,es ESP,DF,Getafe,24,1998,32,21,2146,23.8,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
262,Borja Iglesias,es ESP,FW,Real Betis,29,1993,35,29,2365,26.3,15,3,18,10,5,6,2,1,0.57,0.11,0.68,0.38,0.49,Matches
263,Asier Illarramendi,es ESP,MF,Real Sociedad,32,1990,24,13,1076,12.0,1,0,1,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches
264,Alexander Isak,se SWE,FW,Real Sociedad,22,1999,2,2,152,1.7,1,0,1,1,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches
265,Isco,es ESP,"MF,FW",Sevilla,30,1992,12,10,799,8.9,0,2,2,0,0,0,5,0,0.00,0.23,0.23,0.00,0.23,Matches
266,Diego Iturralde,es ESP,DF,Sevilla,19,2003,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
267,Nicolas Jackson,sn SEN,FW,Villarreal,21,2001,26,16,1598,17.8,12,4,16,12,0,0,6,1,0.68,0.23,0.90,0.68,0.90,Matches
268,Adnan Januzaj,be BEL,MF,Sevilla,27,1995,2,1,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
269,Joaquín,es ESP,MF,Real Betis,41,1981,22,2,496,5.5,0,2,2,0,0,0,2,0,0.00,0.36,0.36,0.00,0.36,Matches
270,Frenkie de Jong,nl NED,MF,Barcelona,25,1997,33,29,2534,28.2,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,Matches
271,Joan Jordán,es ESP,MF,Sevilla,28,1994,23,19,1592,17.7,0,1,1,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches
272,Josan,es ESP,"DF,MF",Elche,32,1989,26,9,1078,12.0,1,3,4,1,0,0,3,0,0.08,0.25,0.33,0.08,0.33,Matches
273,Willian José,br BRA,FW,Real Betis,30,1991,28,6,731,8.1,2,1,3,1,1,1,1,0,0.25,0.12,0.37,0.12,0.25,Matches
274,Joselu,es ESP,FW,Espanyol,32,1990,34,33,2990,33.2,16,2,18,11,5,5,2,0,0.48,0.06,0.54,0.33,0.39,Matches
275,Juanmi,es ESP,MF,Real Betis,29,1993,22,9,925,10.3,4,0,4,4,0,0,3,0,0.39,0.00,0.39,0.39,0.39,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Juanpe,es ESP,DF,Girona,31,1991,19,17,1426,15.8,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
277,Lago Junior,ci CIV,"FW,MF",Mallorca,31,1990,5,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
278,Vinicius Júnior,br BRA,FW,Real Madrid,22,2000,33,32,2823,31.4,10,9,19,10,0,0,10,1,0.32,0.29,0.61,0.32,0.61,Matches
279,Filip Jørgensen,dk DEN,GK,Villarreal,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
280,Tino Kadewere,zw ZIM,"FW,MF",Mallorca,26,1996,15,5,542,6.0,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
281,Kaiky,br BRA,DF,Almería,18,2004,13,7,581,6.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
282,Lee Kang-in,kr KOR,"MF,FW",Mallorca,21,2001,36,33,2823,31.4,6,6,12,6,0,0,10,0,0.19,0.19,0.38,0.19,0.38,Matches
283,Jon Karrikaburu,es ESP,FW,Real Sociedad,19,2002,6,0,93,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
284,Kenedy,br BRA,FW,Valladolid,26,1996,12,2,275,3.1,0,1,1,0,0,0,3,0,0.00,0.33,0.33,0.00,0.33,Matches
285,Franck Kessié,ci CIV,MF,Barcelona,25,1996,28,7,990,11.0,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
286,Kiké,es ESP,FW,Osasuna,32,1989,35,7,1021,11.3,2,0,2,1,1,1,5,0,0.18,0.00,0.18,0.09,0.09,Matches
287,Justin Kluivert,nl NED,"FW,MF",Valencia,23,1999,26,15,1447,16.1,6,0,6,5,1,1,4,0,0.37,0.00,0.37,0.31,0.31,Matches
288,Koke,es ESP,MF,Atlético Madrid,30,1992,33,30,2545,28.3,0,3,3,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches
289,Luca Koleosho,it ITA,MF,Espanyol,17,2004,4,0,59,0.7,1,0,1,1,0,0,0,0,1.53,0.00,1.53,1.53,1.53,Matches
290,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,29,1993,20,10,1006,11.2,0,2,2,0,0,0,5,0,0.00,0.18,0.18,0.00,0.18,Matches
291,Jules Koundé,fr FRA,DF,Barcelona,23,1998,29,28,2426,27.0,1,3,4,1,0,0,2,0,0.04,0.11,0.15,0.04,0.15,Matches
292,Toni Kroos,de GER,MF,Real Madrid,32,1990,30,25,2155,23.9,2,4,6,2,0,0,2,1,0.08,0.17,0.25,0.08,0.25,Matches
293,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,21,2001,35,29,2439,27.1,9,4,13,9,0,0,3,0,0.33,0.15,0.48,0.33,0.48,Matches
294,César de la Hoz,es ESP,MF,Almería,30,1992,25,18,1673,18.6,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches
295,Luca de la Torre,us USA,MF,Celta Vigo,24,1998,28,16,1481,16.5,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches
296,Érik Lamela,ar ARG,"MF,FW",Sevilla,30,1992,32,20,1844,20.5,6,0,6,6,0,0,10,1,0.29,0.00,0.29,0.29,0.29,Matches
297,Cyle Larin,ca CAN,FW,Valladolid,27,1995,19,16,1469,16.3,8,3,11,6,2,2,4,0,0.49,0.18,0.67,0.37,0.55,Matches
298,Juanmi Latasa,es ESP,FW,Getafe,21,2001,18,2,448,5.0,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
299,Toni Lato,es ESP,"DF,MF",Valencia,24,1997,24,9,914,10.2,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
300,Lázaro,br BRA,"FW,MF",Almería,20,2002,19,7,716,8.0,6,0,6,6,0,0,1,0,0.75,0.00,0.75,0.75,0.75,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Robin Le Normand,es ESP,DF,Real Sociedad,25,1996,33,31,2796,31.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
302,Benjamin Lecomte,fr FRA,GK,Espanyol,31,1991,10,10,899,10.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
303,Jeremías Ledesma,ar ARG,GK,Cádiz,29,1993,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
304,Florian Lejeune,fr FRA,DF,Rayo Vallecano,31,1991,31,31,2565,28.5,4,0,4,4,0,0,6,3,0.14,0.00,0.14,0.14,0.14,Matches
305,Iñigo Lekue,es ESP,DF,Athletic Club,29,1993,20,14,1321,14.7,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
306,Thomas Lemar,fr FRA,MF,Atlético Madrid,26,1995,27,17,1252,13.9,1,3,4,1,0,0,1,0,0.07,0.22,0.29,0.07,0.29,Matches
307,Sergio León,es ESP,FW,Valladolid,33,1989,29,14,1334,14.8,6,1,7,5,1,2,0,1,0.40,0.07,0.47,0.34,0.40,Matches
308,Robert Lewandowski,pl POL,FW,Barcelona,33,1988,34,33,2847,31.6,23,7,30,23,0,1,4,1,0.73,0.22,0.95,0.73,0.95,Matches
309,Samuel Lino,br BRA,"FW,MF",Valencia,22,1999,38,33,2887,32.1,6,1,7,6,0,0,4,0,0.19,0.03,0.22,0.19,0.22,Matches
310,Pol Lirola,es ESP,DF,Elche,24,1997,12,7,628,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
311,Javier Llabrés,es ESP,MF,Mallorca,19,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
312,Marcos Llorente,es ESP,MF,Atlético Madrid,27,1995,22,21,1703,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches
313,Giovani Lo Celso,ar ARG,"MF,FW",Villarreal,26,1996,22,14,1126,12.5,2,3,5,2,0,0,3,0,0.16,0.24,0.40,0.16,0.40,Matches
314,David López,es ESP,"DF,MF",Girona,32,1989,20,19,1652,18.4,3,1,4,3,0,0,5,0,0.16,0.05,0.22,0.16,0.22,Matches
315,Diego López,es ESP,GK,Rayo Vallecano,40,1981,2,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
316,Diego López,es ESP,MF,Valencia,20,2002,10,5,447,5.0,3,1,4,3,0,0,0,0,0.60,0.20,0.81,0.60,0.81,Matches
317,Unai López,es ESP,MF,Rayo Vallecano,26,1995,34,12,1254,13.9,1,2,3,1,0,0,2,0,0.07,0.14,0.22,0.07,0.22,Matches
318,Anthony Lozano,hn HON,FW,Cádiz,29,1993,28,14,1443,16.0,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches
319,Pol Lozano,es ESP,MF,Espanyol,22,1999,4,0,17,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
320,José Luis Gayà,es ESP,DF,Valencia,27,1995,31,31,2709,30.1,1,3,4,1,0,1,4,0,0.03,0.10,0.13,0.03,0.13,Matches
321,José Luis Morales,es ESP,FW,Villarreal,35,1987,29,11,1211,13.5,7,0,7,7,0,0,2,0,0.52,0.00,0.52,0.52,0.52,Matches
322,Andriy Lunin,ua UKR,GK,Real Madrid,23,1999,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
323,Awer Mabil,au AUS,MF,Cádiz,26,1995,5,1,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
