Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
1,Tony Abad,es ESP,DF,Eldense,26,1996,31.8,0,8,0,0.0,0.25,0.00,0.00,,0,0,Matches,34,32,2861,6,6,0,6,0,0.00,0.19,0.19,0.00,0.19,0,29,15,2,104,31,39,,,0,,,,,,,,,,,,,,,23/24
2,Diyaeddine Abzi,ca CAN,DF,Leganés,24,1998,0.4,0,1,1,100.0,2.37,2.37,0.00,0.00,0,0,Matches,4,0,38,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
3,Álvaro Aceves,es ESP,GK,Eldense,20,2003,14.0,0,0,0,,0.00,0.00,,,0,0,Matches,14,14,1260,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,1,,,0,18,1.29,46,28,60.9,4,7,3,5,35.7,4,0,0,0.0,23/24
4,Emmanuel Addai,gh GHA,"MF,FW",Alcorcón,21,2001,23.1,3,93,27,29.0,4.03,1.17,0.03,0.11,0,0,Matches,35,19,2079,4,7,3,1,0,0.13,0.17,0.30,0.13,0.30,0,18,37,11,55,13,17,,,0,,,,,,,,,,,,,,,23/24
5,Álvaro Aguado,es ESP,MF,Espanyol,27,1996,23.7,1,18,4,22.2,0.76,0.17,0.06,0.25,0,0,Matches,32,25,2129,2,3,1,1,1,0.04,0.08,0.13,0.04,0.13,0,22,46,1,107,14,14,,,0,,,,,,,,,,,,,,,23/24
6,Marc Aguado,es ESP,MF,Zaragoza,23,2000,26.8,0,2,0,0.0,0.07,0.00,0.00,,0,0,Matches,35,29,2411,2,2,0,7,0,0.00,0.07,0.07,0.00,0.07,0,23,32,0,6,44,50,,,0,,,,,,,,,,,,,,,23/24
7,Lalo Aguilar,es ESP,DF,Leganés,21,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,3,0,21,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,1,0,0,,,0,,,,,,,,,,,,,,,23/24
8,Lucas Ahijado,es ESP,DF,Oviedo,28,1995,7.7,0,3,0,0.0,0.39,0.00,0.00,,0,0,Matches,16,8,692,1,1,0,1,0,0.00,0.13,0.13,0.00,0.13,0,10,2,1,35,7,16,,,0,,,,,,,,,,,,,,,23/24
9,Matheus Aiás,br BRA,FW,Racing Sant,26,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,5,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
10,Ager Aketxe,es ESP,MF,Eibar,29,1993,30.8,11,91,31,34.1,2.96,1.01,0.07,0.19,5,5,Matches,40,34,2770,6,17,6,4,0,0.36,0.19,0.55,0.19,0.39,0,30,39,0,159,14,38,,,0,,,,,,,,,,,,,,,23/24
11,Ilias Akhomach,ma MAR,MF,Villarreal B,19,2004,1.7,0,6,0,0.0,3.46,0.00,0.00,,0,0,Matches,2,2,156,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,7,0,0,1,1,,,0,,,,,,,,,,,,,,,23/24
12,Babatunde Akinsola,ng NGA,MF,Valladolid,20,2003,3.2,0,4,2,50.0,1.25,0.62,0.00,0.00,0,0,Matches,9,2,289,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,5,9,2,14,4,2,,,0,,,,,,,,,,,,,,,23/24
13,Jony Álamo,es ESP,MF,Cartagena,21,2001,6.2,0,4,2,50.0,0.64,0.32,0.00,0.00,0,0,Matches,18,4,559,1,1,0,1,0,0.00,0.16,0.16,0.00,0.16,0,8,16,0,0,3,3,,,0,,,,,,,,,,,,,,,23/24
14,Tomás Alarcón,cl CHI,MF,Cartagena,24,1999,26.5,1,25,9,36.0,0.94,0.34,0.04,0.11,0,0,Matches,35,29,2388,1,2,1,13,0,0.04,0.04,0.08,0.04,0.08,0,44,21,2,43,26,24,,,0,,,,,,,,,,,,,,,23/24
