Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
15,Pedro Alcalá,es ESP,DF,Cartagena,34,1989,36.8,0,18,0,0.0,0.49,0.00,0.00,,0,0,Matches,37,37,3316,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0,33,12,1,6,30,27,,,1,,,,,,,,,,,,,,,23/24
16,Edgar Alcañiz,es ESP,MF,Levante,18,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,12,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
17,Aldasoro,es ESP,MF,Racing Sant,24,1999,32.1,1,33,10,30.3,1.03,0.31,0.03,0.10,0,0,Matches,40,31,2889,0,1,1,13,0,0.03,0.00,0.03,0.03,0.03,0,62,42,0,5,44,48,,,0,,,,,,,,,,,,,,,23/24
18,Iker Alday,es ESP,DF,Eibar,20,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,17,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
19,Alexandre Alemão,br BRA,FW,Oviedo,25,1998,16.2,5,46,10,21.7,2.85,0.62,0.11,0.50,0,0,Matches,33,14,1455,1,6,5,2,0,0.31,0.06,0.37,0.31,0.37,0,38,37,11,9,3,10,,,0,,,,,,,,,,,,,,,23/24
20,Diego Alende,es ESP,DF,FC Andorra,25,1997,7.6,1,5,2,40.0,0.66,0.26,0.20,0.50,0,0,Matches,11,9,685,0,1,1,1,1,0.13,0.00,0.13,0.13,0.13,0,5,1,1,0,12,6,,,0,,,,,,,,,,,,,,,23/24
21,Ángel Algobia,es ESP,MF,Levante,24,1999,12.8,1,8,5,62.5,0.62,0.39,0.13,0.20,0,0,Matches,21,13,1153,2,3,1,2,0,0.08,0.16,0.23,0.08,0.23,0,21,2,0,5,10,7,,,0,,,,,,,,,,,,,,,23/24
22,Christos Almpanis,gr GRE,"FW,MF",FC Andorra,28,1994,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,3,0,45,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,,,23/24
23,Javier Alonso,es ESP,MF,Tenerife,24,1998,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,18,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,,,23/24
24,Julio Alonso,es ESP,DF,Albacete,24,1998,23.6,0,9,2,22.2,0.38,0.08,0.00,0.00,0,0,Matches,34,23,2123,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,24,30,0,78,19,32,,,0,,,,,,,,,,,,,,,23/24
25,Adrià Altimira,es ESP,"DF,MF",Villarreal B,22,2001,25.2,0,15,3,20.0,0.59,0.12,0.00,0.00,0,0,Matches,27,26,2270,1,1,0,3,0,0.00,0.04,0.04,0.00,0.04,0,33,49,1,44,18,35,,,0,,,,,,,,,,,,,,,23/24
26,Altube,es ESP,GK,Albacete,23,2000,5.0,0,0,0,,0.00,0.00,,,0,0,Matches,5,5,450,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,0,,,0,8,1.60,21,13,61.9,2,1,2,0,0.0,1,0,0,0.0,23/24
27,Carlos Álvarez,es ESP,MF,Levante,19,2003,20.9,3,24,9,37.5,1.15,0.43,0.13,0.33,0,0,Matches,29,23,1885,2,5,3,4,0,0.14,0.10,0.24,0.14,0.24,0,28,44,1,43,10,24,,,0,,,,,,,,,,,,,,,23/24
28,Cristian Álvarez,ar ARG,GK,Zaragoza,37,1985,12.7,0,0,0,,0.00,0.00,,,0,0,Matches,13,13,1141,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,,,0,12,0.95,42,30,71.4,6,2,5,5,38.5,0,0,0,,23/24
29,Iker Álvarez,ad AND,GK,Villarreal B,22,2001,32.0,0,0,0,,0.00,0.00,,,0,0,Matches,32,32,2880,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,1,2,0,0,0,0,,,1,43,1.34,128,91,66.4,11,6,15,8,25.0,6,1,1,14.3,23/24
30,Sergio Álvarez,es ESP,"MF,DF",Eibar,31,1992,23.5,1,4,1,25.0,0.17,0.04,0.25,1.00,0,0,Matches,34,22,2113,0,1,1,4,1,0.04,0.00,0.04,0.04,0.04,1,32,16,0,1,25,36,,,0,,,,,,,,,,,,,,,23/24
31,Rubén Alves,es ESP,DF,Racing Sant,28,1994,21.6,2,7,5,71.4,0.32,0.23,0.29,0.40,0,0,Matches,25,22,1945,1,3,2,5,1,0.09,0.05,0.14,0.09,0.14,1,21,13,3,0,23,21,,,0,,,,,,,,,,,,,,,23/24
32,Jair Amador,gq EQG,DF,Zaragoza,33,1989,31.7,1,19,7,36.8,0.60,0.22,0.05,0.14,0,0,Matches,34,32,2851,1,2,1,9,0,0.03,0.03,0.06,0.03,0.06,0,30,4,1,2,39,22,,,1,,,,,,,,,,,,,,,23/24
33,Selim Amallah,ma MAR,"FW,MF",Valladolid,26,1996,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,23,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,3,0,0,0,1,0,,,0,,,,,,,,,,,,,,,23/24
34,Amath,sn SEN,"MF,FW",Valladolid,27,1996,6.3,5,16,6,37.5,2.52,0.95,0.31,0.83,0,0,Matches,9,7,571,2,7,5,2,0,0.79,0.32,1.10,0.79,1.10,0,12,12,1,15,2,4,,,0,,,,,,,,,,,,,,,23/24
35,Jose Amo,es ESP,DF,Tenerife,25,1998,27.6,0,15,2,13.3,0.54,0.07,0.00,0.00,0,0,Matches,32,28,2482,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,0,46,18,3,1,29,14,,,1,,,,,,,,,,,,,,,23/24
36,Lucas Anacker,br BRA,GK,Alcorcón,26,1996,13.0,0,0,0,,0.00,0.00,,,0,0,Matches,13,13,1170,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,1,0,,,0,12,0.92,45,33,73.3,4,4,5,4,30.8,2,0,0,0.0,23/24
37,Florin Andone,ro ROU,FW,Eldense,30,1993,15.7,3,33,9,27.3,2.10,0.57,0.09,0.33,0,0,Matches,29,19,1411,1,4,3,7,0,0.19,0.06,0.26,0.19,0.26,0,62,29,15,9,2,8,,,0,,,,,,,,,,,,,,,23/24
38,Marcos André,br BRA,FW,Valladolid,26,1996,6.2,3,13,4,30.8,2.10,0.65,0.23,0.75,0,1,Matches,16,6,558,3,6,3,4,0,0.48,0.48,0.97,0.48,0.97,0,13,7,1,0,1,2,,,0,,,,,,,,,,,,,,,23/24
39,Andy,es ESP,MF,Cartagena,33,1990,19.8,2,20,4,20.0,1.01,0.20,0.05,0.25,1,1,Matches,21,21,1778,1,3,1,3,0,0.10,0.05,0.15,0.05,0.10,0,16,20,0,100,19,20,,,0,,,,,,,,,,,,,,,23/24
40,Andy,es ESP,FW,Burgos,33,1990,2.0,0,1,1,100.0,0.51,0.51,0.00,0.00,0,0,Matches,14,1,178,2,2,0,1,0,0.00,1.01,1.01,0.00,1.01,0,2,2,0,16,0,0,,,0,,,,,,,,,,,,,,,23/24
41,José Ángel,es ESP,"DF,MF",Sporting Gijón,33,1989,33.3,4,32,12,37.5,0.96,0.36,0.13,0.33,0,0,Matches,39,33,2997,7,11,4,8,0,0.12,0.21,0.33,0.12,0.33,0,30,15,0,273,32,44,,,0,,,,,,,,,,,,,,,23/24
42,Josep Antoni Gayá,es ESP,DF,Amorebieta,23,2000,17.2,1,9,3,33.3,0.52,0.17,0.11,0.33,0,0,Matches,21,17,1550,0,1,1,7,0,0.06,0.00,0.06,0.06,0.06,0,26,7,0,1,27,23,,,0,,,,,,,,,,,,,,,23/24
43,José Antonio Ríos,es ESP,DF,Eibar,33,1990,18.5,0,6,0,0.0,0.32,0.00,0.00,,0,0,Matches,28,17,1666,2,2,0,2,0,0.00,0.11,0.11,0.00,0.11,0,12,8,2,76,12,20,,,0,,,,,,,,,,,,,,,23/24
44,Juan Antonio Ros,es ESP,DF,Albacete,27,1996,12.2,1,7,1,14.3,0.58,0.08,0.14,1.00,0,0,Matches,22,11,1095,0,1,1,5,1,0.08,0.00,0.08,0.08,0.08,0,24,10,0,1,16,10,,,0,,,,,,,,,,,,,,,23/24
45,Antoniu,es ESP,MF,Espanyol,20,2002,2.7,0,0,0,,0.00,0.00,,,0,0,Matches,6,2,241,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,6,3,0,7,4,6,,,0,,,,,,,,,,,,,,,23/24
46,Anuar,ma MAR,"MF,FW",Valladolid,28,1995,10.2,2,7,3,42.9,0.69,0.30,0.29,0.67,0,0,Matches,20,12,914,1,3,2,5,0,0.20,0.10,0.30,0.20,0.30,0,26,23,5,21,6,10,,,0,,,,,,,,,,,,,,,23/24
47,Kévin Appin,mq MTQ,"MF,FW",Burgos,25,1998,16.1,2,13,5,38.5,0.81,0.31,0.15,0.40,0,0,Matches,31,16,1450,1,3,2,5,0,0.12,0.06,0.19,0.12,0.19,0,29,19,2,16,11,28,,,0,,,,,,,,,,,,,,,23/24
48,Aritz Arambarri,es ESP,DF,Leganés,25,1998,17.9,0,4,2,50.0,0.22,0.11,0.00,0.00,0,0,Matches,25,19,1614,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,23,6,1,2,23,8,,,0,,,,,,,,,,,,,,,23/24
49,Arana,es ESP,FW,Eibar,23,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,6,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
50,Arana,es ESP,FW,Racing Sant,23,2000,27.3,13,92,49,53.3,3.37,1.80,0.14,0.27,0,0,Matches,37,33,2455,3,16,13,8,0,0.48,0.11,0.59,0.48,0.59,0,46,50,20,4,2,6,,,0,,,,,,,,,,,,,,,23/24
51,Anaitz Arbilla,es ESP,DF,Eibar,36,1987,39.0,1,19,5,26.3,0.49,0.13,0.05,0.20,0,0,Matches,41,39,3513,1,2,1,5,0,0.03,0.03,0.05,0.03,0.05,0,30,14,2,6,48,34,,,0,,,,,,,,,,,,,,,23/24
52,Jeremy Arévalo,ec ECU,FW,Racing Sant,18,2005,1.6,0,6,1,16.7,3.83,0.64,0.00,0.00,0,0,Matches,12,0,141,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,2,1,1,0,1,,,0,,,,,,,,,,,,,,,23/24
53,Ayman Arguigue,ma MAR,FW,Huesca,18,2005,0.0,0,1,0,0.0,30.00,0.00,0.00,,0,0,Matches,1,0,3,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
54,Anderson Arroyo,co COL,DF,Burgos,23,1999,14.9,1,11,2,18.2,0.74,0.13,0.09,0.50,0,0,Matches,16,15,1340,0,1,1,4,0,0.07,0.00,0.07,0.07,0.07,0,3,13,0,12,17,11,,,0,,,,,,,,,,,,,,,23/24
55,Anderson Arroyo,co COL,DF,FC Andorra,23,1999,4.7,0,0,0,,0.00,0.00,,,0,0,Matches,10,5,422,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,8,0,1,5,3,,,0,,,,,,,,,,,,,,,23/24
56,Juan Artola,es ESP,"FW,MF",Alcorcón,23,2000,9.1,0,17,3,17.6,1.88,0.33,0.00,0.00,0,0,Matches,29,8,815,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,21,16,12,6,3,10,,,0,,,,,,,,,,,,,,,23/24
57,Miguel Atienza,es ESP,MF,Burgos,24,1999,28.3,0,8,0,0.0,0.28,0.00,0.00,,0,0,Matches,37,31,2550,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0,38,42,0,1,44,30,,,0,,,,,,,,,,,,,,,23/24
58,Javier Avilés,es ESP,"FW,MF",Amorebieta,25,1997,7.0,1,10,2,20.0,1.43,0.29,0.10,0.50,0,0,Matches,15,7,629,0,1,1,1,0,0.14,0.00,0.14,0.14,0.14,0,13,14,8,20,2,3,,,0,,,,,,,,,,,,,,,23/24
59,Iván Ayllón,es ESP,"FW,MF",Cartagena,22,2001,5.7,2,15,8,53.3,2.61,1.39,0.13,0.25,0,0,Matches,17,4,517,0,2,2,0,0,0.35,0.00,0.35,0.35,0.35,0,7,11,2,4,4,4,,,0,,,,,,,,,,,,,,,23/24
60,Diego Aznar,es ESP,FW,Huesca,19,2003,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,28,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
61,Ivan Azón,es ESP,FW,Zaragoza,20,2002,27.3,5,58,21,36.2,2.13,0.77,0.09,0.24,0,0,Matches,36,30,2456,1,6,5,1,0,0.18,0.04,0.22,0.18,0.22,0,32,58,32,17,4,14,,,0,,,,,,,,,,,,,,,23/24
62,Jean-Sylvain Babin,mq MTQ,DF,Alcorcón,36,1986,18.9,0,6,0,0.0,0.32,0.00,0.00,,0,0,Matches,24,18,1699,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,10,9,2,0,14,11,,,0,,,,,,,,,,,,,,,23/24
63,Édgar Badía,es ESP,GK,Elche,31,1992,7.0,0,0,0,,0.00,0.00,,,0,0,Matches,7,7,630,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,15,0.83,55,39,72.7,5,7,6,5,27.8,0,0,0,,23/24
63,Édgar Badía,es ESP,GK,Elche,31,1992,7.0,0,0,0,,0.00,0.00,,,0,0,Matches,7,7,630,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,9,1.29,34,25,73.5,2,2,3,2,28.6,1,0,0,0.0,23/24
64,Édgar Badía,es ESP,GK,Zaragoza,31,1992,18.0,0,0,0,,0.00,0.00,,,0,0,Matches,18,18,1620,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,,,0,15,0.83,55,39,72.7,5,7,6,5,27.8,0,0,0,,23/24
64,Édgar Badía,es ESP,GK,Zaragoza,31,1992,18.0,0,0,0,,0.00,0.00,,,0,0,Matches,18,18,1620,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,,,0,9,1.29,34,25,73.5,2,2,3,2,28.6,1,0,0,0.0,23/24
65,Loic Badiashile,fr FRA,GK,Burgos,25,1998,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,1,90,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,,23/24
66,Miguel Baeza,es ESP,MF,Mirandés,23,2000,3.6,0,5,1,20.0,1.41,0.28,0.00,0.00,0,0,Matches,7,4,320,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,3,2,0,7,5,3,,,0,,,,,,,,,,,,,,,23/24
67,Sinan Bakış,tr TUR,FW,Zaragoza,29,1994,12.4,0,24,10,41.7,1.93,0.80,0.00,0.00,0,0,Matches,19,14,1119,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,15,7,11,1,1,4,,,0,,,,,,,,,,,,,,,23/24
68,Alex Balboa,gq EQG,MF,Huesca,22,2001,4.5,1,7,2,28.6,1.56,0.44,0.14,0.50,0,0,Matches,13,4,405,0,1,1,2,1,0.22,0.00,0.22,0.22,0.22,0,10,12,0,2,11,6,,,0,,,,,,,,,,,,,,,23/24
69,Keita Baldé,sn SEN,FW,Espanyol,28,1995,5.2,0,8,2,25.0,1.55,0.39,0.00,0.00,0,0,Matches,21,3,465,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,19,12,10,5,1,6,,,0,,,,,,,,,,,,,,,23/24
70,Adrian Baquerin,es ESP,FW,Valladolid,16,2007,0.8,0,1,0,0.0,1.25,0.00,0.00,,0,0,Matches,2,1,72,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,2,1,0,0,0,,,0,,,,,,,,,,,,,,,23/24
71,Barbu,es ESP,DF,Mirandés,22,2001,14.5,1,5,2,40.0,0.35,0.14,0.20,0.50,0,0,Matches,24,14,1302,0,1,1,5,0,0.07,0.00,0.07,0.07,0.07,0,25,17,1,1,12,4,,,0,,,,,,,,,,,,,,,23/24
72,Barcia,es ESP,DF,Mirandés,22,2000,37.0,2,15,6,40.0,0.41,0.16,0.07,0.17,1,1,Matches,40,39,3330,0,2,1,5,0,0.05,0.00,0.05,0.03,0.03,0,28,14,0,2,45,36,,,0,,,,,,,,,,,,,,,23/24
73,Keidi Bare,al ALB,MF,Espanyol,25,1997,21.5,0,18,1,5.6,0.84,0.05,0.00,0.00,0,0,Matches,35,20,1932,3,3,0,9,0,0.00,0.14,0.14,0.00,0.14,0,38,61,0,33,23,18,,,0,,,,,,,,,,,,,,,23/24
74,Bernabé Barragán,es ESP,GK,Albacete,30,1993,25.0,0,0,0,,0.00,0.00,,,0,0,Matches,25,25,2250,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,,,0,34,1.36,79,45,57.0,5,11,9,6,24.0,4,1,0,20.0,23/24
75,Djakaría Barro,ci CIV,MF,Cartagena,21,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,15,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,1,1,,,0,,,,,,,,,,,,,,,23/24
76,Borja Bastón,es ESP,FW,Oviedo,30,1992,26.7,10,66,29,43.9,2.47,1.09,0.12,0.28,2,2,Matches,38,28,2404,2,12,8,0,0,0.37,0.07,0.45,0.30,0.37,0,23,43,12,12,4,9,,,0,,,,,,,,,,,,,,,23/24
77,Roko Baturina,hr CRO,FW,Racing Sant,23,2000,2.7,1,6,2,33.3,2.23,0.74,0.17,0.50,0,0,Matches,12,1,242,0,1,1,0,0,0.37,0.00,0.37,0.37,0.37,0,4,5,0,2,0,1,,,0,,,,,,,,,,,,,,,23/24
78,Jon Bautista,es ESP,FW,Eibar,28,1995,25.5,17,85,38,44.7,3.33,1.49,0.20,0.45,0,0,Matches,34,27,2297,2,19,17,6,0,0.67,0.08,0.74,0.67,0.74,0,53,23,27,15,6,21,,,0,,,,,,,,,,,,,,,23/24
79,Rafael Bauza,es ESP,MF,Espanyol,18,2005,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,3,1,89,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,1,0,0,3,1,,,0,,,,,,,,,,,,,,,23/24
80,Jesús Belza,es ESP,MF,Tenerife,19,2004,3.5,0,1,0,0.0,0.29,0.00,0.00,,0,0,Matches,10,4,311,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,1,3,0,8,1,2,,,0,,,,,,,,,,,,,,,23/24
81,Iker Benito,es ESP,"FW,MF",FC Andorra,20,2002,25.6,2,34,9,26.5,1.33,0.35,0.06,0.22,0,0,Matches,38,25,2307,0,2,2,3,0,0.08,0.00,0.08,0.08,0.08,0,28,35,0,64,16,18,,,0,,,,,,,,,,,,,,,23/24
82,Pedro Benito,es ESP,FW,Albacete,23,2000,0.6,0,1,0,0.0,1.58,0.00,0.00,,0,0,Matches,7,0,57,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,3,0,0,0,0,0,,,0,,,,,,,,,,,,,,,23/24
83,Álex Bermejo,es ESP,MF,Burgos,24,1998,14.0,5,39,13,33.3,2.79,0.93,0.13,0.38,0,0,Matches,38,9,1257,2,7,5,0,0,0.36,0.14,0.50,0.36,0.50,0,15,22,1,30,3,8,,,0,,,,,,,,,,,,,,,23/24
84,Sergio Bermejo,es ESP,MF,Elche,25,1997,5.6,0,8,3,37.5,1.42,0.53,0.00,0.00,0,0,Matches,12,5,508,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,8,11,0,10,2,5,,,0,,,,,,,,,,,,,,,23/24
85,Sergio Bermejo,es ESP,"MF,FW",Zaragoza,25,1997,6.6,0,10,8,80.0,1.53,1.22,0.00,0.00,0,0,Matches,22,4,590,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,16,14,1,27,4,4,,,0,,,,,,,,,,,,,,,23/24
86,Álex Bernal,es ESP,"MF,FW",Eldense,32,1991,18.9,0,16,2,12.5,0.85,0.11,0.00,0.00,0,0,Matches,34,18,1702,2,2,0,5,0,0.00,0.11,0.11,0.00,0.11,0,39,36,3,19,26,21,,,0,,,,,,,,,,,,,,,23/24
87,Jesús Bernal,es ESP,MF,Racing Ferrol,26,1996,40.1,0,17,2,11.8,0.42,0.05,0.00,0.00,0,0,Matches,41,40,3611,2,2,0,7,0,0.00,0.05,0.05,0.00,0.05,0,39,12,1,7,60,44,,,0,,,,,,,,,,,,,,,23/24
88,Juan Berrocal,es ESP,DF,Eibar,24,1999,31.9,1,9,3,33.3,0.28,0.09,0.11,0.33,0,0,Matches,34,34,2875,0,1,1,10,4,0.03,0.00,0.03,0.03,0.03,2,34,13,0,3,39,15,,,0,,,,,,,,,,,,,,,23/24
89,Pedro Bigas,es ESP,DF,Elche,32,1990,34.8,1,27,3,11.1,0.78,0.09,0.04,0.33,0,0,Matches,38,38,3134,1,2,1,6,0,0.03,0.03,0.06,0.03,0.06,0,25,18,2,5,33,14,,,0,,,,,,,,,,,,,,,23/24
90,Iker Bilbao,es ESP,MF,Alcorcón,27,1996,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,6,0,110,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,4,0,0,1,1,1,,,0,,,,,,,,,,,,,,,23/24
91,Stipe Biuk,hr CRO,"FW,MF",Valladolid,20,2002,5.0,0,8,3,37.5,1.61,0.60,0.00,0.00,0,0,Matches,11,5,448,1,1,0,1,0,0.00,0.20,0.20,0.00,0.20,0,4,9,0,23,1,7,,,0,,,,,,,,,,,,,,,23/24
92,Fabio Blanco,es ESP,FW,Villarreal B,19,2004,0.2,0,1,0,0.0,4.29,0.00,0.00,,0,0,Matches,2,0,21,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,4,0,0,,,0,,,,,,,,,,,,,,,23/24
93,Lautaro Blanco,ar ARG,"DF,MF",Elche,24,1999,3.7,0,3,0,0.0,0.82,0.00,0.00,,0,0,Matches,10,3,329,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,7,5,0,45,2,3,,,0,,,,,,,,,,,,,,,23/24
94,Jérémy Blasco,fr FRA,DF,Huesca,24,1999,24.7,0,7,0,0.0,0.28,0.00,0.00,,0,0,Matches,30,25,2226,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,20,11,2,3,17,15,,,0,,,,,,,,,,,,,,,23/24
