Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 18_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Tony Abad,es ESP,"DF,MF",Huesca,27,1996,19.9,0,4,0,0.0,0.20,0.00,0.00,,0,0,Matches
2,Haitam Abaida,ma MAR,FW,Málaga,22,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
3,Amir Abedzadeh,ir IRN,GK,Castellón,31,1993,2.9,0,0,0,,0.00,0.00,,,0,0,Matches
4,Álvaro Aceves,es ESP,GK,Eldense,21,2003,0.7,0,0,0,,0.00,0.00,,,0,0,Matches
5,Adilson,pt POR,"FW,MF",Córdoba,27,1997,15.3,3,28,8,28.6,1.83,0.52,0.11,0.38,0,0,Matches
6,David Affengruber,at AUT,DF,Elche,23,2001,35.6,0,12,5,41.7,0.34,0.14,0.00,0.00,0,0,Matches
7,Martin Agirregabiria,es ESP,DF,Cartagena,28,1996,25.4,1,10,2,20.0,0.39,0.08,0.10,0.50,0,0,Matches
8,Marc Aguado,es ESP,MF,Elche,24,2000,6.0,0,2,0,0.0,0.33,0.00,0.00,,0,0,Matches
9,Marc Aguado,es ESP,MF,Zaragoza,24,2000,11.4,0,0,0,,0.00,0.00,,,0,0,Matches
10,Lalo Aguilar,es ESP,DF,Albacete,22,2002,29.8,0,11,1,9.1,0.37,0.03,0.00,0.00,0,0,Matches
11,Lucas Ahijado,es ESP,DF,Oviedo,29,1995,8.7,1,5,2,40.0,0.58,0.23,0.20,0.50,0,0,Matches
12,Ager Aketxe,es ESP,"MF,FW",Zaragoza,30,1993,20.9,2,54,18,33.3,2.58,0.86,0.04,0.11,0,1,Matches
13,Tomás Alarcón,cl CHI,"DF,MF",Cádiz,25,1999,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,0,0,Matches
14,Albarrán,es ESP,DF,Córdoba,30,1994,32.8,4,25,9,36.0,0.76,0.27,0.16,0.44,0,0,Matches
15,Raúl Alcaina,es ESP,MF,Dep. La Coruña,24,2000,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
16,Pedro Alcalá,es ESP,DF,Cartagena,35,1989,29.0,0,11,5,45.5,0.38,0.17,0.00,0.00,0,0,Matches
17,Rubén Alcaraz,es ESP,MF,Cádiz,33,1991,23.6,3,31,9,29.0,1.31,0.38,0.03,0.11,2,3,Matches
18,Aldasoro,es ESP,MF,Racing Sant,25,1999,32.1,2,34,7,20.6,1.06,0.22,0.06,0.29,0,0,Matches
19,Iker Alday,es ESP,DF,Eibar,21,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
20,Iván Alejo,es ESP,"MF,DF",Cádiz,29,1995,9.4,0,7,0,0.0,0.74,0.00,0.00,,0,0,Matches
21,Alexandre Alemão,br BRA,FW,Oviedo,26,1998,33.0,14,99,36,36.4,3.00,1.09,0.14,0.39,0,0,Matches
22,Alejandro Alfaro,es ESP,MF,Dep. La Coruña,22,2002,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
23,Ángel Algobia,es ESP,MF,Levante,25,1999,8.9,2,9,3,33.3,1.01,0.34,0.22,0.67,0,0,Matches
24,Julio Alonso,es ESP,"MF,DF",Mirandés,25,1998,23.3,0,9,1,11.1,0.39,0.04,0.00,0.00,0,0,Matches
25,Agustín Álvarez,uy URU,"FW,MF",Elche,23,2001,25.9,8,72,29,40.3,2.78,1.12,0.11,0.28,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Carlos Álvarez,es ESP,"MF,FW",Levante,20,2003,37.6,7,47,17,36.2,1.25,0.45,0.15,0.41,0,0,Matches
27,César Álvarez,es ESP,DF,Tenerife,21,2003,8.0,0,4,0,0.0,0.50,0.00,0.00,,0,0,Matches
28,Ismael Álvarez,es ESP,FW,Cádiz,16,2007,0.0,0,1,0,0.0,22.50,0.00,0.00,,0,0,Matches
29,Sergio Álvarez,es ESP,MF,Eibar,32,1992,31.0,0,12,5,41.7,0.39,0.16,0.00,0.00,0,0,Matches
30,Rubén Alves,es ESP,DF,Tenerife,29,1994,6.7,1,3,1,33.3,0.45,0.15,0.33,1.00,0,0,Matches
31,Rubén Alves,es ESP,DF,Córdoba,29,1994,8.1,2,10,5,50.0,1.24,0.62,0.20,0.40,0,0,Matches
