Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,0,0,0,,0.00,0.00,,,0,0,Matches
2,Abner,br BRA,DF,Real Betis,23,2000,15.6,0,4,0,0.0,0.26,0.00,0.00,,0,0,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,0,0,Matches
4,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,0,0,Matches
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,0,0,0,,0.00,0.00,,,0,0,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,0,0,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,0,3,0,0.0,0.66,0.00,0.00,,0,0,Matches
8,Ilias Akhomach,ma MAR,MF,Villarreal,19,2004,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,0,0,Matches
9,Sergio Akieme,es ESP,"DF,MF",Almería,25,1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.40,0,0,Matches
10,Paul Akouokou,ci CIV,MF,Real Betis,25,1997,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,0,14,4,28.6,1.09,0.31,0.00,0.00,0,0,Matches
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,0,6,1,16.7,0.27,0.04,0.00,0.00,0,0,Matches
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,3,48,12,25.0,1.38,0.34,0.02,0.08,2,2,Matches
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,0,24,5,20.8,0.98,0.21,0.00,0.00,0,0,Matches
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,0,11,2,18.2,0.59,0.11,0.00,0.00,0,0,Matches
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,1,16,5,31.3,1.41,0.44,0.06,0.20,0,0,Matches
17,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19,2004,2.8,0,3,0,0.0,1.08,0.00,0.00,,0,0,Matches
18,Tadeo Allende,ar ARG,MF,Celta Vigo,24,1999,3.7,1,8,2,25.0,2.14,0.54,0.13,0.50,0,0,Matches
