Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
19,André Almeida,pt POR,"FW,MF",Valencia,23,2000,10.7,2,10,4,40.0,0.93,0.37,0.20,0.50,0,0,Matches
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,2.8,0,3,2,66.7,1.07,0.71,0.00,0.00,0,0,Matches
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,8.6,0,1,0,0.0,0.12,0.00,0.00,,0,0,Matches
22,Sergi Altimira,es ESP,MF,Real Betis,21,2001,6.3,1,7,2,28.6,1.11,0.32,0.14,0.50,0,0,Matches
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,28.2,2,14,3,21.4,0.50,0.11,0.14,0.67,0,0,Matches
24,Hugo Álvarez,es ESP,"MF,FW",Celta Vigo,20,2003,8.5,1,12,4,33.3,1.42,0.47,0.08,0.25,0,0,Matches
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Selim Amallah,ma MAR,"MF,FW",Valencia,26,1996,6.7,0,11,5,45.5,1.64,0.75,0.00,0.00,0,0,Matches
27,Amath,sn SEN,"FW,MF",Mallorca,27,1996,4.4,0,12,3,25.0,2.74,0.69,0.00,0.00,0,0,Matches
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,17.3,1,9,2,22.2,0.52,0.12,0.11,0.50,0,0,Matches
29,Fabrizio Angileri,ar ARG,DF,Getafe,29,1994,1.8,0,0,0,,0.00,0.00,,,0,0,Matches
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,3.8,0,9,2,22.2,2.39,0.53,0.00,0.00,0,0,Matches
31,Jon Aramburu,ve VEN,"DF,MF",Real Sociedad,21,2002,6.0,0,4,0,0.0,0.66,0.00,0.00,,0,0,Matches
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,16.2,1,7,2,28.6,0.43,0.12,0.14,0.50,0,0,Matches
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,0,0,Matches
34,Adu Ares,es ESP,MF,Athletic Club,21,2001,2.9,0,4,0,0.0,1.36,0.00,0.00,,0,0,Matches
35,Jesús Areso,es ESP,"DF,MF",Osasuna,24,1999,29.6,1,9,2,22.2,0.30,0.07,0.11,0.50,0,0,Matches
36,Matias Arezo,uy URU,FW,Granada,20,2002,4.1,0,12,4,33.3,2.93,0.98,0.00,0.00,0,0,Matches
37,Iñigo Arguibide,es ESP,FW,Osasuna,18,2005,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,10.3,2,29,9,31.0,2.81,0.87,0.07,0.22,0,0,Matches
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,0,0,Matches
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,13.3,0,0,0,,0.00,0.00,,,0,0,Matches
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,30.1,9,78,28,35.9,2.59,0.93,0.08,0.21,3,5,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,9.6,1,27,6,22.2,2.81,0.62,0.04,0.17,0,0,Matches
43,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,29,1994,3.3,1,9,3,33.3,2.72,0.91,0.11,0.33,0,0,Matches
44,César Azpilicueta,es ESP,"DF,MF",Atlético Madrid,33,1989,15.8,0,2,2,100.0,0.13,0.13,0.00,0.00,0,0,Matches
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,15.9,0,8,2,25.0,0.50,0.13,0.00,0.00,0,0,Matches
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,Matches
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,25.3,0,14,3,21.4,0.55,0.12,0.00,0.00,0,0,Matches
48,Álex Baena,es ESP,"MF,FW",Villarreal,22,2001,28.7,2,73,26,35.6,2.55,0.91,0.03,0.08,0,1,Matches
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,9.3,0,2,0,0.0,0.21,0.00,0.00,,0,0,Matches
50,Cédric Bakambu,cd COD,FW,Real Betis,32,1991,2.2,0,4,1,25.0,1.86,0.46,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Alejandro Balde,es ESP,"DF,MF",Barcelona,19,2003,15.3,0,5,1,20.0,0.33,0.07,0.00,0.00,0,0,Matches
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,31.9,0,11,4,36.4,0.34,0.13,0.00,0.00,0,0,Matches
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,22.0,3,41,16,39.0,1.86,0.73,0.07,0.19,0,0,Matches
54,Léo Baptistão,br BRA,"FW,MF",Almería,30,1992,20.4,6,48,18,37.5,2.35,0.88,0.13,0.33,0,0,Matches
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,3.4,0,4,2,50.0,1.19,0.59,0.00,0.00,0,0,Matches
56,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,21,2001,15.9,4,37,12,32.4,2.33,0.76,0.11,0.33,0,0,Matches
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,17.3,0,17,7,41.2,0.98,0.41,0.00,0.00,0,0,Matches
58,Marc Bartra,es ESP,DF,Real Betis,32,1991,2.5,0,3,0,0.0,1.20,0.00,0.00,,0,0,Matches
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,0,1,0,0.0,0.06,0.00,0.00,,0,0,Matches
60,Bebé,cv CPV,"FW,MF",Rayo Vallecano,33,1990,2.4,2,16,5,31.3,6.79,2.12,0.06,0.20,1,1,Matches
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,8.6,2,21,10,47.6,2.45,1.17,0.10,0.20,0,0,Matches
62,Héctor Bellerín,es ESP,DF,Real Betis,28,1995,19.0,0,2,0,0.0,0.11,0.00,0.00,,0,0,Matches
63,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,20,2003,25.7,19,63,35,55.6,2.45,1.36,0.29,0.51,1,1,Matches
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,27.0,0,21,3,14.3,0.78,0.11,0.00,0.00,0,0,Matches
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,12.6,3,14,7,50.0,1.11,0.55,0.21,0.43,0,0,Matches
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,21.4,3,18,6,33.3,0.84,0.28,0.17,0.50,0,0,Matches
67,Álex Berenguer,es ESP,MF,Athletic Club,28,1995,17.7,7,32,12,37.5,1.81,0.68,0.19,0.50,1,1,Matches
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,27.0,0,20,3,15.0,0.74,0.11,0.00,0.00,0,0,Matches
69,Daley Blind,nl NED,DF,Girona,33,1990,33.0,1,17,6,35.3,0.51,0.18,0.06,0.17,0,0,Matches
70,Adri Bosch,es ESP,DF,Granada,22,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,28.2,6,56,15,26.8,1.98,0.53,0.11,0.40,0,0,Matches
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,0.5,0,0,0,,0.00,0.00,,,0,0,Matches
74,Brau,es ESP,DF,Granada,21,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
75,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7.0,0,0,0,,0.00,0.00,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Ben Brereton,cl CHI,"MF,FW",Villarreal,24,1999,3.0,0,5,1,20.0,1.67,0.33,0.00,0.00,0,0,Matches
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,27.1,17,76,35,46.1,2.81,1.29,0.18,0.40,3,4,Matches
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,1.3,0,1,0,0.0,0.77,0.00,0.00,,0,0,Matches
79,Pablo Busto,es ESP,DF,Real Betis,17,2005,0.5,0,1,0,0.0,2.05,0.00,0.00,,0,0,Matches
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,8.9,0,11,3,27.3,1.23,0.34,0.00,0.00,0,0,Matches
81,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,20.2,0,17,7,41.2,0.84,0.35,0.00,0.00,0,0,Matches
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,18.5,3,34,13,38.2,1.84,0.70,0.09,0.23,0,0,Matches
83,José Campaña,es ESP,MF,Las Palmas,30,1993,1.9,0,1,0,0.0,0.53,0.00,0.00,,0,0,Matches
84,João Cancelo,pt POR,DF,Barcelona,29,1994,27.8,2,31,10,32.3,1.11,0.36,0.06,0.20,0,0,Matches
85,Sergi Canós,es ESP,MF,Valencia,26,1997,13.7,1,43,17,39.5,3.15,1.24,0.02,0.06,0,0,Matches
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,16.2,1,14,5,35.7,0.87,0.31,0.07,0.20,0,0,Matches
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,29.0,0,10,3,30.0,0.34,0.10,0.00,0.00,0,0,Matches
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,8.2,4,22,11,50.0,2.69,1.34,0.14,0.27,1,1,Matches
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,31.3,1,26,5,19.2,0.83,0.16,0.04,0.20,0,0,Matches
91,Johnny Cardoso,us USA,MF,Real Betis,21,2001,14.8,1,12,3,25.0,0.81,0.20,0.08,0.33,0,0,Matches
92,Carmona,es ESP,"MF,DF",Getafe,21,2002,14.6,1,12,3,25.0,0.82,0.21,0.08,0.33,0,0,Matches
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29,1993,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,0,0,Matches
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,5.3,0,7,1,14.3,1.33,0.19,0.00,0.00,0,0,Matches
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,24.1,4,18,10,55.6,0.75,0.41,0.22,0.40,0,0,Matches
96,William Carvalho,pt POR,MF,Real Betis,31,1992,7.6,1,8,3,37.5,1.06,0.40,0.13,0.33,0,0,Matches
97,Marc Casado,es ESP,MF,Barcelona,19,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
98,Catena,es ESP,DF,Osasuna,28,1994,28.2,1,18,5,27.8,0.64,0.18,0.06,0.20,0,0,Matches
99,Dani Ceballos,es ESP,MF,Real Madrid,26,1996,6.6,0,7,1,14.3,1.05,0.15,0.00,0.00,0,0,Matches
100,Álex Centelles,es ESP,DF,Almería,25,1997,10.9,0,2,1,50.0,0.18,0.09,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,29,1994,6.1,0,9,1,11.1,1.48,0.16,0.00,0.00,0,0,Matches
102,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,25,1998,13.0,1,11,2,18.2,0.85,0.15,0.09,0.50,0,0,Matches
103,Andreas Christensen,dk DEN,"DF,MF",Barcelona,27,1996,22.0,2,12,4,33.3,0.55,0.18,0.17,0.50,0,0,Matches
104,Chumi,es ESP,DF,Almería,24,1999,27.0,0,5,1,20.0,0.18,0.04,0.00,0.00,0,0,Matches
105,Víctor Chust,es ESP,DF,Cádiz,23,2000,20.7,0,4,0,0.0,0.19,0.00,0.00,,0,0,Matches
106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29,1994,18.5,1,22,8,36.4,1.19,0.43,0.05,0.13,0,0,Matches
107,Silvi Clúa,es ESP,MF,Girona,18,2005,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
108,Saúl Coco,gq EQG,DF,Las Palmas,24,1999,25.5,1,20,4,20.0,0.78,0.16,0.05,0.25,0,0,Matches
109,Santi Comesaña,es ESP,MF,Villarreal,26,1996,18.4,2,17,7,41.2,0.93,0.38,0.12,0.29,0,0,Matches
110,Copete,es ESP,DF,Mallorca,23,1999,14.8,1,7,1,14.3,0.47,0.07,0.14,1.00,0,0,Matches
111,Francis Coquelin,fr FRA,MF,Villarreal,32,1991,10.1,0,3,0,0.0,0.30,0.00,0.00,,0,0,Matches
112,Theo Corbeanu,ca CAN,MF,Granada,21,2002,2.0,1,5,2,40.0,2.47,0.99,0.20,0.50,0,0,Matches
113,Jesús Corona,mx MEX,"DF,FW",Sevilla,30,1993,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
114,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,17.0,9,43,20,46.5,2.53,1.18,0.21,0.45,0,0,Matches
115,Thierry Correia,pt POR,DF,Valencia,24,1999,23.9,0,5,2,40.0,0.21,0.08,0.00,0.00,0,0,Matches
116,Jaume Costa,es ESP,"DF,MF",Mallorca,35,1988,18.7,0,6,2,33.3,0.32,0.11,0.00,0.00,0,0,Matches
117,Samu Costa,pt POR,MF,Mallorca,22,2000,25.6,1,22,3,13.6,0.86,0.12,0.05,0.33,0,0,Matches
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,3.7,0,0,0,,0.00,0.00,,,0,0,Matches
119,Yan Couto,br BRA,"MF,DF",Girona,21,2002,24.9,1,29,11,37.9,1.16,0.44,0.03,0.09,0,0,Matches
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,5.9,0,3,0,0.0,0.51,0.00,0.00,,0,0,Matches
121,Cristian,es ESP,GK,Valencia,25,1998,0.6,0,0,0,,0.00,0.00,,,0,0,Matches
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,18.5,0,3,0,0.0,0.16,0.00,0.00,,0,0,Matches
123,Juan Cruz,es ESP,MF,Real Betis,23,2000,0.8,0,2,0,0.0,2.37,0.00,0.00,,0,0,Matches
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,17.3,0,3,0,0.0,0.17,0.00,0.00,,0,0,Matches
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,21.8,3,20,7,35.0,0.92,0.32,0.15,0.43,0,0,Matches
127,Eric Curbelo,es ESP,DF,Las Palmas,29,1994,1.1,0,0,0,,0.00,0.00,,,0,0,Matches
128,Alberto Dadie,es ESP,DF,Real Sociedad,21,2002,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
129,Sergi Darder,es ESP,MF,Mallorca,29,1993,24.0,2,32,12,37.5,1.34,0.50,0.06,0.17,0,0,Matches
130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29,1994,23.1,3,30,12,40.0,1.30,0.52,0.10,0.25,0,0,Matches
131,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,26,1996,11.9,1,7,3,42.9,0.59,0.25,0.14,0.33,0,0,Matches
132,Moussa Diakité,ml MLI,MF,Cádiz,19,2003,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
133,Assane Diao,sn SEN,MF,Real Betis,17,2005,11.6,2,21,3,14.3,1.80,0.26,0.10,0.67,0,0,Matches
134,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,23,1999,17.2,8,38,17,44.7,2.21,0.99,0.21,0.47,0,0,Matches
135,Víctor Díaz,es ESP,DF,Granada,35,1988,1.8,0,0,0,,0.00,0.00,,,0,0,Matches
136,Famara Diedhiou,sn SEN,FW,Granada,30,1992,1.0,0,5,3,60.0,5.06,3.03,0.00,0.00,0,0,Matches
137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37.0,0,0,0,,0.00,0.00,,,0,0,Matches
138,Djené,tg TOG,"DF,MF",Getafe,31,1991,27.6,0,6,1,16.7,0.22,0.04,0.00,0.00,0,0,Matches
139,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,13.0,0,0,0,,0.00,0.00,,,0,0,Matches
140,Jaume Doménech,es ESP,GK,Valencia,32,1990,0.9,0,0,0,,0.00,0.00,,,0,0,Matches
141,Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001,17.6,0,5,0,0.0,0.28,0.00,0.00,,0,0,Matches
142,Mario Dominguez,es ESP,MF,Valencia,19,2004,0.3,0,3,1,33.3,10.80,3.60,0.00,0.00,0,0,Matches
143,Carlos Dotor,es ESP,MF,Celta Vigo,22,2001,7.9,0,4,0,0.0,0.51,0.00,0.00,,0,0,Matches
144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,10.1,7,26,15,57.7,2.59,1.49,0.27,0.47,0,0,Matches
145,Artem Dovbyk,ua UKR,FW,Girona,26,1997,28.7,24,85,46,54.1,2.96,1.60,0.20,0.37,7,8,Matches
146,Domingos Duarte,pt POR,DF,Getafe,28,1995,10.1,0,1,0,0.0,0.10,0.00,0.00,,0,0,Matches
147,Rubén Duarte,es ESP,DF,Alavés,27,1995,20.9,2,15,5,33.3,0.72,0.24,0.13,0.40,0,0,Matches
148,Hugo Duro,es ESP,FW,Valencia,23,1999,33.1,13,66,29,43.9,2.00,0.88,0.20,0.45,0,0,Matches
149,Aritz Elustondo,es ESP,DF,Real Sociedad,29,1994,9.0,0,6,2,33.3,0.67,0.22,0.00,0.00,0,0,Matches
150,Adri Embarba,es ESP,"MF,FW",Almería,31,1992,27.5,3,64,25,39.1,2.33,0.91,0.03,0.08,1,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,28.6,16,73,30,41.1,2.56,1.05,0.21,0.50,1,1,Matches
152,Gonzalo Escalante,ar ARG,MF,Cádiz,30,1993,18.9,1,14,3,21.4,0.74,0.16,0.07,0.33,0,0,Matches
153,Aarón Escandell,es ESP,GK,Las Palmas,27,1995,1.7,0,0,0,,0.00,0.00,,,0,0,Matches
154,Alfonso Espino,uy URU,DF,Rayo Vallecano,31,1992,27.9,0,18,5,27.8,0.65,0.18,0.00,0.00,0,0,Matches
155,Bernardo Espinosa,co COL,DF,Girona,34,1989,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
156,Karl Etta Eyong,cm CMR,FW,Cádiz,19,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
157,Abde Ezzalzouli,ma MAR,MF,Real Betis,21,2001,9.6,1,34,9,26.5,3.54,0.94,0.03,0.11,0,1,Matches
158,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,21,2001,0.8,0,4,1,25.0,5.29,1.32,0.00,0.00,0,0,Matches
159,Radamel Falcao,co COL,FW,Rayo Vallecano,37,1986,4.5,1,17,7,41.2,3.76,1.55,0.00,0.00,1,1,Matches
160,Fali,es ESP,DF,Cádiz,29,1993,28.3,0,11,3,27.3,0.39,0.11,0.00,0.00,0,0,Matches
161,Ansu Fati,es ESP,"FW,MF",Barcelona,20,2002,0.6,0,7,1,14.3,12.60,1.80,0.00,0.00,0,0,Matches
162,Nabil Fekir,fr FRA,"MF,FW",Real Betis,30,1993,11.7,1,27,9,33.3,2.32,0.77,0.04,0.11,0,0,Matches
163,Luiz Felipe,it ITA,DF,Real Betis,26,1997,4.0,0,2,0,0.0,0.50,0.00,0.00,,0,0,Matches
164,João Félix,pt POR,FW,Barcelona,23,1999,17.1,7,61,25,41.0,3.56,1.46,0.11,0.28,0,0,Matches
165,Kiko Femenía,es ESP,DF,Villarreal,32,1991,17.6,0,1,0,0.0,0.06,0.00,0.00,,0,0,Matches
166,Aitor Fernández,es ESP,GK,Osasuna,32,1991,6.1,0,0,0,,0.00,0.00,,,0,0,Matches
167,Álex Fernández,es ESP,MF,Cádiz,30,1992,14.3,0,7,1,14.3,0.49,0.07,0.00,0.00,0,0,Matches
168,Carlos Fernández,es ESP,FW,Real Sociedad,27,1996,4.5,2,9,4,44.4,1.99,0.88,0.11,0.25,1,1,Matches
169,Raúl Fernández,es ESP,GK,Granada,35,1988,3.1,0,0,0,,0.00,0.00,,,0,0,Matches
170,Valery Fernández,es ESP,MF,Girona,23,1999,5.6,2,5,2,40.0,0.89,0.36,0.40,1.00,0,0,Matches
171,Fernando,br BRA,MF,Sevilla,36,1987,5.1,0,1,0,0.0,0.20,0.00,0.00,,0,0,Matches
172,Fernando,es ESP,GK,Almería,33,1990,4.0,0,0,0,,0.00,0.00,,,0,0,Matches
173,André Ferreira,pt POR,GK,Granada,27,1996,14.9,0,0,0,,0.00,0.00,,,0,0,Matches
174,Rachad Fettal,ma MAR,FW,Almería,18,2005,0.2,0,1,0,0.0,5.29,0.00,0.00,,0,0,Matches
175,Pablo Fornals,es ESP,MF,Real Betis,27,1996,12.8,3,17,6,35.3,1.33,0.47,0.18,0.50,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
176,Héctor Fort,es ESP,DF,Barcelona,16,2006,3.5,0,1,0,0.0,0.28,0.00,0.00,,0,0,Matches
177,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,30,1993,20.5,0,7,1,14.3,0.34,0.05,0.00,0.00,0,0,Matches
178,Juan Foyth,ar ARG,DF,Villarreal,25,1998,11.8,1,6,2,33.3,0.51,0.17,0.17,0.50,0,0,Matches
179,Jorge de Frutos,es ESP,MF,Rayo Vallecano,26,1997,17.2,2,29,11,37.9,1.68,0.64,0.07,0.18,0,0,Matches
180,Daniel Fuzato,br BRA,GK,Getafe,26,1997,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
181,Matteo Gabbia,it ITA,DF,Villarreal,23,1999,5.3,0,0,0,,0.00,0.00,,,0,0,Matches
182,Javi Galán,es ESP,"DF,MF",Atlético Madrid,28,1994,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
183,Javi Galán,es ESP,DF,Real Sociedad,28,1994,11.9,0,3,1,33.3,0.25,0.08,0.00,0.00,0,0,Matches
184,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,29,1993,23.2,1,11,2,18.2,0.47,0.09,0.09,0.50,0,0,Matches
185,Aleix García,es ESP,MF,Girona,26,1997,35.5,3,39,12,30.8,1.10,0.34,0.08,0.25,0,0,Matches
186,Álvaro García,es ESP,MF,Rayo Vallecano,30,1992,27.5,6,45,17,37.8,1.64,0.62,0.13,0.35,0,0,Matches
187,Dani García,es ESP,MF,Athletic Club,33,1990,8.3,1,6,3,50.0,0.72,0.36,0.17,0.33,0,0,Matches
188,David García,es ESP,DF,Osasuna,29,1994,25.9,0,15,2,13.3,0.58,0.08,0.00,0.00,0,0,Matches
189,Eric García,es ESP,"DF,MF",Barcelona,22,2001,0.6,0,1,0,0.0,1.58,0.00,0.00,,0,0,Matches
190,Eric García,es ESP,DF,Girona,22,2001,29.3,5,16,6,37.5,0.55,0.20,0.31,0.83,0,0,Matches
191,Fran Garcia,es ESP,DF,Real Madrid,23,1999,15.5,1,9,1,11.1,0.58,0.06,0.11,1.00,0,0,Matches
192,Gonzalo García,es ESP,FW,Real Madrid,19,2004,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,0,0,Matches
193,Jastin García,es ESP,FW,Girona,19,2004,0.4,0,0,0,,0.00,0.00,,,0,0,Matches
194,Raúl García,es ESP,FW,Athletic Club,37,1986,4.7,1,10,1,10.0,2.14,0.21,0.10,1.00,0,0,Matches
195,Rubén García,es ESP,"FW,MF",Osasuna,30,1993,17.2,3,28,10,35.7,1.63,0.58,0.11,0.30,0,0,Matches
196,Santiago García,es ESP,MF,Getafe,21,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
197,Unai García,es ESP,DF,Osasuna,31,1992,6.2,1,2,1,50.0,0.32,0.16,0.50,1.00,0,0,Matches
198,Yarek Gasiorowski,es ESP,DF,Valencia,18,2005,8.2,0,1,0,0.0,0.12,0.00,0.00,,0,0,Matches
