Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Tony Abad,es ESP,"DF,MF",Huesca,28,1996,27,24,1898,21.1,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
2,Haitam Abaida,ma MAR,FW,Málaga,23,2002,9,0,112,1.2,1,0,1,1,0,0,0,0,0.80,0.00,0.80,0.80,0.80,Matches
3,Rodrigo Abajas,es ESP,"DF,MF",Huesca,22,2003,21,7,701,7.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Amir Abedzadeh,ir IRN,GK,Castellón,32,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Álvaro Aceves,es ESP,GK,Valladolid,22,2003,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Adilson,pt POR,MF,Córdoba,28,1997,10,1,257,2.9,2,0,2,2,0,0,0,0,0.70,0.00,0.70,0.70,0.70,Matches
7,Andrews Adjabeng,gh GHA,MF,Real Sociedad B,19,2006,3,0,59,0.7,0,1,1,0,0,0,0,0,0.00,1.53,1.53,0.00,1.53,Matches
8,William Agada,ng NGA,FW,Zaragoza,25,1999,3,0,52,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Michael Agbepkonu,gh GHA,MF,Huesca,26,1998,10,2,296,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Martin Agirregabiria,es ESP,DF,Zaragoza,29,1996,25,22,1848,20.5,1,1,2,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,Matches
11,Unax Agote,es ESP,DF,Real Sociedad B,22,2003,27,15,1386,15.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Lorenzo Aguado,es ESP,"DF,MF",Albacete,22,2002,32,15,1512,16.8,0,4,4,0,0,0,7,0,0.00,0.24,0.24,0.00,0.24,Matches
13,Lalo Aguilar,es ESP,DF,Leganés,23,2002,33,31,2638,29.3,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Ibai Aguirre,es ESP,MF,Real Sociedad B,18,2007,21,21,1624,18.0,0,2,2,0,0,0,7,0,0.00,0.11,0.11,0.00,0.11,Matches
15,Aisar Ahmed,es ESP,"FW,DF",Ceuta,24,2001,38,34,2937,32.6,0,2,2,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,Matches
16,Homam Ahmed,qa QAT,"DF,MF",Cultural Leonesa,25,1999,14,9,682,7.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Ager Aketxe,es ESP,MF,Zaragoza,31,1993,2,2,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Efe Akman,tr TUR,MF,FC Andorra,19,2006,22,17,1454,16.2,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches
19,Paul Akouokou,ci CIV,MF,Zaragoza,27,1997,10,8,689,7.7,1,0,1,1,0,0,5,2,0.13,0.00,0.13,0.13,0.13,Matches
20,Ibrahim Alani,ng NGA,MF,Valladolid,19,2006,15,2,356,4.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
21,Albarrán,es ESP,DF,Córdoba,31,1994,31,29,2496,27.7,1,0,1,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,Matches
22,Rubén Alcaraz,es ESP,MF,Granada,34,1991,33,28,2347,26.1,4,2,6,2,2,2,11,0,0.15,0.08,0.23,0.08,0.15,Matches
23,Alcázar,es ESP,"DF,MF",Castellón,23,2002,35,32,2563,28.5,1,2,3,1,0,0,7,1,0.04,0.07,0.11,0.04,0.11,Matches
24,Aldasoro,es ESP,MF,Racing Sant,26,1999,15,9,660,7.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Iván Alejo,es ESP,DF,Valladolid,30,1995,36,33,2809,31.2,0,1,1,0,0,0,12,1,0.00,0.03,0.03,0.00,0.03,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Pedro Alemañ,es ESP,MF,Granada,23,2002,36,32,2707,30.1,6,4,10,6,0,0,4,0,0.20,0.13,0.33,0.20,0.33,Matches
27,Diego Alende,es ESP,DF,FC Andorra,27,1997,22,19,1698,18.9,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches
28,Gonzalo Almenara,es ESP,DF,Ceuta,28,1997,12,6,513,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Gael Alonso,es ESP,DF,FC Andorra,23,2002,38,37,3219,35.8,2,0,2,2,0,0,11,1,0.06,0.00,0.06,0.06,0.06,Matches
30,Julio Alonso,es ESP,"DF,MF",Huesca,26,1998,30,25,2186,24.3,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
31,Adrià Altimira,es ESP,"DF,MF",Dep. La Coruña,24,2001,22,22,1876,20.8,1,5,6,1,0,0,6,0,0.05,0.24,0.29,0.05,0.29,Matches
32,Iker Álvarez,ad AND,GK,Córdoba,24,2001,35,34,3105,34.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Jesús ÁLVAREZ,es ESP,MF,Huesca,25,1999,36,34,2603,28.9,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
34,Sergio Álvarez,es ESP,MF,Eibar,33,1992,36,32,2790,31.0,2,1,3,2,0,0,7,0,0.06,0.03,0.10,0.06,0.10,Matches
35,Rubén Alves,es ESP,DF,Córdoba,30,1994,21,20,1665,18.5,2,0,2,2,0,0,7,1,0.11,0.00,0.11,0.11,0.11,Matches
36,Jair Amador,gq EQG,DF,Eibar,35,1989,21,15,1475,16.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Amath,sn SEN,"MF,FW",Valladolid,29,1996,19,14,1037,11.5,4,0,4,4,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches
38,Lorenzo Amatucci,it ITA,MF,Las Palmas,21,2004,40,38,3329,37.0,0,4,4,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
39,Esteban Andrada,ar ARG,GK,Zaragoza,34,1991,27,27,2429,27.0,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches
40,Marcos André,br BRA,FW,Valladolid,28,1996,23,12,1024,11.4,3,0,3,3,0,0,4,1,0.26,0.00,0.26,0.26,0.26,Matches
41,Plamen Andreev,bg BUL,GK,Racing Sant,20,2004,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
42,José Ángel,es ESP,MF,Dep. La Coruña,33,1992,22,13,1136,12.6,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
43,José Antonio,es ESP,MF,Cádiz,21,2004,29,19,1433,15.9,2,2,4,2,0,0,7,0,0.13,0.13,0.25,0.13,0.25,Matches
44,Javier Antras,,MF,Córdoba,,,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Anuar,ma MAR,"DF,MF",Ceuta,30,1995,27,22,1932,21.5,0,2,2,0,0,0,8,1,0.00,0.09,0.09,0.00,0.09,Matches
46,Kévin Appin,mq MTQ,"MF,FW",Burgos,27,1998,37,12,1330,14.8,4,1,5,4,0,0,4,0,0.27,0.07,0.34,0.27,0.34,Matches
47,Aritz Arambarri,es ESP,DF,Eibar,27,1998,18,9,832,9.2,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
48,Arana,es ESP,FW,Racing Sant,25,2000,8,1,210,2.3,2,1,3,2,0,0,3,1,0.86,0.43,1.29,0.86,1.29,Matches
49,Egoitz Arana,es ESP,GK,Real Sociedad B,23,2002,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Pablo Arana,es ESP,FW,Cádiz,19,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Pello Arana,es ESP,DF,Real Sociedad B,18,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Anaitz Arbilla,es ESP,DF,Eibar,38,1987,34,33,2869,31.9,4,1,5,4,0,0,7,2,0.13,0.03,0.16,0.13,0.16,Matches
53,Adu Ares,es ESP,"MF,FW",Eibar,23,2001,28,18,1533,17.0,2,1,3,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,Matches
54,Jeremy Arévalo,ec ECU,"FW,MF",Racing Sant,20,2005,18,8,875,9.7,8,0,8,8,0,0,1,0,0.82,0.00,0.82,0.82,0.82,Matches
55,José Arnaiz,es ESP,"FW,MF",Granada,30,1995,35,28,2388,26.5,9,2,11,9,0,0,5,0,0.34,0.08,0.41,0.34,0.41,Matches
56,Sergio Arribas,es ESP,DF,Huesca,22,2003,12,9,749,8.3,0,1,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches
57,Sergio Arribas,es ESP,DF,Cádiz,22,2003,8,7,603,6.7,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches
58,Sergio Arribas,es ESP,MF,Almería,23,2001,42,41,3445,38.3,25,7,32,15,10,10,3,0,0.65,0.18,0.84,0.39,0.57,Matches
59,Hodei Arrillaga,,DF,Eibar,,,8,4,412,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Anderson Arroyo,co COL,DF,Burgos,25,1999,3,3,260,2.9,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches
61,José Arvelo,es ESP,MF,Las Palmas,20,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Lander Astiazaran,es ESP,MF,Real Sociedad B,19,2006,41,29,2628,29.2,6,4,10,6,0,0,4,0,0.21,0.14,0.34,0.21,0.34,Matches
63,Ander Astralaga,es ESP,GK,Granada,21,2004,16,15,1351,15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Miguel Atienza,es ESP,MF,Burgos,26,1999,40,40,3511,39.0,2,0,2,2,0,0,14,0,0.05,0.00,0.05,0.05,0.05,Matches
65,Douglas Aurélio,pt POR,FW,Castellón,26,1999,4,0,55,0.6,1,0,1,0,1,1,1,0,1.64,0.00,1.64,0.00,0.00,Matches
66,Diego Aznar,es ESP,FW,Huesca,21,2003,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Marc Aznar,es ESP,DF,Huesca,19,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
