Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Haitam Abaida,ma MAR,MF,Málaga,20,2002,4,1,103,1.1,1,0,1,1,0,0,0,0,0.87,0.00,0.87,0.87,0.87,Matches
2,Sabit Abdulai,gh GHA,"MF,DF",Ponferradina,23,1999,19,8,738,8.2,0,1,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches
3,Amir Abedzadeh,ir IRN,GK,Ponferradina,29,1993,30,30,2700,30.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Abdel Abqar,ma MAR,DF,Alavés,23,1999,35,34,2851,31.7,1,0,1,1,0,0,10,1,0.03,0.00,0.03,0.03,0.03,Matches
5,Alonso Aceves,mx MEX,DF,Oviedo,21,2001,10,10,786,8.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Paris Adot,es ESP,DF,Ponferradina,32,1990,36,33,2917,32.4,0,2,2,0,0,0,10,0,0.00,0.06,0.06,0.00,0.06,Matches
7,Lumor Agbenyenu,gh GHA,"MF,DF",Málaga,25,1996,2,2,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Marc Aguado,es ESP,MF,FC Andorra,22,2000,36,31,2789,31.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Lalo Aguilar,es ESP,DF,Leganés,20,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Lucas Ahijado,es ESP,DF,Oviedo,27,1995,40,39,3464,38.5,0,6,6,0,0,0,6,0,0.00,0.16,0.16,0.00,0.16,Matches
11,Matheus Aiás,br BRA,"FW,MF",Racing Sant,25,1996,34,15,1611,17.9,3,0,3,3,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches
12,Ager Aketxe,es ESP,MF,Eibar,28,1993,21,6,781,8.7,2,7,9,2,0,0,4,0,0.23,0.81,1.04,0.23,1.04,Matches
13,Tomás Alarcón,cl CHI,MF,Zaragoza,23,1999,12,6,514,5.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
14,Williams Alarcón,cl CHI,MF,Ibiza,21,2000,12,4,519,5.8,0,2,2,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches
15,Alberto,es ESP,DF,Lugo,29,1992,36,36,3153,35.0,3,0,3,3,0,0,6,3,0.09,0.00,0.09,0.09,0.09,Matches
16,Pedro Alcalá,es ESP,DF,Cartagena,33,1989,32,26,2331,25.9,2,0,2,2,0,0,5,2,0.08,0.00,0.08,0.08,0.08,Matches
17,Edgar Alcañiz,es ESP,MF,Levante,17,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Aldair,pt POR,"MF,DF",Ponferradina,22,1999,8,4,347,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Aldasoro,es ESP,MF,Racing Sant,23,1999,34,23,2042,22.7,1,0,1,1,0,0,12,2,0.04,0.00,0.04,0.04,0.04,Matches
20,Iker Alday,es ESP,DF,Eibar,19,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Diego Alende,es ESP,DF,FC Andorra,24,1997,22,21,1816,20.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Alfon,es ESP,FW,Racing Sant,23,1999,8,2,223,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Christos Almpanis,gr GRE,FW,FC Andorra,27,1994,31,20,1642,18.2,4,4,8,4,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches
24,Javier Alonso,es ESP,MF,Tenerife,23,1998,18,8,799,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Julio Alonso,es ESP,DF,Albacete,23,1998,36,33,2928,32.5,0,3,3,0,0,0,6,1,0.00,0.09,0.09,0.00,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
