Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Hodei Arrillaga,,DF,Eibar,,,31,17,1576,17.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Anderson Arroyo,co COL,DF,Burgos,24,1999,36,30,2691,29.9,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches
53,Assane,sn SEN,MF,Cartagena,24,1999,16,15,1278,14.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Miguel Atienza,es ESP,MF,Burgos,25,1999,39,37,3121,34.7,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Douglas Aurélio,pt POR,"FW,MF",Castellón,25,1999,24,16,1329,14.8,3,0,3,3,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
56,Ivan Azón,es ESP,FW,Zaragoza,21,2002,24,15,1457,16.2,7,2,9,7,0,0,2,0,0.43,0.12,0.56,0.43,0.56,Matches
57,Iddrisu Baba,gh GHA,MF,Almería,28,1996,10,7,613,6.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Édgar Badía,es ESP,GK,Tenerife,32,1992,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Édgar Badía,es ESP,GK,Elche,32,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Léo Baptistão,br BRA,"MF,FW",Almería,31,1992,37,32,2438,27.1,10,5,15,10,0,0,2,0,0.37,0.18,0.55,0.37,0.55,Matches
61,Barbero,es ESP,FW,Dep. La Coruña,25,1998,37,19,1773,19.7,7,5,12,7,0,0,3,1,0.36,0.25,0.61,0.36,0.61,Matches
62,Matías Barboza,es ESP,DF,Córdoba,22,2002,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Daniel Barcia,es ESP,DF,Dep. La Coruña,21,2003,16,16,1440,16.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Keidi Bare,al ALB,MF,Zaragoza,26,1997,21,20,1650,18.3,0,2,2,0,0,1,6,0,0.00,0.11,0.11,0.00,0.11,Matches
65,Gabriel Bares,ch SUI,MF,Burgos,23,2000,4,2,118,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Matia Barzic,hr CRO,DF,Eldense,20,2004,14,14,1253,13.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Matia Barzic,hr CRO,DF,Elche,20,2004,8,5,444,4.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Aboubacar Bassinga,bf BFA,FW,Mirandés,19,2005,2,1,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Borja Bastón,es ESP,FW,Granada,31,1992,11,2,199,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Roko Baturina,hr CRO,FW,Málaga,24,2000,24,9,894,9.9,2,1,3,2,0,1,1,0,0.20,0.10,0.30,0.20,0.30,Matches
71,Jon Bautista,es ESP,FW,Eibar,29,1995,37,31,2597,28.9,11,4,15,11,0,0,5,1,0.38,0.14,0.52,0.38,0.52,Matches
72,Samed Baždar,ba BIH,"FW,MF",Zaragoza,20,2004,31,20,1693,18.8,4,4,8,4,0,0,6,1,0.21,0.21,0.43,0.21,0.43,Matches
73,Bebé,cv CPV,"MF,FW",Racing Ferrol,34,1990,14,10,826,9.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Axel Bejarano Fernandez,es ESP,FW,Huesca,19,2005,3,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Iker Benito,es ESP,"DF,MF",Mirandés,21,2002,21,16,1410,15.7,1,2,3,1,0,0,2,0,0.06,0.13,0.19,0.06,0.19,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Sergio Bermejo,es ESP,MF,Zaragoza,26,1997,8,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Álex Bernal,es ESP,"MF,FW",Eldense,33,1991,24,11,1131,12.6,1,1,2,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,Matches
78,Jesús Bernal,es ESP,MF,Sporting Gijón,27,1996,12,6,622,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Emilio Bernard,es ESP,GK,Racing Ferrol,24,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Pedro Bigas,es ESP,DF,Elche,33,1990,33,29,2565,28.5,2,2,4,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
81,Raúl Blanco,es ESP,"FW,MF",Racing Ferrol,23,2001,14,7,633,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Jérémy Blasco,fr FRA,DF,Huesca,25,1999,32,29,2411,26.8,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches
83,Adam Boayar,ma MAR,FW,Elche,18,2005,3,1,87,1.0,1,0,1,1,0,0,1,0,1.03,0.00,1.03,1.03,1.03,Matches
84,Yann Bodiger,fr FRA,MF,Tenerife,29,1995,27,24,1890,21.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Rahim Bonkano,ne NIG,DF,Oviedo,22,2002,25,21,1854,20.6,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches
86,Santi Borikó,gq EQG,DF,Castellón,21,2003,4,0,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,David Bosilj,si SVN,FW,Castellón,22,2002,10,1,167,1.9,1,0,1,1,0,0,0,0,0.54,0.00,0.54,0.54,0.54,Matches
88,Mohamed Bouldini,ma MAR,FW,Levante,28,1995,2,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Mohamed Bouldini,ma MAR,FW,Dep. La Coruña,28,1995,20,6,648,7.2,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
90,Mohamed Bouzaidi Diouri,ma MAR,MF,Eldense,24,1999,12,2,291,3.2,1,0,1,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches
91,Lucas Boyé,ar ARG,FW,Granada,28,1996,33,28,2588,28.8,10,5,15,7,3,4,3,0,0.35,0.17,0.52,0.24,0.42,Matches
92,Quentin Braat,fr FRA,GK,Oviedo,27,1997,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Brau,es ESP,DF,Granada,22,2001,26,20,1845,20.5,2,0,2,2,0,0,9,0,0.10,0.00,0.10,0.10,0.10,Matches
94,Brugui,es ESP,"FW,MF",Levante,27,1996,37,31,2449,27.2,11,4,15,11,0,0,4,0,0.40,0.15,0.55,0.40,0.55,Matches
95,Aitor Buñuel,es ESP,DF,Racing Ferrol,26,1998,28,25,2173,24.1,1,0,1,1,0,0,2,1,0.04,0.00,0.04,0.04,0.04,Matches
96,Adrián Butzke,es ESP,FW,Mirandés,25,1999,14,1,294,3.3,1,1,2,1,0,0,1,0,0.31,0.31,0.61,0.31,0.61,Matches
97,Erick Cabaco,uy URU,DF,Racing Ferrol,29,1995,4,1,135,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Jorge Cabello,es ESP,DF,Levante,20,2004,20,15,1464,16.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Jordy Caicedo,ec ECU,FW,Sporting Gijón,26,1997,24,7,722,8.0,2,0,2,1,1,1,6,0,0.25,0.00,0.25,0.12,0.12,Matches
100,Álex Calatrava,es ESP,"MF,FW",Castellón,24,2000,32,26,2227,24.7,6,11,17,6,0,0,7,0,0.24,0.44,0.69,0.24,0.69,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Josep Calavera,es ESP,MF,Castellón,24,1999,19,10,840,9.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
102,Calderón,es ESP,DF,Córdoba,24,2000,32,23,2207,24.5,0,1,1,0,0,0,8,1,0.00,0.04,0.04,0.00,0.04,Matches
103,Iván Calero,es ESP,DF,Zaragoza,29,1995,34,28,2470,27.4,0,2,2,0,0,0,10,1,0.00,0.07,0.07,0.00,0.07,Matches
104,Álex Calvo,es ESP,FW,Mirandés,20,2004,13,0,183,2.0,1,0,1,1,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches
105,Dani Calvo,es ESP,DF,Oviedo,30,1994,41,41,3668,40.8,2,3,5,2,0,0,9,0,0.05,0.07,0.12,0.05,0.12,Matches
106,Ousmane Camara,gn GUI,FW,Castellón,22,2001,16,12,1042,11.6,3,0,3,3,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches
107,Sulei Camara,gm GAM,MF,Racing Sant,22,2001,21,2,449,5.0,1,1,2,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches
108,Víctor Camarasa,es ESP,MF,Eldense,30,1994,27,11,1032,11.5,0,4,4,0,0,0,2,0,0.00,0.35,0.35,0.00,0.35,Matches
109,Gaspar Campos,es ESP,"MF,FW",Sporting Gijón,24,2000,26,17,1467,16.3,4,4,8,4,0,0,3,0,0.25,0.25,0.49,0.25,0.49,Matches
110,Víctor Campuzano,es ESP,FW,Sporting Gijón,27,1997,39,7,1048,11.6,5,2,7,4,1,2,5,0,0.43,0.17,0.60,0.34,0.52,Matches
111,Álex Cantero,es ESP,"MF,FW",Tenerife,24,2000,27,9,938,10.4,2,4,6,2,0,0,3,0,0.19,0.38,0.58,0.19,0.58,Matches
112,Ander Cantero,es ESP,GK,Burgos,29,1995,42,42,3780,42.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Mario Cantero,es ESP,MF,Burgos,22,2002,12,3,307,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
114,David Carballo,es ESP,MF,Racing Ferrol,18,2006,3,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Isaac Carcelen,es ESP,DF,Cádiz,31,1993,32,29,2543,28.3,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
116,Álex Cardero,es ESP,MF,Oviedo,20,2003,21,3,597,6.6,1,1,2,1,0,0,4,0,0.15,0.15,0.30,0.15,0.30,Matches
117,Carlo,es ESP,MF,Mirandés,23,2001,7,0,68,0.8,0,1,1,0,0,0,0,0,0.00,1.32,1.32,0.00,1.32,Matches
118,José Carlos Lazo,es ESP,"MF,FW",Albacete,28,1996,19,11,842,9.4,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
119,Cristian Carracedo,es ESP,"FW,MF",Córdoba,28,1995,40,38,3284,36.5,5,11,16,3,2,2,12,0,0.14,0.30,0.44,0.08,0.38,Matches
120,Marco Carrascal,es ESP,DF,Racing Sant,21,2003,3,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Oscar Carrasco Sojo,es ESP,MF,Eibar,21,2002,3,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Álvaro Carrillo,es ESP,DF,Eibar,22,2002,21,15,1293,14.4,1,0,1,1,0,0,9,2,0.07,0.00,0.07,0.07,0.07,Matches
123,Antonio Casas,es ESP,FW,Córdoba,24,2000,39,32,2650,29.4,10,1,11,10,0,0,10,1,0.34,0.03,0.37,0.34,0.37,Matches
124,Sergio Castel,es ESP,FW,Málaga,29,1995,13,2,409,4.5,1,0,1,1,0,0,3,0,0.22,0.00,0.22,0.22,0.22,Matches
125,David Castro,es ESP,DF,Racing Ferrol,28,1995,24,20,1830,20.3,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Javier Castro,es ESP,DF,Racing Sant,23,2000,37,29,2767,30.7,3,0,3,3,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches
127,Nicolás Castro,ar ARG,MF,Elche,23,2000,34,25,2295,25.5,4,2,6,3,1,1,4,0,0.16,0.08,0.24,0.12,0.20,Matches
128,Santi Cazorla,es ESP,"MF,FW",Oviedo,39,1984,32,24,1900,21.1,3,5,8,1,2,3,1,0,0.14,0.24,0.38,0.05,0.28,Matches
129,Álex Centelles,es ESP,"DF,MF",Almería,26,1997,36,28,2481,27.6,2,4,6,2,0,0,4,0,0.07,0.15,0.22,0.07,0.22,Matches
130,Luis Chacón,es ESP,MF,Dep. La Coruña,24,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Ilyas Chaira,ma MAR,"MF,FW",Oviedo,23,2001,31,28,2234,24.8,7,3,10,7,0,0,8,0,0.28,0.12,0.40,0.28,0.40,Matches
132,Chapela,es ESP,MF,Eldense,25,1999,30,18,1541,17.1,4,0,4,4,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches
133,Willy Chatiliez,cl CHI,MF,Huesca,19,2005,6,0,87,1.0,1,1,2,1,0,0,0,0,1.03,1.03,2.07,1.03,2.07,Matches
134,Checo,es ESP,DF,Cartagena,19,2004,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Chema,es ESP,DF,Eibar,32,1992,13,9,869,9.7,1,0,1,1,0,0,9,1,0.10,0.00,0.10,0.10,0.10,Matches
136,Chiki,es ESP,"FW,MF",Racing Ferrol,27,1996,34,8,1054,11.7,1,0,1,0,1,1,4,0,0.09,0.00,0.09,0.00,0.00,Matches
137,Daijiro Chirino,cw CUW,"DF,MF",Castellón,22,2002,38,34,3000,33.3,0,3,3,0,0,0,10,1,0.00,0.09,0.09,0.00,0.09,Matches
138,Chumi,es ESP,DF,Almería,25,1999,27,27,2376,26.4,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Chupete,es ESP,FW,Málaga,19,2004,19,11,976,10.8,4,0,4,4,0,0,4,0,0.37,0.00,0.37,0.37,0.37,Matches
140,Churripi,es ESP,GK,Cádiz,30,1994,5,4,414,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Víctor Chust,es ESP,DF,Cádiz,24,2000,40,38,3441,38.2,3,1,4,3,0,0,8,0,0.08,0.03,0.10,0.08,0.10,Matches
142,Brian Cipenga,cd COD,"MF,FW",Castellón,26,1998,15,7,686,7.6,3,1,4,3,0,0,0,0,0.39,0.13,0.52,0.39,0.52,Matches
143,Enrique Clemente,es ESP,DF,Zaragoza,25,1999,20,15,1314,14.6,1,0,1,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07,Matches
144,Óscar Clemente,es ESP,MF,Levante,25,1999,8,0,54,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Óscar Clemente,es ESP,MF,Cartagena,25,1999,18,11,1032,11.5,0,2,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
146,Carlos Clerc,es ESP,MF,Elche,32,1992,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Mario Climent,es ESP,"DF,MF",Cádiz,22,2002,21,20,1728,19.2,3,4,7,3,0,0,1,0,0.16,0.21,0.36,0.16,0.36,Matches
148,Silvi Clúa,es ESP,MF,Almería,19,2005,11,4,409,4.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
149,Diego Collado,es ESP,"FW,MF",Eldense,23,2001,16,12,934,10.4,2,1,3,2,0,0,2,0,0.19,0.10,0.29,0.19,0.29,Matches
150,Santiago Colombatto,ar ARG,MF,Oviedo,27,1997,39,37,3244,36.0,4,3,7,3,1,1,8,0,0.11,0.08,0.19,0.08,0.17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Arnau Comas,es ESP,DF,Eibar,24,2000,9,9,676,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
152,Theo Corbeanu,ca CAN,MF,Granada,22,2002,10,2,253,2.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
153,Gabriele Corbo,it ITA,DF,Córdoba,24,2000,3,0,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
154,Antonio Cordero,es ESP,MF,Málaga,17,2006,39,23,2084,23.2,6,6,12,3,3,4,1,0,0.26,0.26,0.52,0.13,0.39,Matches
155,Aitor Córdoba,es ESP,DF,Burgos,29,1995,41,41,3638,40.4,1,1,2,1,0,0,7,0,0.02,0.02,0.05,0.02,0.05,Matches
156,Iñigo Córdoba,es ESP,"MF,DF",Burgos,27,1997,32,16,1640,18.2,3,5,8,3,0,0,5,0,0.16,0.27,0.44,0.16,0.44,Matches
157,José Corpas,es ESP,"DF,MF",Eibar,33,1991,34,34,2872,31.9,6,6,12,4,2,3,12,0,0.19,0.19,0.38,0.13,0.31,Matches
158,Rober Correa,es ESP,DF,Racing Ferrol,31,1992,23,13,1338,14.9,0,1,1,0,0,0,5,1,0.00,0.07,0.07,0.00,0.07,Matches
