Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Tony Abad,es ESP,"DF,MF",Huesca,27,1996,39,14,1787,19.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Haitam Abaida,ma MAR,FW,Málaga,22,2002,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Amir Abedzadeh,ir IRN,GK,Castellón,31,1993,3,3,263,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Álvaro Aceves,es ESP,GK,Eldense,21,2003,2,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Adilson,pt POR,"FW,MF",Córdoba,27,1997,22,16,1377,15.3,3,2,5,3,0,0,1,0,0.20,0.13,0.33,0.20,0.33,Matches
6,David Affengruber,at AUT,DF,Elche,23,2001,40,35,3203,35.6,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
7,Martin Agirregabiria,es ESP,DF,Cartagena,28,1996,29,26,2286,25.4,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches
8,Marc Aguado,es ESP,MF,Elche,24,2000,13,6,538,6.0,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
9,Marc Aguado,es ESP,MF,Zaragoza,24,2000,17,15,1025,11.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Lalo Aguilar,es ESP,DF,Albacete,22,2002,33,31,2683,29.8,0,1,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,Matches
11,Lucas Ahijado,es ESP,DF,Oviedo,29,1995,16,8,781,8.7,1,2,3,1,0,0,3,0,0.12,0.23,0.35,0.12,0.35,Matches
12,Ager Aketxe,es ESP,"MF,FW",Zaragoza,30,1993,36,22,1884,20.9,2,3,5,2,0,1,4,0,0.10,0.14,0.24,0.10,0.24,Matches
13,Tomás Alarcón,cl CHI,"DF,MF",Cádiz,25,1999,3,0,85,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Albarrán,es ESP,DF,Córdoba,30,1994,36,33,2953,32.8,4,2,6,4,0,0,11,0,0.12,0.06,0.18,0.12,0.18,Matches
15,Raúl Alcaina,es ESP,MF,Dep. La Coruña,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Pedro Alcalá,es ESP,DF,Cartagena,35,1989,30,29,2614,29.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Rubén Alcaraz,es ESP,MF,Cádiz,33,1991,29,25,2122,23.6,3,1,4,1,2,3,10,0,0.13,0.04,0.17,0.04,0.08,Matches
18,Aldasoro,es ESP,MF,Racing Sant,25,1999,39,36,2885,32.1,2,3,5,2,0,0,11,0,0.06,0.09,0.16,0.06,0.16,Matches
19,Iker Alday,es ESP,DF,Eibar,21,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Iván Alejo,es ESP,"MF,DF",Cádiz,29,1995,18,9,848,9.4,0,2,2,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21,Matches
21,Alexandre Alemão,br BRA,FW,Oviedo,26,1998,40,35,2971,33.0,14,4,18,14,0,0,3,0,0.42,0.12,0.55,0.42,0.55,Matches
22,Alejandro Alfaro,es ESP,MF,Dep. La Coruña,22,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Ángel Algobia,es ESP,MF,Levante,25,1999,23,8,799,8.9,2,1,3,2,0,0,2,0,0.23,0.11,0.34,0.23,0.34,Matches
24,Julio Alonso,es ESP,"MF,DF",Mirandés,25,1998,31,25,2099,23.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Agustín Álvarez,uy URU,"FW,MF",Elche,23,2001,37,27,2333,25.9,8,2,10,8,0,1,7,0,0.31,0.08,0.39,0.31,0.39,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Carlos Álvarez,es ESP,"MF,FW",Levante,20,2003,42,39,3386,37.6,7,11,18,7,0,0,4,0,0.19,0.29,0.48,0.19,0.48,Matches
27,César Álvarez,es ESP,DF,Tenerife,21,2003,12,6,722,8.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
28,Ismael Álvarez,es ESP,FW,Cádiz,16,2007,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Sergio Álvarez,es ESP,MF,Eibar,32,1992,38,28,2790,31.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
30,Rubén Alves,es ESP,DF,Tenerife,29,1994,9,7,599,6.7,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches
31,Rubén Alves,es ESP,DF,Córdoba,29,1994,10,9,725,8.1,2,0,2,2,0,0,5,0,0.25,0.00,0.25,0.25,0.25,Matches
32,Jair Amador,gq EQG,DF,Zaragoza,34,1989,23,18,1653,18.4,2,2,4,2,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matches
33,Andy,es ESP,MF,Cartagena,34,1990,36,23,2214,24.6,4,1,5,1,3,3,4,0,0.16,0.04,0.20,0.04,0.08,Matches
34,José Ángel,es ESP,DF,Sporting Gijón,34,1989,25,16,1359,15.1,1,2,3,1,0,0,8,0,0.07,0.13,0.20,0.07,0.20,Matches
35,José Ángel,es ESP,MF,Dep. La Coruña,32,1992,28,23,1954,21.7,0,5,5,0,0,0,5,0,0.00,0.23,0.23,0.00,0.23,Matches
36,Miguel Ángel Rubio,es ESP,DF,Granada,26,1998,30,29,2610,29.0,3,1,4,3,0,0,7,0,0.10,0.03,0.14,0.10,0.14,Matches
37,Hugo Anglada,es ESP,DF,Huesca,20,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Josep Antoni Gayá,es ESP,DF,Tenerife,24,2000,12,10,936,10.4,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
39,José Antonio,es ESP,MF,Cádiz,20,2004,22,10,836,9.3,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
40,José Antonio Ríos,es ESP,DF,Cartagena,34,1990,17,11,1071,11.9,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
41,Juan Antonio Ros,es ESP,DF,Albacete,28,1996,16,12,1050,11.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Kévin Appin,mq MTQ,MF,Burgos,26,1998,7,6,513,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Aritz Arambarri,es ESP,DF,Eibar,26,1998,32,27,2413,26.8,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
44,Arana,es ESP,FW,Racing Sant,24,2000,38,27,2272,25.2,13,0,13,13,0,0,6,0,0.51,0.00,0.51,0.51,0.51,Matches
45,Anaitz Arbilla,es ESP,DF,Eibar,37,1987,26,26,2324,25.8,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches
46,Adu Ares,es ESP,"MF,DF",Zaragoza,22,2001,30,18,1468,16.3,2,1,3,2,0,0,9,0,0.12,0.06,0.18,0.12,0.18,Matches
47,Jeremy Arévalo,ec ECU,MF,Racing Sant,19,2005,7,1,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Ayman Arguigue,ma MAR,FW,Huesca,19,2005,8,0,89,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Kervin Arriaga,hn HON,"MF,DF",Zaragoza,26,1998,17,15,1314,14.6,1,0,1,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,Matches
50,Sergio Arribas,es ESP,MF,Almería,22,2001,41,30,2586,28.7,8,3,11,8,0,0,3,1,0.28,0.10,0.38,0.28,0.38,Matches
