Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
23,Alcázar,es ESP,"DF,MF",Castellón,23,2002,28.5,1,18,4,22.2,0.63,0.14,0.06,0.25,0,0,Matches,35,32,2563,2,3,1,7,1,0.04,0.07,0.11,0.04,0.11,1,35,18,4,61,37,33,,,0,,,,,,,,,,,,,,,25/26
24,Aldasoro,es ESP,MF,Racing Sant,26,1999,7.3,0,5,1,20.0,0.68,0.14,0.00,0.00,0,0,Matches,15,9,660,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,21,13,0,3,11,19,,,0,,,,,,,,,,,,,,,25/26
25,Iván Alejo,es ESP,DF,Valladolid,30,1995,31.2,0,14,3,21.4,0.45,0.10,0.00,0.00,0,0,Matches,36,33,2809,1,1,0,12,1,0.00,0.03,0.03,0.00,0.03,1,71,77,8,209,31,69,,,0,,,,,,,,,,,,,,,25/26
26,Pedro Alemañ,es ESP,MF,Granada,23,2002,30.1,6,27,9,33.3,0.90,0.30,0.22,0.67,0,0,Matches,36,32,2707,4,10,6,4,0,0.20,0.13,0.33,0.20,0.33,0,36,48,1,58,15,37,,,0,,,,,,,,,,,,,,,25/26
27,Diego Alende,es ESP,DF,FC Andorra,27,1997,18.9,1,17,4,23.5,0.90,0.21,0.06,0.25,0,0,Matches,22,19,1698,0,1,1,6,0,0.05,0.00,0.05,0.05,0.05,0,22,6,3,4,10,12,,,0,,,,,,,,,,,,,,,25/26
28,Gonzalo Almenara,es ESP,DF,Ceuta,28,1997,5.7,0,5,0,0.0,0.88,0.00,0.00,,0,0,Matches,12,6,513,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,3,6,0,8,8,5,,,0,,,,,,,,,,,,,,,25/26
29,Gael Alonso,es ESP,DF,FC Andorra,23,2002,35.8,2,19,5,26.3,0.53,0.14,0.11,0.40,0,0,Matches,38,37,3219,0,2,2,11,1,0.06,0.00,0.06,0.06,0.06,0,42,42,0,3,42,42,,,0,,,,,,,,,,,,,,,25/26
30,Julio Alonso,es ESP,"DF,MF",Huesca,26,1998,24.3,0,5,2,40.0,0.21,0.08,0.00,0.00,0,0,Matches,30,25,2186,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0,22,33,3,57,30,26,,,0,,,,,,,,,,,,,,,25/26
31,Adrià Altimira,es ESP,"DF,MF",Dep. La Coruña,24,2001,20.8,1,25,2,8.0,1.20,0.10,0.04,0.50,0,0,Matches,22,22,1876,5,6,1,6,0,0.05,0.24,0.29,0.05,0.29,0,31,31,4,72,22,32,,,0,,,,,,,,,,,,,,,25/26
32,Iker Álvarez,ad AND,GK,Córdoba,24,2001,34.5,0,0,0,,0.00,0.00,,,0,0,Matches,35,34,3105,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,0,5,0,0,1,1,,,1,46,1.33,144,98,68.1,15,9,10,7,20.6,3,1,0,25.0,25/26
33,Jesús ÁLVAREZ,es ESP,MF,Huesca,25,1999,28.9,0,19,3,15.8,0.66,0.10,0.00,0.00,0,0,Matches,36,34,2603,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0,32,31,1,14,45,26,,,0,,,,,,,,,,,,,,,25/26
34,Sergio Álvarez,es ESP,MF,Eibar,33,1992,31.0,2,6,3,50.0,0.19,0.10,0.33,0.67,0,0,Matches,36,32,2790,1,3,2,7,0,0.06,0.03,0.10,0.06,0.10,0,48,27,1,7,37,61,,,0,,,,,,,,,,,,,,,25/26
35,Rubén Alves,es ESP,DF,Córdoba,30,1994,18.5,2,12,4,33.3,0.65,0.22,0.17,0.50,0,0,Matches,21,20,1665,0,2,2,7,1,0.11,0.00,0.11,0.11,0.11,0,31,19,1,2,25,14,,,0,,,,,,,,,,,,,,,25/26
36,Jair Amador,gq EQG,DF,Eibar,35,1989,16.4,0,6,1,16.7,0.37,0.06,0.00,0.00,0,0,Matches,21,15,1475,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,19,2,1,1,13,5,,,0,,,,,,,,,,,,,,,25/26
37,Amath,sn SEN,"MF,FW",Valladolid,29,1996,11.5,4,22,12,54.5,1.91,1.04,0.18,0.33,0,0,Matches,19,14,1037,0,4,4,1,0,0.35,0.00,0.35,0.35,0.35,0,17,17,5,14,6,21,,,0,,,,,,,,,,,,,,,25/26
38,Lorenzo Amatucci,it ITA,MF,Las Palmas,21,2004,37.0,0,28,7,25.0,0.76,0.19,0.00,0.00,0,0,Matches,40,38,3329,4,4,0,5,0,0.00,0.11,0.11,0.00,0.11,0,74,98,0,11,48,81,,,0,,,,,,,,,,,,,,,25/26
39,Esteban Andrada,ar ARG,GK,Zaragoza,34,1991,27.0,0,0,0,,0.00,0.00,,,0,0,Matches,27,27,2429,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,1,1,9,0,0,0,1,,,0,35,1.30,119,84,70.6,8,8,11,7,25.9,3,3,0,50.0,25/26
40,Marcos André,br BRA,FW,Valladolid,28,1996,11.4,3,40,9,22.5,3.52,0.79,0.08,0.33,0,0,Matches,23,12,1024,0,3,3,4,1,0.26,0.00,0.26,0.26,0.26,1,29,31,3,5,3,10,,,0,,,,,,,,,,,,,,,25/26
41,Plamen Andreev,bg BUL,GK,Racing Sant,20,2004,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,2,2,180,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,,,0,2,1.00,7,5,71.4,0,2,0,0,0.0,0,0,0,,25/26
42,José Ángel,es ESP,MF,Dep. La Coruña,33,1992,12.6,0,8,2,25.0,0.63,0.16,0.00,0.00,0,0,Matches,22,13,1136,1,1,0,3,0,0.00,0.08,0.08,0.00,0.08,0,22,19,1,4,17,10,,,0,,,,,,,,,,,,,,,25/26
43,José Antonio,es ESP,MF,Cádiz,21,2004,15.9,2,17,5,29.4,1.07,0.31,0.12,0.40,0,0,Matches,29,19,1433,2,4,2,7,0,0.13,0.13,0.25,0.13,0.25,0,26,22,2,42,13,14,,,0,,,,,,,,,,,,,,,25/26
44,Javier Antras,,MF,Córdoba,,,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,9,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,25/26
45,Anuar,ma MAR,"DF,MF",Ceuta,30,1995,21.5,0,5,4,80.0,0.23,0.19,0.00,0.00,0,0,Matches,27,22,1932,2,2,0,8,1,0.00,0.09,0.09,0.00,0.09,0,39,55,6,17,42,27,,,0,,,,,,,,,,,,,,,25/26
46,Kévin Appin,mq MTQ,"MF,FW",Burgos,27,1998,14.8,4,19,6,31.6,1.29,0.41,0.21,0.67,0,0,Matches,37,12,1330,1,5,4,4,0,0.27,0.07,0.34,0.27,0.34,0,38,38,10,18,7,26,,,0,,,,,,,,,,,,,,,25/26
47,Aritz Arambarri,es ESP,DF,Eibar,27,1998,9.2,0,4,0,0.0,0.43,0.00,0.00,,0,0,Matches,18,9,832,1,1,0,2,0,0.00,0.11,0.11,0.00,0.11,0,12,0,0,2,13,13,,,0,,,,,,,,,,,,,,,25/26
48,Arana,es ESP,FW,Racing Sant,25,2000,2.3,2,13,6,46.2,5.57,2.57,0.15,0.33,0,0,Matches,8,1,210,1,3,2,3,1,0.86,0.43,1.29,0.86,1.29,1,4,3,3,0,0,0,,,0,,,,,,,,,,,,,,,25/26
49,Egoitz Arana,es ESP,GK,Real Sociedad B,23,2002,11.0,0,0,0,,0.00,0.00,,,0,0,Matches,11,11,990,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,,,0,16,1.45,47,31,66.0,2,3,6,2,18.2,1,0,0,0.0,25/26
