Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 18_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Tony Abad,es ESP,DF,Eldense,26,1996,31.8,0,8,0,0.0,0.25,0.00,0.00,,0,0,Matches
2,Diyaeddine Abzi,ca CAN,DF,Leganés,24,1998,0.4,0,1,1,100.0,2.37,2.37,0.00,0.00,0,0,Matches
3,Álvaro Aceves,es ESP,GK,Eldense,20,2003,14.0,0,0,0,,0.00,0.00,,,0,0,Matches
4,Emmanuel Addai,gh GHA,"MF,FW",Alcorcón,21,2001,23.1,3,93,27,29.0,4.03,1.17,0.03,0.11,0,0,Matches
5,Álvaro Aguado,es ESP,MF,Espanyol,27,1996,23.7,1,18,4,22.2,0.76,0.17,0.06,0.25,0,0,Matches
6,Marc Aguado,es ESP,MF,Zaragoza,23,2000,26.8,0,2,0,0.0,0.07,0.00,0.00,,0,0,Matches
7,Lalo Aguilar,es ESP,DF,Leganés,21,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
8,Lucas Ahijado,es ESP,DF,Oviedo,28,1995,7.7,0,3,0,0.0,0.39,0.00,0.00,,0,0,Matches
9,Matheus Aiás,br BRA,FW,Racing Sant,26,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
10,Ager Aketxe,es ESP,MF,Eibar,29,1993,30.8,11,91,31,34.1,2.96,1.01,0.07,0.19,5,5,Matches
11,Ilias Akhomach,ma MAR,MF,Villarreal B,19,2004,1.7,0,6,0,0.0,3.46,0.00,0.00,,0,0,Matches
12,Babatunde Akinsola,ng NGA,MF,Valladolid,20,2003,3.2,0,4,2,50.0,1.25,0.62,0.00,0.00,0,0,Matches
13,Jony Álamo,es ESP,MF,Cartagena,21,2001,6.2,0,4,2,50.0,0.64,0.32,0.00,0.00,0,0,Matches
14,Tomás Alarcón,cl CHI,MF,Cartagena,24,1999,26.5,1,25,9,36.0,0.94,0.34,0.04,0.11,0,0,Matches
15,Pedro Alcalá,es ESP,DF,Cartagena,34,1989,36.8,0,18,0,0.0,0.49,0.00,0.00,,0,0,Matches
16,Edgar Alcañiz,es ESP,MF,Levante,18,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
17,Aldasoro,es ESP,MF,Racing Sant,24,1999,32.1,1,33,10,30.3,1.03,0.31,0.03,0.10,0,0,Matches
18,Iker Alday,es ESP,DF,Eibar,20,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
19,Alexandre Alemão,br BRA,FW,Oviedo,25,1998,16.2,5,46,10,21.7,2.85,0.62,0.11,0.50,0,0,Matches
20,Diego Alende,es ESP,DF,FC Andorra,25,1997,7.6,1,5,2,40.0,0.66,0.26,0.20,0.50,0,0,Matches
21,Ángel Algobia,es ESP,MF,Levante,24,1999,12.8,1,8,5,62.5,0.62,0.39,0.13,0.20,0,0,Matches
22,Christos Almpanis,gr GRE,"FW,MF",FC Andorra,28,1994,0.5,0,0,0,,0.00,0.00,,,0,0,Matches
23,Javier Alonso,es ESP,MF,Tenerife,24,1998,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
24,Julio Alonso,es ESP,DF,Albacete,24,1998,23.6,0,9,2,22.2,0.38,0.08,0.00,0.00,0,0,Matches
25,Adrià Altimira,es ESP,"DF,MF",Villarreal B,22,2001,25.2,0,15,3,20.0,0.59,0.12,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Altube,es ESP,GK,Albacete,23,2000,5.0,0,0,0,,0.00,0.00,,,0,0,Matches
27,Carlos Álvarez,es ESP,MF,Levante,19,2003,20.9,3,24,9,37.5,1.15,0.43,0.13,0.33,0,0,Matches
28,Cristian Álvarez,ar ARG,GK,Zaragoza,37,1985,12.7,0,0,0,,0.00,0.00,,,0,0,Matches
29,Iker Álvarez,ad AND,GK,Villarreal B,22,2001,32.0,0,0,0,,0.00,0.00,,,0,0,Matches
30,Sergio Álvarez,es ESP,"MF,DF",Eibar,31,1992,23.5,1,4,1,25.0,0.17,0.04,0.25,1.00,0,0,Matches
31,Rubén Alves,es ESP,DF,Racing Sant,28,1994,21.6,2,7,5,71.4,0.32,0.23,0.29,0.40,0,0,Matches
32,Jair Amador,gq EQG,DF,Zaragoza,33,1989,31.7,1,19,7,36.8,0.60,0.22,0.05,0.14,0,0,Matches
33,Selim Amallah,ma MAR,"FW,MF",Valladolid,26,1996,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
34,Amath,sn SEN,"MF,FW",Valladolid,27,1996,6.3,5,16,6,37.5,2.52,0.95,0.31,0.83,0,0,Matches
35,Jose Amo,es ESP,DF,Tenerife,25,1998,27.6,0,15,2,13.3,0.54,0.07,0.00,0.00,0,0,Matches
36,Lucas Anacker,br BRA,GK,Alcorcón,26,1996,13.0,0,0,0,,0.00,0.00,,,0,0,Matches
37,Florin Andone,ro ROU,FW,Eldense,30,1993,15.7,3,33,9,27.3,2.10,0.57,0.09,0.33,0,0,Matches
38,Marcos André,br BRA,FW,Valladolid,26,1996,6.2,3,13,4,30.8,2.10,0.65,0.23,0.75,0,1,Matches
