Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
41,Miguel Ángel Rubio,es ESP,DF,Granada,24,1998,29.3,10,1,1,29,16,4,2,55,32,,,0,Matches
42,Hugo Anglada,es ESP,DF,Huesca,18,2004,2.5,0,0,0,2,0,0,0,2,1,,,0,Matches
43,Paul Anton,ro ROU,MF,Ponferradina,31,1991,0.0,0,0,0,1,1,0,1,0,0,,,0,Matches
44,Leandro Antonetti,pr PUR,FW,Lugo,19,2003,2.4,0,0,0,3,3,0,0,0,1,,,0,Matches
45,José Antonio Ríos,es ESP,DF,Eibar,32,1990,6.8,0,0,0,2,7,0,66,4,5,,,0,Matches
46,Juan Antonio Ros,es ESP,DF,Albacete,26,1996,7.9,0,0,0,12,6,0,0,6,9,,,0,Matches
47,Arvin Appiah,eng ENG,MF,Málaga,21,2001,1.6,0,0,0,1,3,2,5,0,1,,,0,Matches
48,Arvin Appiah,eng ENG,MF,Tenerife,21,2001,4.5,0,0,0,7,11,2,5,0,3,,,0,Matches
49,Kévin Appin,mq MTQ,"MF,FW",Ibiza,24,1998,22.3,5,0,0,31,36,5,14,13,26,,,0,Matches
50,Arana,es ESP,FW,Eibar,22,2000,0.9,0,0,0,1,2,0,0,0,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Arana,es ESP,FW,Villarreal B,22,2000,4.2,4,0,0,8,7,5,3,0,8,,,0,Matches
52,Anaitz Arbilla,es ESP,DF,Eibar,35,1987,33.5,9,0,0,21,16,0,28,54,29,,,2,Matches
53,Jesús Areso,es ESP,"DF,MF",Burgos,23,1999,28.6,4,0,0,28,13,5,94,17,22,,,0,Matches
54,Matias Arezo,uy URU,"MF,FW",Granada,19,2002,2.3,1,0,0,1,0,1,4,2,0,,,0,Matches
55,David Argüelles,es ESP,DF,Sporting Gijón,20,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
56,Raúl Arias,,FW,Ponferradina,,,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
57,José Arnaiz,es ESP,"FW,MF",Leganés,27,1995,35.3,6,0,0,34,73,11,33,12,14,,,0,Matches
58,Óscar Arribas,ph PHI,"MF,FW",Cartagena,23,1998,2.9,0,0,0,5,5,2,10,1,4,,,0,Matches
59,Anderson Arroyo,co COL,DF,Alavés,22,1999,10.2,1,0,0,8,7,1,29,16,10,,,0,Matches
60,Juan Artola,es ESP,FW,Burgos,22,2000,11.4,4,1,1,22,14,8,6,0,6,,,0,Matches
61,Juan Aspra,es ESP,MF,Sporting Gijón,20,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
62,Miguel Atienza,es ESP,MF,Burgos,23,1999,34.7,11,0,0,50,31,0,5,51,44,,,1,Matches
63,Emmanuel Attipoe,gh GHA,MF,Albacete,22,2000,0.3,0,0,0,0,0,0,0,0,1,,,0,Matches
64,Javier Avilés,es ESP,FW,Lugo,24,1997,10.9,1,0,0,20,19,4,72,6,4,,,0,Matches
65,Javier Avilés,es ESP,FW,Leganés,24,1997,0.2,0,1,0,2,1,0,1,0,1,,,0,Matches
66,Miguel Azeez,eng ENG,"MF,FW",Ibiza,19,2002,6.6,3,0,0,11,6,2,14,9,6,,,0,Matches
67,Diego Aznar,es ESP,FW,Huesca,18,2003,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
68,Ivan Azón,es ESP,FW,Zaragoza,19,2002,11.9,0,0,0,16,22,12,5,2,2,,,0,Matches
69,Baena,es ESP,"FW,MF",Lugo,21,2000,16.5,1,0,0,22,31,2,61,6,11,,,0,Matches
70,Sinan Bakış,tr TUR,FW,FC Andorra,28,1994,22.9,8,0,0,39,42,22,0,3,8,,,0,Matches
71,Alex Balboa,gq EQG,MF,Alavés,21,2001,1.9,1,0,0,3,2,0,0,3,2,,,0,Matches
72,Axel Bamba,fr FRA,DF,Sporting Gijón,23,1999,3.1,0,0,0,2,0,0,0,3,0,,,0,Matches
73,Barbu,es ESP,DF,Mirandés,21,2001,29.9,10,0,0,44,30,3,6,26,24,,,0,Matches
74,Bernabé Barragán,es ESP,GK,Albacete,29,1993,30.0,6,0,0,0,1,0,0,0,0,,,0,Matches
75,Manu Barreiro,es ESP,FW,Lugo,36,1986,17.7,3,0,0,25,21,20,3,5,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Dani Barrio,es ESP,GK,Burgos,35,1987,2.5,0,0,0,0,0,0,0,0,0,,,0,Matches
77,Djakaría Barro,ci CIV,MF,Cartagena,20,2002,0.4,0,0,0,1,1,0,0,0,0,,,0,Matches
78,Borja Bastón,es ESP,FW,Oviedo,29,1992,27.7,7,0,0,50,43,23,10,9,7,,,0,Matches
79,Roko Baturina,hr CRO,FW,Racing Sant,22,2000,9.9,1,0,0,6,23,9,2,0,1,,,0,Matches
80,Jon Bautista,es ESP,FW,Eibar,27,1995,23.3,3,0,0,51,23,15,10,2,18,,,0,Matches
81,Bebé,cv CPV,MF,Zaragoza,32,1990,14.2,3,0,0,9,9,4,95,5,6,,,0,Matches
82,Carlos Benavídez,uy URU,MF,Alavés,24,1998,16.3,10,1,0,55,6,2,7,32,38,,,0,Matches
83,Saúl Berjón,es ESP,"FW,MF",Burgos,36,1986,0.9,0,0,0,2,1,0,7,3,0,,,0,Matches
84,Álex Bermejo,es ESP,"FW,MF",Burgos,23,1998,26.8,6,1,0,33,44,6,55,9,17,,,0,Matches
85,Sergio Bermejo,es ESP,MF,Zaragoza,24,1997,24.3,3,0,0,47,50,3,81,26,23,,,0,Matches
86,Juan Berrocal,es ESP,DF,Eibar,23,1999,30.3,11,0,0,37,10,0,3,31,19,,,0,Matches
87,Antonio Blanco,es ESP,MF,Alavés,22,2000,14.5,10,0,0,37,24,0,7,18,19,,,0,Matches
88,Gustavo Blanco Leschuk,ar ARG,FW,Eibar,30,1991,12.5,5,0,0,25,22,13,11,4,10,,,1,Matches
89,Jérémy Blasco,fr FRA,DF,Huesca,23,1999,27.3,4,0,0,17,5,1,2,23,23,,,0,Matches
90,Pablo de Blasis,ar ARG,MF,Cartagena,34,1988,39.5,7,0,0,34,60,5,305,20,33,,,0,Matches
91,Pablo Bobadilla,es ESP,DF,Racing Sant,25,1996,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
92,Yann Bodiger,fr FRA,MF,Granada,27,1995,24.4,10,1,1,45,29,1,24,33,38,,,0,Matches
93,Mateusz Bogusz,pl POL,"FW,MF",Ibiza,20,2001,12.7,0,1,0,21,14,2,40,2,13,,,0,Matches
94,Jovanny Bolívar,ve VEN,FW,Albacete,20,2001,1.3,0,0,0,2,2,1,0,0,0,,,0,Matches
95,Adri Bosch,es ESP,DF,Granada,21,2001,1.0,0,0,0,0,1,0,0,0,2,,,0,Matches
96,Mohamed Bouldini,ma MAR,FW,Levante,26,1995,22.3,8,0,0,65,48,22,8,2,11,,,0,Matches
97,Ruben Bover,es ESP,MF,FC Andorra,30,1992,15.6,3,0,0,16,27,1,40,8,13,,,0,Matches
98,Enzo Boyomo,cm CMR,DF,Albacete,20,2001,34.7,10,1,0,49,12,2,4,39,38,,,1,Matches
99,Quentin Braat,fr FRA,GK,Oviedo,25,1997,25.5,2,0,0,0,3,0,0,0,0,,,0,Matches
100,Abel Bretones,es ESP,"DF,MF",Oviedo,21,2000,32.0,7,0,0,36,35,3,138,22,61,,,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Yan Brice Eteki,cm CMR,MF,Cartagena,24,1997,3.9,4,0,0,9,8,0,1,9,7,,,0,Matches
102,Brugui,es ESP,"FW,MF",Levante,25,1996,11.1,1,1,0,14,21,6,14,5,6,,,0,Matches
103,Mustapha Bundu,sl SLE,"FW,MF",FC Andorra,25,1997,11.1,0,0,0,12,7,8,48,5,7,,,0,Matches
104,Aitor Buñuel,es ESP,DF,Tenerife,24,1998,14.3,3,0,0,21,8,2,49,15,22,,,0,Matches
105,Esteban Burgos,ar ARG,DF,Málaga,30,1992,26.5,10,2,0,34,5,3,5,28,13,,,0,Matches
106,Unai Bustinza,es ESP,DF,Málaga,30,1992,7.8,2,1,1,13,11,1,10,15,10,,,0,Matches
107,Erick Cabaco,uy URU,DF,Granada,27,1995,10.7,2,1,0,16,15,0,1,11,8,,,0,Matches
108,Yeray Cabanzón,es ESP,MF,Racing Sant,19,2003,4.1,0,0,0,3,7,0,25,1,5,,,0,Matches
109,Jordi Calavera,es ESP,"DF,MF",Lugo,26,1995,10.0,3,1,0,20,12,0,48,17,18,,,0,Matches
110,Iván Calero,es ESP,"DF,MF",Cartagena,27,1995,37.4,8,0,0,56,39,1,187,27,43,,,0,Matches
111,José Callejón,es ESP,"FW,MF",Granada,35,1987,33.6,4,0,0,26,51,24,169,10,13,,,0,Matches
112,Álex Calvo,es ESP,MF,Málaga,18,2004,2.9,1,0,0,8,5,1,8,4,3,,,0,Matches
113,Dani Calvo,es ESP,DF,Oviedo,28,1994,35.3,6,0,0,25,21,2,1,20,21,,,0,Matches
