Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,Matches
3,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25,1996,24,17,1616,18.0,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Paul Akouokou,ci CIV,MF,Real Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
11,Amankwaa Akurugu,gh GHA,MF,Getafe,19,2001,3,1,79,0.9,0,1,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,Matches
12,David Alaba,at AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,0.07,0.10,0.17,0.07,0.17,Matches
13,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
14,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,0.07,0.34,0.41,0.07,0.41,Matches
15,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,0.11,0.34,0.46,0.11,0.46,Matches
17,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,2,0,0,7,0,0.16,0.00,0.16,0.16,0.16,Matches
18,Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,2,2,0,0,15,0,0.07,0.00,0.07,0.07,0.07,Matches
19,Iván Alejo,es ESP,MF,Cádiz,26,1995,20,11,1065,11.8,2,2,4,2,0,0,7,0,0.17,0.17,0.34,0.17,0.34,Matches
20,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,3,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,Matches
21,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,4,1,0,0,2,1,0.08,0.25,0.33,0.08,0.33,Matches
24,Amath,sn SEN,"MF,FW",Mallorca,25,1996,19,9,884,9.8,0,1,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches
