Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Abner,br BRA,DF,Real Betis,22,2000,6.7,0,5,2,40.0,0.74,0.30,0.00,0.00,0,0,Matches
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,3,20,5,25.0,0.94,0.24,0.15,0.60,0,0,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0,0,0,,0.00,0.00,,,0,0,Matches
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,1,20,6,30.0,0.95,0.29,0.05,0.17,0,0,Matches
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,3,14,3,21.4,0.40,0.09,0.21,1.00,0,0,Matches
7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,1,23,7,30.4,0.90,0.27,0.04,0.14,0,0,Matches
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,5.0,0,3,1,33.3,0.60,0.20,0.00,0.00,0,0,Matches
10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,1,14,3,21.4,0.69,0.15,0.07,0.33,0,0,Matches
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,0,0,Matches
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,0,0,Matches
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,2,13,4,30.8,0.82,0.25,0.15,0.50,0,0,Matches
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,0,2,1,50.0,0.08,0.04,0.00,0.00,0,0,Matches
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,3,34,7,20.6,1.50,0.31,0.03,0.14,2,3,Matches
16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,1,17,8,47.1,0.75,0.35,0.06,0.13,0,0,Matches
17,Iván Alejo,es ESP,MF,Cádiz,27,1995,14.6,0,23,6,26.1,1.58,0.41,0.00,0.00,0,0,Matches
18,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,23.5,2,33,10,30.3,1.40,0.42,0.06,0.20,0,0,Matches
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,0,7,1,14.3,0.55,0.08,0.00,0.00,0,0,Matches
21,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,6.5,1,23,12,52.2,3.53,1.84,0.04,0.08,0,0,Matches
