Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
1,Tony Abad,es ESP,"DF,MF",Huesca,27,1996,19.9,0,4,0,0.0,0.20,0.00,0.00,,0,0,Matches,39,14,1787,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,28,6,8,49,15,20,,,0,,,,,,,,,,,,,,,24/25
2,Haitam Abaida,ma MAR,FW,Málaga,22,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,22,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,3,0,1,,,0,,,,,,,,,,,,,,,24/25
3,Amir Abedzadeh,ir IRN,GK,Castellón,31,1993,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,3,3,263,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,,,0,5,1.71,14,9,64.3,1,1,1,0,0.0,1,0,0,0.0,24/25
4,Álvaro Aceves,es ESP,GK,Eldense,21,2003,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,60,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,,,0,2,3.00,3,1,33.3,0,0,0,1,,0,0,0,,24/25
5,Adilson,pt POR,"FW,MF",Córdoba,27,1997,15.3,3,28,8,28.6,1.83,0.52,0.11,0.38,0,0,Matches,22,16,1377,2,5,3,1,0,0.20,0.13,0.33,0.20,0.33,0,17,22,9,22,9,12,,,0,,,,,,,,,,,,,,,24/25
6,David Affengruber,at AUT,DF,Elche,23,2001,35.6,0,12,5,41.7,0.34,0.14,0.00,0.00,0,0,Matches,40,35,3203,2,2,0,3,0,0.00,0.06,0.06,0.00,0.06,0,30,27,7,4,56,51,,,0,,,,,,,,,,,,,,,24/25
7,Martin Agirregabiria,es ESP,DF,Cartagena,28,1996,25.4,1,10,2,20.0,0.39,0.08,0.10,0.50,0,0,Matches,29,26,2286,1,2,1,8,0,0.04,0.04,0.08,0.04,0.08,0,36,25,3,63,40,26,,,0,,,,,,,,,,,,,,,24/25
8,Marc Aguado,es ESP,MF,Elche,24,2000,6.0,0,2,0,0.0,0.33,0.00,0.00,,0,0,Matches,13,6,538,1,1,0,2,0,0.00,0.17,0.17,0.00,0.17,0,8,3,0,1,10,8,,,0,,,,,,,,,,,,,,,24/25
9,Marc Aguado,es ESP,MF,Zaragoza,24,2000,11.4,0,0,0,,0.00,0.00,,,0,0,Matches,17,15,1025,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,15,13,0,1,21,18,,,0,,,,,,,,,,,,,,,24/25
10,Lalo Aguilar,es ESP,DF,Albacete,22,2002,29.8,0,11,1,9.1,0.37,0.03,0.00,0.00,0,0,Matches,33,31,2683,1,1,0,5,1,0.00,0.03,0.03,0.00,0.03,1,12,10,1,1,23,22,,,1,,,,,,,,,,,,,,,24/25
11,Lucas Ahijado,es ESP,DF,Oviedo,29,1995,8.7,1,5,2,40.0,0.58,0.23,0.20,0.50,0,0,Matches,16,8,781,2,3,1,3,0,0.12,0.23,0.35,0.12,0.35,0,16,6,1,16,6,16,,,0,,,,,,,,,,,,,,,24/25
